Park,Best_Model,Forecast_Month,Predicted_Visits
Abraham Lincoln Birthplace NHP,SARIMA,2025-01-01,7441.738651035864
Abraham Lincoln Birthplace NHP,SARIMA,2025-02-01,9150.87067091193
Abraham Lincoln Birthplace NHP,SARIMA,2025-03-01,16319.469557862503
Abraham Lincoln Birthplace NHP,SARIMA,2025-04-01,24727.4329220624
Abraham Lincoln Birthplace NHP,SARIMA,2025-05-01,26964.69333700049
Abraham Lincoln Birthplace NHP,SARIMA,2025-06-01,31248.648429943398
Abraham Lincoln Birthplace NHP,SARIMA,2025-07-01,35960.94831262502
Abraham Lincoln Birthplace NHP,SARIMA,2025-08-01,31817.19065914918
Abraham Lincoln Birthplace NHP,SARIMA,2025-09-01,26870.64534853653
Abraham Lincoln Birthplace NHP,SARIMA,2025-10-01,18790.031971714012
Abraham Lincoln Birthplace NHP,SARIMA,2025-11-01,12971.902568960217
Abraham Lincoln Birthplace NHP,SARIMA,2025-12-01,8475.146761689493
Acadia NP,SARIMA,2025-01-01,19722.321136836403
Acadia NP,SARIMA,2025-02-01,22908.782209768222
Acadia NP,SARIMA,2025-03-01,38354.25906845974
Acadia NP,SARIMA,2025-04-01,108247.3448727642
Acadia NP,SARIMA,2025-05-01,322088.68470210343
Acadia NP,SARIMA,2025-06-01,587672.0865455294
Acadia NP,SARIMA,2025-07-01,786669.3097162333
Acadia NP,SARIMA,2025-08-01,800132.5286576101
Acadia NP,SARIMA,2025-09-01,656587.7273651964
Acadia NP,SARIMA,2025-10-01,563103.3913277109
Acadia NP,SARIMA,2025-11-01,91516.4544004825
Acadia NP,SARIMA,2025-12-01,34792.93347871852
Adams NHP,Prophet,2025-01-01,-6147.81499051772
Adams NHP,Prophet,2025-02-01,-5804.358485766159
Adams NHP,Prophet,2025-03-01,-5502.577031510959
Adams NHP,Prophet,2025-04-01,-1656.4283000714227
Adams NHP,Prophet,2025-05-01,4539.123372549932
Adams NHP,Prophet,2025-06-01,8382.413064540891
Adams NHP,Prophet,2025-07-01,11888.153931498711
Adams NHP,Prophet,2025-08-01,9207.523636347734
Adams NHP,Prophet,2025-09-01,7031.78767095633
Adams NHP,Prophet,2025-10-01,6733.752335842248
Adams NHP,Prophet,2025-11-01,-3925.197149673735
Adams NHP,Prophet,2025-12-01,-6905.16257460253
African Burial Ground NM,SARIMA,2025-01-01,458.2078662916052
African Burial Ground NM,SARIMA,2025-02-01,1193.4720611833345
