Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Andersonville NHS	ANDE	National Historic Site	Southeast 	GA	1979	1	7,589
Andersonville NHS	ANDE	National Historic Site	Southeast 	GA	1979	2	10,986
Andersonville NHS	ANDE	National Historic Site	Southeast 	GA	1979	3	17,856
Andersonville NHS	ANDE	National Historic Site	Southeast 	GA	1979	4	19,940
Andersonville NHS	ANDE	National Historic Site	Southeast 	GA	1979	5	12,927
Andersonville NHS	ANDE	National Historic Site	Southeast 	GA	1979	6	13,848
Andersonville NHS	ANDE	National Historic Site	Southeast 	GA	1979	7	16,945
Andersonville NHS	ANDE	National Historic Site	Southeast 	GA	1979	8	14,547
Andersonville NHS	ANDE	National Historic Site	Southeast 	GA	1979	9	10,686
Andersonville NHS	ANDE	National Historic Site	Southeast 	GA	1979	10	12,820
Andersonville NHS	ANDE	National Historic Site	Southeast 	GA	1979	11	7,064
Andersonville NHS	ANDE	National Historic Site	Southeast 	GA	1979	12	5,915
Andersonville NHS	ANDE	National Historic Site	Southeast 	GA	1980	1	7,012
Andersonville NHS	ANDE	National Historic Site	Southeast 	GA	1980	2	8,383
Andersonville NHS	ANDE	National Historic Site	Southeast 	GA	1980	3	10,594
Andersonville NHS	ANDE	National Historic Site	Southeast 	GA	1980	4	14,360
Andersonville NHS	ANDE	National Historic Site	Southeast 	GA	1980	5	12,704
Andersonville NHS	ANDE	National Historic Site	Southeast 	GA	1980	6	13,313
Andersonville NHS	ANDE	National Historic Site	Southeast 	GA	1980	7	14,142
Andersonville NHS	ANDE	National Historic Site	Southeast 	GA	1980	8	12,815
Andersonville NHS	ANDE	National Historic Site	Southeast 	GA	1980	9	8,802
Andersonville NHS	ANDE	National Historic Site	Southeast 	GA	1980	10	11,045
Andersonville NHS	ANDE	National Historic Site	Southeast 	GA	1980	11	7,417
Andersonville NHS	ANDE	National Historic Site	Southeast 	GA	1980	12	6,113
Andersonville NHS	ANDE	National Historic Site	Southeast 	GA	1981	1	7,337
Andersonville NHS	ANDE	National Historic Site	Southeast 	GA	1981	2	7,028
Andersonville NHS	ANDE	National Historic Site	Southeast 	GA	1981	3	10,836
Andersonville NHS	ANDE	National Historic Site	Southeast 	GA	1981	4	11,405
Andersonville NHS	ANDE	National Historic Site	Southeast 	GA	1981	5	10,226
Andersonville NHS	ANDE	National Historic Site	Southeast 	GA	1981	6	10,509
Andersonville NHS	ANDE	National Historic Site	Southeast 	GA	1981	7	10,851
Andersonville NHS	ANDE	National Historic Site	Southeast 	GA	1981	8	13,321
Andersonville NHS	ANDE	National Historic Site	Southeast 	GA	1981	9	9,926
Andersonville NHS	ANDE	National Historic Site	Southeast 	GA	1981	10	10,625
Andersonville NHS	ANDE	National Historic Site	Southeast 	GA	1981	11	6,600
Andersonville NHS	ANDE	National Historic Site	Southeast 	GA	1981	12	5,033
Andersonville NHS	ANDE	National Historic Site	Southeast 	GA	1982	1	4,491
Andersonville NHS	ANDE	National Historic Site	Southeast 	GA	1982	2	5,907
Andersonville NHS	ANDE	National Historic Site	Southeast 	GA	1982	3	8,230
Andersonville NHS	ANDE	National Historic Site	Southeast 	GA	1982	4	8,721
Andersonville NHS	ANDE	National Historic Site	Southeast 	GA	1982	5	10,190
Andersonville NHS	ANDE	National Historic Site	Southeast 	GA	1982	6	8,241
Andersonville NHS	ANDE	National Historic Site	Southeast 	GA	1982	7	12,661
Andersonville NHS	ANDE	National Historic Site	Southeast 	GA	1982	8	14,653
Andersonville NHS	ANDE	National Historic Site	Southeast 	GA	1982	9	6,782
Andersonville NHS	ANDE	National Historic Site	Southeast 	GA	1982	10	11,760
Andersonville NHS	ANDE	National Historic Site	Southeast 	GA	1982	11	7,116
Andersonville NHS	ANDE	National Historic Site	Southeast 	GA	1982	12	5,301
Andersonville NHS	ANDE	National Historic Site	Southeast 	GA	1983	1	5,340
Andersonville NHS	ANDE	National Historic Site	Southeast 	GA	1983	2	6,063
Andersonville NHS	ANDE	National Historic Site	Southeast 	GA	1983	3	9,204
Andersonville NHS	ANDE	National Historic Site	Southeast 	GA	1983	4	9,236
Andersonville NHS	ANDE	National Historic Site	Southeast 	GA	1983	5	10,937
