Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Andrew Johnson NHS	ANJO	National Historic Site	Southeast 	TN	1979	1	1,531
Andrew Johnson NHS	ANJO	National Historic Site	Southeast 	TN	1979	2	1,780
Andrew Johnson NHS	ANJO	National Historic Site	Southeast 	TN	1979	3	3,320
Andrew Johnson NHS	ANJO	National Historic Site	Southeast 	TN	1979	4	3,600
Andrew Johnson NHS	ANJO	National Historic Site	Southeast 	TN	1979	5	5,410
Andrew Johnson NHS	ANJO	National Historic Site	Southeast 	TN	1979	6	3,992
Andrew Johnson NHS	ANJO	National Historic Site	Southeast 	TN	1979	7	8,334
Andrew Johnson NHS	ANJO	National Historic Site	Southeast 	TN	1979	8	8,646
Andrew Johnson NHS	ANJO	National Historic Site	Southeast 	TN	1979	9	3,353
Andrew Johnson NHS	ANJO	National Historic Site	Southeast 	TN	1979	10	3,155
Andrew Johnson NHS	ANJO	National Historic Site	Southeast 	TN	1979	11	1,865
Andrew Johnson NHS	ANJO	National Historic Site	Southeast 	TN	1979	12	2,688
Andrew Johnson NHS	ANJO	National Historic Site	Southeast 	TN	1980	1	3,956
Andrew Johnson NHS	ANJO	National Historic Site	Southeast 	TN	1980	2	5,258
Andrew Johnson NHS	ANJO	National Historic Site	Southeast 	TN	1980	3	5,157
Andrew Johnson NHS	ANJO	National Historic Site	Southeast 	TN	1980	4	7,515
Andrew Johnson NHS	ANJO	National Historic Site	Southeast 	TN	1980	5	8,954
Andrew Johnson NHS	ANJO	National Historic Site	Southeast 	TN	1980	6	7,304
Andrew Johnson NHS	ANJO	National Historic Site	Southeast 	TN	1980	7	7,084
Andrew Johnson NHS	ANJO	National Historic Site	Southeast 	TN	1980	8	6,358
Andrew Johnson NHS	ANJO	National Historic Site	Southeast 	TN	1980	9	4,677
Andrew Johnson NHS	ANJO	National Historic Site	Southeast 	TN	1980	10	3,982
Andrew Johnson NHS	ANJO	National Historic Site	Southeast 	TN	1980	11	2,671
Andrew Johnson NHS	ANJO	National Historic Site	Southeast 	TN	1980	12	2,675
Andrew Johnson NHS	ANJO	National Historic Site	Southeast 	TN	1981	1	2,402
Andrew Johnson NHS	ANJO	National Historic Site	Southeast 	TN	1981	2	2,574
Andrew Johnson NHS	ANJO	National Historic Site	Southeast 	TN	1981	3	2,772
Andrew Johnson NHS	ANJO	National Historic Site	Southeast 	TN	1981	4	3,560
Andrew Johnson NHS	ANJO	National Historic Site	Southeast 	TN	1981	5	5,636
Andrew Johnson NHS	ANJO	National Historic Site	Southeast 	TN	1981	6	9,253
Andrew Johnson NHS	ANJO	National Historic Site	Southeast 	TN	1981	7	10,701
Andrew Johnson NHS	ANJO	National Historic Site	Southeast 	TN	1981	8	8,734
Andrew Johnson NHS	ANJO	National Historic Site	Southeast 	TN	1981	9	7,080
Andrew Johnson NHS	ANJO	National Historic Site	Southeast 	TN	1981	10	7,801
Andrew Johnson NHS	ANJO	National Historic Site	Southeast 	TN	1981	11	6,745
Andrew Johnson NHS	ANJO	National Historic Site	Southeast 	TN	1981	12	6,842
Andrew Johnson NHS	ANJO	National Historic Site	Southeast 	TN	1982	1	4,176
Andrew Johnson NHS	ANJO	National Historic Site	Southeast 	TN	1982	2	5,157
Andrew Johnson NHS	ANJO	National Historic Site	Southeast 	TN	1982	3	6,024
Andrew Johnson NHS	ANJO	National Historic Site	Southeast 	TN	1982	4	8,215
Andrew Johnson NHS	ANJO	National Historic Site	Southeast 	TN	1982	5	7,102
Andrew Johnson NHS	ANJO	National Historic Site	Southeast 	TN	1982	6	5,276
Andrew Johnson NHS	ANJO	National Historic Site	Southeast 	TN	1982	7	5,931
Andrew Johnson NHS	ANJO	National Historic Site	Southeast 	TN	1982	8	8,100
Andrew Johnson NHS	ANJO	National Historic Site	Southeast 	TN	1982	9	6,943
Andrew Johnson NHS	ANJO	National Historic Site	Southeast 	TN	1982	10	7,533
Andrew Johnson NHS	ANJO	National Historic Site	Southeast 	TN	1982	11	7,247
Andrew Johnson NHS	ANJO	National Historic Site	Southeast 	TN	1982	12	5,874
Andrew Johnson NHS	ANJO	National Historic Site	Southeast 	TN	1983	1	5,636
Andrew Johnson NHS	ANJO	National Historic Site	Southeast 	TN	1983	2	7,163
Andrew Johnson NHS	ANJO	National Historic Site	Southeast 	TN	1983	3	9,935
Andrew Johnson NHS	ANJO	National Historic Site	Southeast 	TN	1983	4	9,698
Andrew Johnson NHS	ANJO	National Historic Site	Southeast 	TN	1983	5	17,811
Andrew Johnson NHS	ANJO	National Historic Site	Southeast 	TN	1983	6	13,402
Andrew Johnson NHS	ANJO	National Historic Site	Southeast 	TN	1983	7	13,358
Andrew Johnson NHS	ANJO	National Historic Site	Southeast 	TN	1983	8	12,487
Andrew Johnson NHS	ANJO	National Historic Site	Southeast 	TN	1983	9	10,626
Andrew Johnson NHS	ANJO	National Historic Site	Southeast 	TN	1983	10	9,473
Andrew Johnson NHS	ANJO	National Historic Site	Southeast 	TN	1983	11	4,849
Andrew Johnson NHS	ANJO	National Historic Site	Southeast 	TN	1983	12	4,972
Andrew Johnson NHS	ANJO	National Historic Site	Southeast 	TN	1984	1	4,664
Andrew Johnson NHS	ANJO	National Historic Site	Southeast 	TN	1984	2	4,048
Andrew Johnson NHS	ANJO	National Historic Site	Southeast 	TN	1984	3	4,563
Andrew Johnson NHS	ANJO	National Historic Site	Southeast 	TN	1984	4	6,222
Andrew Johnson NHS	ANJO	National Historic Site	Southeast 	TN	1984	5	11,334
Andrew Johnson NHS	ANJO	National Historic Site	Southeast 	TN	1984	6	8,412
Andrew Johnson NHS	ANJO	National Historic Site	Southeast 	TN	1984	7	12,447
Andrew Johnson NHS	ANJO	National Historic Site	Southeast 	TN	1984	8	8,223
Andrew Johnson NHS	ANJO	National Historic Site	Southeast 	TN	1984	9	6,222
Andrew Johnson NHS	ANJO	National Historic Site	Southeast 	TN	1984	10	9,315
Andrew Johnson NHS	ANJO	National Historic Site	Southeast 	TN	1984	11	4,842
Andrew Johnson NHS	ANJO	National Historic Site	Southeast 	TN	1984	12	4,597
Andrew Johnson NHS	ANJO	National Historic Site	Southeast 	TN	1985	1	1,960
Andrew Johnson NHS	ANJO	National Historic Site	Southeast 	TN	1985	2	3,242
Andrew Johnson NHS	ANJO	National Historic Site	Southeast 	TN	1985	3	5,931
Andrew Johnson NHS	ANJO	National Historic Site	Southeast 	TN	1985	4	7,204
Andrew Johnson NHS	ANJO	National Historic Site	Southeast 	TN	1985	5	12,271
Andrew Johnson NHS	ANJO	National Historic Site	Southeast 	TN	1985	6	7,222
Andrew Johnson NHS	ANJO	National Historic Site	Southeast 	TN	1985	7	6,684
Andrew Johnson NHS	ANJO	National Historic Site	Southeast 	TN	1985	8	5,931
Andrew Johnson NHS	ANJO	National Historic Site	Southeast 	TN	1985	9	4,257
Andrew Johnson NHS	ANJO	National Historic Site	Southeast 	TN	1985	10	7,105
Andrew Johnson NHS	ANJO	National Historic Site	Southeast 	TN	1985	11	3,650
Andrew Johnson NHS	ANJO	National Historic Site	Southeast 	TN	1985	12	3,150
Andrew Johnson NHS	ANJO	National Historic Site	Southeast 	TN	1986	1	2,876
Andrew Johnson NHS	ANJO	National Historic Site	Southeast 	TN	1986	2	2,603
Andrew Johnson NHS	ANJO	National Historic Site	Southeast 	TN	1986	3	4,954
Andrew Johnson NHS	ANJO	National Historic Site	Southeast 	TN	1986	4	5,734
Andrew Johnson NHS	ANJO	National Historic Site	Southeast 	TN	1986	5	12,916
Andrew Johnson NHS	ANJO	National Historic Site	Southeast 	TN	1986	6	8,322
Andrew Johnson NHS	ANJO	National Historic Site	Southeast 	TN	1986	7	6,976
Andrew Johnson NHS	ANJO	National Historic Site	Southeast 	TN	1986	8	7,364
Andrew Johnson NHS	ANJO	National Historic Site	Southeast 	TN	1986	9	5,129
Andrew Johnson NHS	ANJO	National Historic Site	Southeast 	TN	1986	10	7,111
Andrew Johnson NHS	ANJO	National Historic Site	Southeast 	TN	1986	11	4,180
Andrew Johnson NHS	ANJO	National Historic Site	Southeast 	TN	1986	12	4,435
Andrew Johnson NHS	ANJO	National Historic Site	Southeast 	TN	1987	1	2,438
Andrew Johnson NHS	ANJO	National Historic Site	Southeast 	TN	1987	2	3,571
Andrew Johnson NHS	ANJO	National Historic Site	Southeast 	TN	1987	3	4,723
Andrew Johnson NHS	ANJO	National Historic Site	Southeast 	TN	1987	4	5,807
Andrew Johnson NHS	ANJO	National Historic Site	Southeast 	TN	1987	5	12,618
Andrew Johnson NHS	ANJO	National Historic Site	Southeast 	TN	1987	6	8,136
Andrew Johnson NHS	ANJO	National Historic Site	Southeast 	TN	1987	7	7,937
Andrew Johnson NHS	ANJO	National Historic Site	Southeast 	TN	1987	8	8,378
Andrew Johnson NHS	ANJO	National Historic Site	Southeast 	TN	1987	9	5,860
Andrew Johnson NHS	ANJO	National Historic Site	Southeast 	TN	1987	10	9,538
Andrew Johnson NHS	ANJO	National Historic Site	Southeast 	TN	1987	11	4,014
Andrew Johnson NHS	ANJO	National Historic Site	Southeast 	TN	1987	12	4,075
Andrew Johnson NHS	ANJO	National Historic Site	Southeast 	TN	1988	1	2,330
Andrew Johnson NHS	ANJO	National Historic Site	Southeast 	TN	1988	2	3,340
Andrew Johnson NHS	ANJO	National Historic Site	Southeast 	TN	1988	3	5,561
Andrew Johnson NHS	ANJO	National Historic Site	Southeast 	TN	1988	4	8,299
Andrew Johnson NHS	ANJO	National Historic Site	Southeast 	TN	1988	5	13,375
Andrew Johnson NHS	ANJO	National Historic Site	Southeast 	TN	1988	6	9,251
Andrew Johnson NHS	ANJO	National Historic Site	Southeast 	TN	1988	7	8,789
Andrew Johnson NHS	ANJO	National Historic Site	Southeast 	TN	1988	8	6,982
Andrew Johnson NHS	ANJO	National Historic Site	Southeast 	TN	1988	9	5,403
Andrew Johnson NHS	ANJO	National Historic Site	Southeast 	TN	1988	10	6,939
