Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	1989	1	6
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	1989	2	6
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	1989	3	6
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	1989	4	10
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	1989	5	24
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	1989	6	47
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	1989	7	138
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	1989	8	254
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	1989	9	243
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	1989	10	111
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	1989	11	4
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	1989	12	4
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	1990	1	6
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	1990	2	6
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	1990	3	6
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	1990	4	10
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	1990	5	100
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	1990	6	45
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	1990	7	168
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	1990	8	278
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	1990	9	216
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	1990	10	124
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	1990	11	4
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	1990	12	4
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	1991	1	8
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	1991	2	6
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	1991	3	8
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	1991	4	36
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	1991	5	69
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	1991	6	92
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	1991	7	189
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	1991	8	407
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	1991	9	498
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	1991	10	136
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	1991	11	10
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	1991	12	10
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	1992	1	8
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	1992	2	6
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	1992	3	8
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	1992	4	35
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	1992	5	128
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	1992	6	107
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	1992	7	223
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	1992	8	526
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	1992	9	501
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	1992	10	75
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	1992	11	10
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	1992	12	11
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	1993	1	6
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	1993	2	6
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	1993	3	9
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	1993	4	51
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	1993	5	106
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	1993	6	125
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	1993	7	200
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	1993	8	461
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	1993	9	456
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	1993	10	158
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	1993	11	9
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	1993	12	6
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	1994	1	6
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	1994	2	8
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	1994	3	15
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	1994	4	29
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	1994	5	95
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	1994	6	125
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	1994	7	145
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	1994	8	250
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	1994	9	470
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	1994	10	13
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	1994	11	14
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	1994	12	23
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	1995	1	0
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	1995	2	0
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	1995	3	0
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	1995	4	0
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	1995	5	0
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	1995	6	0
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	1995	7	0
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	1995	8	0
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	1995	9	0
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	1995	10	0
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	1995	11	0
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	1995	12	0
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	1998	1	0
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	1998	2	0
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	1998	3	0
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	1998	4	0
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	1998	5	3
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	1998	6	13
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	1998	7	20
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	1998	8	87
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	1998	9	86
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	1998	10	0
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	1998	11	0
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	1998	12	0
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	1999	1	0
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	1999	2	0
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	1999	3	0
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	1999	4	0
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	1999	5	15
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	1999	6	15
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	1999	7	50
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	1999	8	120
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	1999	9	125
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	1999	10	52
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	1999	11	0
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	1999	12	0
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	2000	1	0
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	2000	2	0
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	2000	3	0
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	2000	4	0
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	2000	5	0
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	2000	6	6
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	2000	7	29
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	2000	8	116
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	2000	9	63
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	2000	10	37
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	2000	11	0
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	2000	12	0
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	2001	1	0
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	2001	2	0
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	2001	3	0
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	2001	4	0
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	2001	5	0
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	2001	6	6
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	2001	7	36
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	2001	8	52
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	2001	9	73
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	2001	10	39
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	2001	11	0
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	2001	12	0
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	2002	1	0
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	2002	2	0
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	2002	3	0
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	2002	4	0
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	2002	5	5
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	2002	6	11
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	2002	7	50
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	2002	8	62
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	2002	9	74
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	2002	10	39
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	2002	11	0
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	2002	12	0
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	2003	1	0
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	2003	2	0
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	2003	3	0
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	2003	4	0
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	2003	5	14
Aniakchak NM & PRES	ANIA	National Monument	Alaska	AK	2003	6	11
