Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Antietam NB	ANTI	National Battlefield	National Capital 	MD	1979	1	19,683
Antietam NB	ANTI	National Battlefield	National Capital 	MD	1979	2	10,960
Antietam NB	ANTI	National Battlefield	National Capital 	MD	1979	3	21,051
Antietam NB	ANTI	National Battlefield	National Capital 	MD	1979	4	22,865
Antietam NB	ANTI	National Battlefield	National Capital 	MD	1979	5	37,186
Antietam NB	ANTI	National Battlefield	National Capital 	MD	1979	6	33,406
Antietam NB	ANTI	National Battlefield	National Capital 	MD	1979	7	38,812
Antietam NB	ANTI	National Battlefield	National Capital 	MD	1979	8	36,142
Antietam NB	ANTI	National Battlefield	National Capital 	MD	1979	9	28,533
Antietam NB	ANTI	National Battlefield	National Capital 	MD	1979	10	32,836
Antietam NB	ANTI	National Battlefield	National Capital 	MD	1979	11	20,093
Antietam NB	ANTI	National Battlefield	National Capital 	MD	1979	12	18,043
Antietam NB	ANTI	National Battlefield	National Capital 	MD	1980	1	15,089
Antietam NB	ANTI	National Battlefield	National Capital 	MD	1980	2	20,499
Antietam NB	ANTI	National Battlefield	National Capital 	MD	1980	3	38,181
Antietam NB	ANTI	National Battlefield	National Capital 	MD	1980	4	24,000
Antietam NB	ANTI	National Battlefield	National Capital 	MD	1980	5	39,025
Antietam NB	ANTI	National Battlefield	National Capital 	MD	1980	6	38,598
Antietam NB	ANTI	National Battlefield	National Capital 	MD	1980	7	36,702
Antietam NB	ANTI	National Battlefield	National Capital 	MD	1980	8	38,879
Antietam NB	ANTI	National Battlefield	National Capital 	MD	1980	9	30,247
Antietam NB	ANTI	National Battlefield	National Capital 	MD	1980	10	30,271
Antietam NB	ANTI	National Battlefield	National Capital 	MD	1980	11	22,458
Antietam NB	ANTI	National Battlefield	National Capital 	MD	1980	12	18,831
Antietam NB	ANTI	National Battlefield	National Capital 	MD	1981	1	15,989
Antietam NB	ANTI	National Battlefield	National Capital 	MD	1981	2	18,323
Antietam NB	ANTI	National Battlefield	National Capital 	MD	1981	3	39,027
Antietam NB	ANTI	National Battlefield	National Capital 	MD	1981	4	44,111
Antietam NB	ANTI	National Battlefield	National Capital 	MD	1981	5	53,148
Antietam NB	ANTI	National Battlefield	National Capital 	MD	1981	6	54,843
Antietam NB	ANTI	National Battlefield	National Capital 	MD	1981	7	52,255
Antietam NB	ANTI	National Battlefield	National Capital 	MD	1981	8	54,601
Antietam NB	ANTI	National Battlefield	National Capital 	MD	1981	9	32,190
Antietam NB	ANTI	National Battlefield	National Capital 	MD	1981	10	43,414
Antietam NB	ANTI	National Battlefield	National Capital 	MD	1981	11	38,128
Antietam NB	ANTI	National Battlefield	National Capital 	MD	1981	12	22,049
Antietam NB	ANTI	National Battlefield	National Capital 	MD	1982	1	10,353
Antietam NB	ANTI	National Battlefield	National Capital 	MD	1982	2	21,406
Antietam NB	ANTI	National Battlefield	National Capital 	MD	1982	3	44,372
Antietam NB	ANTI	National Battlefield	National Capital 	MD	1982	4	33,989
Antietam NB	ANTI	National Battlefield	National Capital 	MD	1982	5	38,920
Antietam NB	ANTI	National Battlefield	National Capital 	MD	1982	6	38,925
Antietam NB	ANTI	National Battlefield	National Capital 	MD	1982	7	49,435
Antietam NB	ANTI	National Battlefield	National Capital 	MD	1982	8	46,433
Antietam NB	ANTI	National Battlefield	National Capital 	MD	1982	9	35,565
