Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Apostle Islands NL	APIS	National Lakeshore	Midwest 	WI	1979	1	64
Apostle Islands NL	APIS	National Lakeshore	Midwest 	WI	1979	2	76
Apostle Islands NL	APIS	National Lakeshore	Midwest 	WI	1979	3	69
Apostle Islands NL	APIS	National Lakeshore	Midwest 	WI	1979	4	172
Apostle Islands NL	APIS	National Lakeshore	Midwest 	WI	1979	5	5,711
Apostle Islands NL	APIS	National Lakeshore	Midwest 	WI	1979	6	13,614
Apostle Islands NL	APIS	National Lakeshore	Midwest 	WI	1979	7	25,886
Apostle Islands NL	APIS	National Lakeshore	Midwest 	WI	1979	8	17,633
Apostle Islands NL	APIS	National Lakeshore	Midwest 	WI	1979	9	9,366
Apostle Islands NL	APIS	National Lakeshore	Midwest 	WI	1979	10	2,871
Apostle Islands NL	APIS	National Lakeshore	Midwest 	WI	1979	11	40
Apostle Islands NL	APIS	National Lakeshore	Midwest 	WI	1979	12	127
Apostle Islands NL	APIS	National Lakeshore	Midwest 	WI	1980	1	330
Apostle Islands NL	APIS	National Lakeshore	Midwest 	WI	1980	2	60
Apostle Islands NL	APIS	National Lakeshore	Midwest 	WI	1980	3	105
Apostle Islands NL	APIS	National Lakeshore	Midwest 	WI	1980	4	320
Apostle Islands NL	APIS	National Lakeshore	Midwest 	WI	1980	5	5,335
Apostle Islands NL	APIS	National Lakeshore	Midwest 	WI	1980	6	14,232
Apostle Islands NL	APIS	National Lakeshore	Midwest 	WI	1980	7	30,049
Apostle Islands NL	APIS	National Lakeshore	Midwest 	WI	1980	8	22,704
Apostle Islands NL	APIS	National Lakeshore	Midwest 	WI	1980	9	12,207
Apostle Islands NL	APIS	National Lakeshore	Midwest 	WI	1980	10	2,517
Apostle Islands NL	APIS	National Lakeshore	Midwest 	WI	1980	11	431
Apostle Islands NL	APIS	National Lakeshore	Midwest 	WI	1980	12	177
Apostle Islands NL	APIS	National Lakeshore	Midwest 	WI	1981	1	189
Apostle Islands NL	APIS	National Lakeshore	Midwest 	WI	1981	2	155
Apostle Islands NL	APIS	National Lakeshore	Midwest 	WI	1981	3	320
Apostle Islands NL	APIS	National Lakeshore	Midwest 	WI	1981	4	384
Apostle Islands NL	APIS	National Lakeshore	Midwest 	WI	1981	5	6,526
Apostle Islands NL	APIS	National Lakeshore	Midwest 	WI	1981	6	14,919
Apostle Islands NL	APIS	National Lakeshore	Midwest 	WI	1981	7	30,321
Apostle Islands NL	APIS	National Lakeshore	Midwest 	WI	1981	8	29,429
Apostle Islands NL	APIS	National Lakeshore	Midwest 	WI	1981	9	15,082
