Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Appomattox Court House NHP	APCO	National Historical Park	Northeast 	VA	1979	1	4,011
Appomattox Court House NHP	APCO	National Historical Park	Northeast 	VA	1979	2	3,998
Appomattox Court House NHP	APCO	National Historical Park	Northeast 	VA	1979	3	10,890
Appomattox Court House NHP	APCO	National Historical Park	Northeast 	VA	1979	4	20,773
Appomattox Court House NHP	APCO	National Historical Park	Northeast 	VA	1979	5	21,395
Appomattox Court House NHP	APCO	National Historical Park	Northeast 	VA	1979	6	27,614
Appomattox Court House NHP	APCO	National Historical Park	Northeast 	VA	1979	7	34,499
Appomattox Court House NHP	APCO	National Historical Park	Northeast 	VA	1979	8	31,246
Appomattox Court House NHP	APCO	National Historical Park	Northeast 	VA	1979	9	16,314
Appomattox Court House NHP	APCO	National Historical Park	Northeast 	VA	1979	10	22,506
Appomattox Court House NHP	APCO	National Historical Park	Northeast 	VA	1979	11	8,817
Appomattox Court House NHP	APCO	National Historical Park	Northeast 	VA	1979	12	6,348
Appomattox Court House NHP	APCO	National Historical Park	Northeast 	VA	1980	1	3,209
Appomattox Court House NHP	APCO	National Historical Park	Northeast 	VA	1980	2	3,855
Appomattox Court House NHP	APCO	National Historical Park	Northeast 	VA	1980	3	9,752
Appomattox Court House NHP	APCO	National Historical Park	Northeast 	VA	1980	4	18,674
Appomattox Court House NHP	APCO	National Historical Park	Northeast 	VA	1980	5	24,138
Appomattox Court House NHP	APCO	National Historical Park	Northeast 	VA	1980	6	29,396
Appomattox Court House NHP	APCO	National Historical Park	Northeast 	VA	1980	7	37,508
Appomattox Court House NHP	APCO	National Historical Park	Northeast 	VA	1980	8	36,375
Appomattox Court House NHP	APCO	National Historical Park	Northeast 	VA	1980	9	17,511
Appomattox Court House NHP	APCO	National Historical Park	Northeast 	VA	1980	10	23,853
Appomattox Court House NHP	APCO	National Historical Park	Northeast 	VA	1980	11	10,223
Appomattox Court House NHP	APCO	National Historical Park	Northeast 	VA	1980	12	4,230
Appomattox Court House NHP	APCO	National Historical Park	Northeast 	VA	1981	1	3,891
Appomattox Court House NHP	APCO	National Historical Park	Northeast 	VA	1981	2	4,563
