Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Arkansas Post NMEM	ARPO	National Memorial	Midwest 	AR	1979	1	3,356
Arkansas Post NMEM	ARPO	National Memorial	Midwest 	AR	1979	2	3,544
Arkansas Post NMEM	ARPO	National Memorial	Midwest 	AR	1979	3	6,208
Arkansas Post NMEM	ARPO	National Memorial	Midwest 	AR	1979	4	6,675
Arkansas Post NMEM	ARPO	National Memorial	Midwest 	AR	1979	5	7,888
Arkansas Post NMEM	ARPO	National Memorial	Midwest 	AR	1979	6	6,464
Arkansas Post NMEM	ARPO	National Memorial	Midwest 	AR	1979	7	6,872
Arkansas Post NMEM	ARPO	National Memorial	Midwest 	AR	1979	8	5,232
Arkansas Post NMEM	ARPO	National Memorial	Midwest 	AR	1979	9	4,112
Arkansas Post NMEM	ARPO	National Memorial	Midwest 	AR	1979	10	4,000
Arkansas Post NMEM	ARPO	National Memorial	Midwest 	AR	1979	11	3,768
Arkansas Post NMEM	ARPO	National Memorial	Midwest 	AR	1979	12	3,388
Arkansas Post NMEM	ARPO	National Memorial	Midwest 	AR	1980	1	4,396
Arkansas Post NMEM	ARPO	National Memorial	Midwest 	AR	1980	2	3,484
Arkansas Post NMEM	ARPO	National Memorial	Midwest 	AR	1980	3	4,468
Arkansas Post NMEM	ARPO	National Memorial	Midwest 	AR	1980	4	5,687
Arkansas Post NMEM	ARPO	National Memorial	Midwest 	AR	1980	5	7,727
Arkansas Post NMEM	ARPO	National Memorial	Midwest 	AR	1980	6	7,194
Arkansas Post NMEM	ARPO	National Memorial	Midwest 	AR	1980	7	6,908
Arkansas Post NMEM	ARPO	National Memorial	Midwest 	AR	1980	8	6,588
Arkansas Post NMEM	ARPO	National Memorial	Midwest 	AR	1980	9	3,840
Arkansas Post NMEM	ARPO	National Memorial	Midwest 	AR	1980	10	5,310
Arkansas Post NMEM	ARPO	National Memorial	Midwest 	AR	1980	11	4,040
Arkansas Post NMEM	ARPO	National Memorial	Midwest 	AR	1980	12	3,360
Arkansas Post NMEM	ARPO	National Memorial	Midwest 	AR	1981	1	4,180
Arkansas Post NMEM	ARPO	National Memorial	Midwest 	AR	1981	2	2,736
Arkansas Post NMEM	ARPO	National Memorial	Midwest 	AR	1981	3	3,880
Arkansas Post NMEM	ARPO	National Memorial	Midwest 	AR	1981	4	5,964
Arkansas Post NMEM	ARPO	National Memorial	Midwest 	AR	1981	5	6,221
Arkansas Post NMEM	ARPO	National Memorial	Midwest 	AR	1981	6	5,520
Arkansas Post NMEM	ARPO	National Memorial	Midwest 	AR	1981	7	5,096
Arkansas Post NMEM	ARPO	National Memorial	Midwest 	AR	1981	8	4,484
Arkansas Post NMEM	ARPO	National Memorial	Midwest 	AR	1981	9	3,596
