Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Arlington House The R.E. Lee MEM	ARHO	National Memorial	National Capital 	VA	1979	1	6,731
Arlington House The R.E. Lee MEM	ARHO	National Memorial	National Capital 	VA	1979	2	7,912
Arlington House The R.E. Lee MEM	ARHO	National Memorial	National Capital 	VA	1979	3	35,110
Arlington House The R.E. Lee MEM	ARHO	National Memorial	National Capital 	VA	1979	4	96,296
Arlington House The R.E. Lee MEM	ARHO	National Memorial	National Capital 	VA	1979	5	65,651
Arlington House The R.E. Lee MEM	ARHO	National Memorial	National Capital 	VA	1979	6	46,115
Arlington House The R.E. Lee MEM	ARHO	National Memorial	National Capital 	VA	1979	7	41,359
Arlington House The R.E. Lee MEM	ARHO	National Memorial	National Capital 	VA	1979	8	54,690
Arlington House The R.E. Lee MEM	ARHO	National Memorial	National Capital 	VA	1979	9	36,368
Arlington House The R.E. Lee MEM	ARHO	National Memorial	National Capital 	VA	1979	10	35,137
Arlington House The R.E. Lee MEM	ARHO	National Memorial	National Capital 	VA	1979	11	21,690
Arlington House The R.E. Lee MEM	ARHO	National Memorial	National Capital 	VA	1979	12	12,287
Arlington House The R.E. Lee MEM	ARHO	National Memorial	National Capital 	VA	1980	1	7,600
Arlington House The R.E. Lee MEM	ARHO	National Memorial	National Capital 	VA	1980	2	11,442
Arlington House The R.E. Lee MEM	ARHO	National Memorial	National Capital 	VA	1980	3	41,815
Arlington House The R.E. Lee MEM	ARHO	National Memorial	National Capital 	VA	1980	4	88,384
Arlington House The R.E. Lee MEM	ARHO	National Memorial	National Capital 	VA	1980	5	62,770
Arlington House The R.E. Lee MEM	ARHO	National Memorial	National Capital 	VA	1980	6	54,239
Arlington House The R.E. Lee MEM	ARHO	National Memorial	National Capital 	VA	1980	7	51,009
Arlington House The R.E. Lee MEM	ARHO	National Memorial	National Capital 	VA	1980	8	75,020
Arlington House The R.E. Lee MEM	ARHO	National Memorial	National Capital 	VA	1980	9	30,720
Arlington House The R.E. Lee MEM	ARHO	National Memorial	National Capital 	VA	1980	10	32,309
Arlington House The R.E. Lee MEM	ARHO	National Memorial	National Capital 	VA	1980	11	18,566
Arlington House The R.E. Lee MEM	ARHO	National Memorial	National Capital 	VA	1980	12	10,490
Arlington House The R.E. Lee MEM	ARHO	National Memorial	National Capital 	VA	1981	1	9,680
Arlington House The R.E. Lee MEM	ARHO	National Memorial	National Capital 	VA	1981	2	13,640
Arlington House The R.E. Lee MEM	ARHO	National Memorial	National Capital 	VA	1981	3	6,380
Arlington House The R.E. Lee MEM	ARHO	National Memorial	National Capital 	VA	1981	4	15,320
Arlington House The R.E. Lee MEM	ARHO	National Memorial	National Capital 	VA	1981	5	14,267
Arlington House The R.E. Lee MEM	ARHO	National Memorial	National Capital 	VA	1981	6	66,017
Arlington House The R.E. Lee MEM	ARHO	National Memorial	National Capital 	VA	1981	7	53,251
Arlington House The R.E. Lee MEM	ARHO	National Memorial	National Capital 	VA	1981	8	51,633
Arlington House The R.E. Lee MEM	ARHO	National Memorial	National Capital 	VA	1981	9	48,708
Arlington House The R.E. Lee MEM	ARHO	National Memorial	National Capital 	VA	1981	10	29,162
Arlington House The R.E. Lee MEM	ARHO	National Memorial	National Capital 	VA	1981	11	17,943
Arlington House The R.E. Lee MEM	ARHO	National Memorial	National Capital 	VA	1981	12	10,592
Arlington House The R.E. Lee MEM	ARHO	National Memorial	National Capital 	VA	1982	1	4,657
Arlington House The R.E. Lee MEM	ARHO	National Memorial	National Capital 	VA	1982	2	11,661
Arlington House The R.E. Lee MEM	ARHO	National Memorial	National Capital 	VA	1982	3	27,887
Arlington House The R.E. Lee MEM	ARHO	National Memorial	National Capital 	VA	1982	4	67,121
Arlington House The R.E. Lee MEM	ARHO	National Memorial	National Capital 	VA	1982	5	52,989
Arlington House The R.E. Lee MEM	ARHO	National Memorial	National Capital 	VA	1982	6	79,026
Arlington House The R.E. Lee MEM	ARHO	National Memorial	National Capital 	VA	1982	7	86,566
Arlington House The R.E. Lee MEM	ARHO	National Memorial	National Capital 	VA	1982	8	81,980
Arlington House The R.E. Lee MEM	ARHO	National Memorial	National Capital 	VA	1982	9	35,492
Arlington House The R.E. Lee MEM	ARHO	National Memorial	National Capital 	VA	1982	10	29,967
Arlington House The R.E. Lee MEM	ARHO	National Memorial	National Capital 	VA	1982	11	21,715
Arlington House The R.E. Lee MEM	ARHO	National Memorial	National Capital 	VA	1982	12	12,921
Arlington House The R.E. Lee MEM	ARHO	National Memorial	National Capital 	VA	1983	1	8,930
Arlington House The R.E. Lee MEM	ARHO	National Memorial	National Capital 	VA	1983	2	10,915
Arlington House The R.E. Lee MEM	ARHO	National Memorial	National Capital 	VA	1983	3	42,406
Arlington House The R.E. Lee MEM	ARHO	National Memorial	National Capital 	VA	1983	4	62,264
Arlington House The R.E. Lee MEM	ARHO	National Memorial	National Capital 	VA	1983	5	51,224
Arlington House The R.E. Lee MEM	ARHO	National Memorial	National Capital 	VA	1983	6	71,704
Arlington House The R.E. Lee MEM	ARHO	National Memorial	National Capital 	VA	1983	7	86,573
Arlington House The R.E. Lee MEM	ARHO	National Memorial	National Capital 	VA	1983	8	76,424
Arlington House The R.E. Lee MEM	ARHO	National Memorial	National Capital 	VA	1983	9	32,740
Arlington House The R.E. Lee MEM	ARHO	National Memorial	National Capital 	VA	1983	10	36,280
Arlington House The R.E. Lee MEM	ARHO	National Memorial	National Capital 	VA	1983	11	22,506
Arlington House The R.E. Lee MEM	ARHO	National Memorial	National Capital 	VA	1983	12	12,897
Arlington House The R.E. Lee MEM	ARHO	National Memorial	National Capital 	VA	1984	1	7,124
Arlington House The R.E. Lee MEM	ARHO	National Memorial	National Capital 	VA	1984	2	12,571
Arlington House The R.E. Lee MEM	ARHO	National Memorial	National Capital 	VA	1984	3	26,145
Arlington House The R.E. Lee MEM	ARHO	National Memorial	National Capital 	VA	1984	4	74,569
Arlington House The R.E. Lee MEM	ARHO	National Memorial	National Capital 	VA	1984	5	50,623
Arlington House The R.E. Lee MEM	ARHO	National Memorial	National Capital 	VA	1984	6	98,433
Arlington House The R.E. Lee MEM	ARHO	National Memorial	National Capital 	VA	1984	7	1,37,640
Arlington House The R.E. Lee MEM	ARHO	National Memorial	National Capital 	VA	1984	8	1,00,485
Arlington House The R.E. Lee MEM	ARHO	National Memorial	National Capital 	VA	1984	9	52,010
Arlington House The R.E. Lee MEM	ARHO	National Memorial	National Capital 	VA	1984	10	36,269
Arlington House The R.E. Lee MEM	ARHO	National Memorial	National Capital 	VA	1984	11	23,582
Arlington House The R.E. Lee MEM	ARHO	National Memorial	National Capital 	VA	1984	12	16,297
Arlington House The R.E. Lee MEM	ARHO	National Memorial	National Capital 	VA	1985	1	9,744
Arlington House The R.E. Lee MEM	ARHO	National Memorial	National Capital 	VA	1985	2	14,348
Arlington House The R.E. Lee MEM	ARHO	National Memorial	National Capital 	VA	1985	3	30,479
Arlington House The R.E. Lee MEM	ARHO	National Memorial	National Capital 	VA	1985	4	67,577
Arlington House The R.E. Lee MEM	ARHO	National Memorial	National Capital 	VA	1985	5	54,148
Arlington House The R.E. Lee MEM	ARHO	National Memorial	National Capital 	VA	1985	6	68,393
Arlington House The R.E. Lee MEM	ARHO	National Memorial	National Capital 	VA	1985	7	78,948
Arlington House The R.E. Lee MEM	ARHO	National Memorial	National Capital 	VA	1985	8	71,080
Arlington House The R.E. Lee MEM	ARHO	National Memorial	National Capital 	VA	1985	9	31,837
Arlington House The R.E. Lee MEM	ARHO	National Memorial	National Capital 	VA	1985	10	37,261
Arlington House The R.E. Lee MEM	ARHO	National Memorial	National Capital 	VA	1985	11	18,603
