Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Assateague Island NS	ASIS	National Seashore	Northeast 	MD	1979	1	48,050
Assateague Island NS	ASIS	National Seashore	Northeast 	MD	1979	2	48,818
Assateague Island NS	ASIS	National Seashore	Northeast 	MD	1979	3	50,794
Assateague Island NS	ASIS	National Seashore	Northeast 	MD	1979	4	1,10,513
Assateague Island NS	ASIS	National Seashore	Northeast 	MD	1979	5	1,50,960
Assateague Island NS	ASIS	National Seashore	Northeast 	MD	1979	6	1,68,974
Assateague Island NS	ASIS	National Seashore	Northeast 	MD	1979	7	2,71,543
Assateague Island NS	ASIS	National Seashore	Northeast 	MD	1979	8	3,78,321
Assateague Island NS	ASIS	National Seashore	Northeast 	MD	1979	9	2,28,328
Assateague Island NS	ASIS	National Seashore	Northeast 	MD	1979	10	1,02,143
Assateague Island NS	ASIS	National Seashore	Northeast 	MD	1979	11	79,903
Assateague Island NS	ASIS	National Seashore	Northeast 	MD	1979	12	36,514
Assateague Island NS	ASIS	National Seashore	Northeast 	MD	1980	1	41,953
Assateague Island NS	ASIS	National Seashore	Northeast 	MD	1980	2	48,122
Assateague Island NS	ASIS	National Seashore	Northeast 	MD	1980	3	61,997
Assateague Island NS	ASIS	National Seashore	Northeast 	MD	1980	4	1,10,973
Assateague Island NS	ASIS	National Seashore	Northeast 	MD	1980	5	1,84,995
Assateague Island NS	ASIS	National Seashore	Northeast 	MD	1980	6	2,91,009
Assateague Island NS	ASIS	National Seashore	Northeast 	MD	1980	7	4,03,975
Assateague Island NS	ASIS	National Seashore	Northeast 	MD	1980	8	3,98,897
Assateague Island NS	ASIS	National Seashore	Northeast 	MD	1980	9	2,29,576
Assateague Island NS	ASIS	National Seashore	Northeast 	MD	1980	10	90,097
Assateague Island NS	ASIS	National Seashore	Northeast 	MD	1980	11	66,523
Assateague Island NS	ASIS	National Seashore	Northeast 	MD	1980	12	39,408
Assateague Island NS	ASIS	National Seashore	Northeast 	MD	1981	1	41,708
Assateague Island NS	ASIS	National Seashore	Northeast 	MD	1981	2	41,169
Assateague Island NS	ASIS	National Seashore	Northeast 	MD	1981	3	53,609
Assateague Island NS	ASIS	National Seashore	Northeast 	MD	1981	4	1,23,060
Assateague Island NS	ASIS	National Seashore	Northeast 	MD	1981	5	1,86,699
Assateague Island NS	ASIS	National Seashore	Northeast 	MD	1981	6	2,85,429
Assateague Island NS	ASIS	National Seashore	Northeast 	MD	1981	7	3,67,704
Assateague Island NS	ASIS	National Seashore	Northeast 	MD	1981	8	4,33,101
Assateague Island NS	ASIS	National Seashore	Northeast 	MD	1981	9	2,38,855
Assateague Island NS	ASIS	National Seashore	Northeast 	MD	1981	10	1,21,017
Assateague Island NS	ASIS	National Seashore	Northeast 	MD	1981	11	86,876
Assateague Island NS	ASIS	National Seashore	Northeast 	MD	1981	12	40,089
Assateague Island NS	ASIS	National Seashore	Northeast 	MD	1982	1	33,371
Assateague Island NS	ASIS	National Seashore	Northeast 	MD	1982	2	37,956
Assateague Island NS	ASIS	National Seashore	Northeast 	MD	1982	3	48,237
Assateague Island NS	ASIS	National Seashore	Northeast 	MD	1982	4	1,09,345
Assateague Island NS	ASIS	National Seashore	Northeast 	MD	1982	5	1,38,709
Assateague Island NS	ASIS	National Seashore	Northeast 	MD	1982	6	2,60,602
Assateague Island NS	ASIS	National Seashore	Northeast 	MD	1982	7	4,55,816
Assateague Island NS	ASIS	National Seashore	Northeast 	MD	1982	8	4,31,369
Assateague Island NS	ASIS	National Seashore	Northeast 	MD	1982	9	2,56,801
Assateague Island NS	ASIS	National Seashore	Northeast 	MD	1982	10	1,30,225
Assateague Island NS	ASIS	National Seashore	Northeast 	MD	1982	11	79,377
Assateague Island NS	ASIS	National Seashore	Northeast 	MD	1982	12	37,630
Assateague Island NS	ASIS	National Seashore	Northeast 	MD	1983	1	61,631
Assateague Island NS	ASIS	National Seashore	Northeast 	MD	1983	2	51,100
Assateague Island NS	ASIS	National Seashore	Northeast 	MD	1983	3	59,993
Assateague Island NS	ASIS	National Seashore	Northeast 	MD	1983	4	1,02,628
Assateague Island NS	ASIS	National Seashore	Northeast 	MD	1983	5	1,90,471
Assateague Island NS	ASIS	National Seashore	Northeast 	MD	1983	6	3,38,379
Assateague Island NS	ASIS	National Seashore	Northeast 	MD	1983	7	4,67,740
Assateague Island NS	ASIS	National Seashore	Northeast 	MD	1983	8	4,02,952
