Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Aztec Ruins NM	AZRU	National Monument	Intermountain 	NM	1979	1	615
Aztec Ruins NM	AZRU	National Monument	Intermountain 	NM	1979	2	1,085
Aztec Ruins NM	AZRU	National Monument	Intermountain 	NM	1979	3	2,675
Aztec Ruins NM	AZRU	National Monument	Intermountain 	NM	1979	4	3,920
Aztec Ruins NM	AZRU	National Monument	Intermountain 	NM	1979	5	9,807
Aztec Ruins NM	AZRU	National Monument	Intermountain 	NM	1979	6	8,342
Aztec Ruins NM	AZRU	National Monument	Intermountain 	NM	1979	7	10,136
Aztec Ruins NM	AZRU	National Monument	Intermountain 	NM	1979	8	9,984
Aztec Ruins NM	AZRU	National Monument	Intermountain 	NM	1979	9	5,061
Aztec Ruins NM	AZRU	National Monument	Intermountain 	NM	1979	10	3,760
Aztec Ruins NM	AZRU	National Monument	Intermountain 	NM	1979	11	1,508
Aztec Ruins NM	AZRU	National Monument	Intermountain 	NM	1979	12	1,171
Aztec Ruins NM	AZRU	National Monument	Intermountain 	NM	1980	1	968
Aztec Ruins NM	AZRU	National Monument	Intermountain 	NM	1980	2	1,290
Aztec Ruins NM	AZRU	National Monument	Intermountain 	NM	1980	3	2,738
Aztec Ruins NM	AZRU	National Monument	Intermountain 	NM	1980	4	3,262
Aztec Ruins NM	AZRU	National Monument	Intermountain 	NM	1980	5	6,446
Aztec Ruins NM	AZRU	National Monument	Intermountain 	NM	1980	6	8,226
Aztec Ruins NM	AZRU	National Monument	Intermountain 	NM	1980	7	10,381
Aztec Ruins NM	AZRU	National Monument	Intermountain 	NM	1980	8	10,628
Aztec Ruins NM	AZRU	National Monument	Intermountain 	NM	1980	9	5,161
Aztec Ruins NM	AZRU	National Monument	Intermountain 	NM	1980	10	3,589
Aztec Ruins NM	AZRU	National Monument	Intermountain 	NM	1980	11	2,131
Aztec Ruins NM	AZRU	National Monument	Intermountain 	NM	1980	12	2,024
Aztec Ruins NM	AZRU	National Monument	Intermountain 	NM	1981	1	1,844
Aztec Ruins NM	AZRU	National Monument	Intermountain 	NM	1981	2	1,759
Aztec Ruins NM	AZRU	National Monument	Intermountain 	NM	1981	3	2,827
Aztec Ruins NM	AZRU	National Monument	Intermountain 	NM	1981	4	3,944
Aztec Ruins NM	AZRU	National Monument	Intermountain 	NM	1981	5	7,028
Aztec Ruins NM	AZRU	National Monument	Intermountain 	NM	1981	6	9,135
Aztec Ruins NM	AZRU	National Monument	Intermountain 	NM	1981	7	11,110
Aztec Ruins NM	AZRU	National Monument	Intermountain 	NM	1981	8	12,790
Aztec Ruins NM	AZRU	National Monument	Intermountain 	NM	1981	9	6,200
Aztec Ruins NM	AZRU	National Monument	Intermountain 	NM	1981	10	4,011
Aztec Ruins NM	AZRU	National Monument	Intermountain 	NM	1981	11	2,369
Aztec Ruins NM	AZRU	National Monument	Intermountain 	NM	1981	12	1,885
Aztec Ruins NM	AZRU	National Monument	Intermountain 	NM	1982	1	990
Aztec Ruins NM	AZRU	National Monument	Intermountain 	NM	1982	2	1,487
Aztec Ruins NM	AZRU	National Monument	Intermountain 	NM	1982	3	3,114
Aztec Ruins NM	AZRU	National Monument	Intermountain 	NM	1982	4	4,836
Aztec Ruins NM	AZRU	National Monument	Intermountain 	NM	1982	5	7,014
