Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Badlands NP	BADL	National Park	Midwest 	SD	1979	1	16,992
Badlands NP	BADL	National Park	Midwest 	SD	1979	2	15,887
Badlands NP	BADL	National Park	Midwest 	SD	1979	3	19,375
Badlands NP	BADL	National Park	Midwest 	SD	1979	4	26,056
Badlands NP	BADL	National Park	Midwest 	SD	1979	5	54,710
Badlands NP	BADL	National Park	Midwest 	SD	1979	6	1,38,423
Badlands NP	BADL	National Park	Midwest 	SD	1979	7	2,08,498
Badlands NP	BADL	National Park	Midwest 	SD	1979	8	1,94,501
Badlands NP	BADL	National Park	Midwest 	SD	1979	9	91,880
Badlands NP	BADL	National Park	Midwest 	SD	1979	10	52,486
Badlands NP	BADL	National Park	Midwest 	SD	1979	11	21,169
Badlands NP	BADL	National Park	Midwest 	SD	1979	12	18,023
Badlands NP	BADL	National Park	Midwest 	SD	1980	1	18,025
Badlands NP	BADL	National Park	Midwest 	SD	1980	2	15,890
Badlands NP	BADL	National Park	Midwest 	SD	1980	3	18,203
Badlands NP	BADL	National Park	Midwest 	SD	1980	4	26,416
Badlands NP	BADL	National Park	Midwest 	SD	1980	5	64,454
Badlands NP	BADL	National Park	Midwest 	SD	1980	6	1,67,212
Badlands NP	BADL	National Park	Midwest 	SD	1980	7	2,40,671
Badlands NP	BADL	National Park	Midwest 	SD	1980	8	2,16,200
Badlands NP	BADL	National Park	Midwest 	SD	1980	9	99,345
Badlands NP	BADL	National Park	Midwest 	SD	1980	10	46,812
Badlands NP	BADL	National Park	Midwest 	SD	1980	11	23,410
Badlands NP	BADL	National Park	Midwest 	SD	1980	12	16,014
Badlands NP	BADL	National Park	Midwest 	SD	1981	1	16,460
Badlands NP	BADL	National Park	Midwest 	SD	1981	2	15,772
Badlands NP	BADL	National Park	Midwest 	SD	1981	3	20,524
Badlands NP	BADL	National Park	Midwest 	SD	1981	4	34,168
Badlands NP	BADL	National Park	Midwest 	SD	1981	5	73,357
Badlands NP	BADL	National Park	Midwest 	SD	1981	6	1,92,909
Badlands NP	BADL	National Park	Midwest 	SD	1981	7	2,99,383
Badlands NP	BADL	National Park	Midwest 	SD	1981	8	2,54,029
Badlands NP	BADL	National Park	Midwest 	SD	1981	9	1,82,838
Badlands NP	BADL	National Park	Midwest 	SD	1981	10	52,592
Badlands NP	BADL	National Park	Midwest 	SD	1981	11	20,636
Badlands NP	BADL	National Park	Midwest 	SD	1981	12	13,284
Badlands NP	BADL	National Park	Midwest 	SD	1982	1	12,264
Badlands NP	BADL	National Park	Midwest 	SD	1982	2	15,202
Badlands NP	BADL	National Park	Midwest 	SD	1982	3	17,899
Badlands NP	BADL	National Park	Midwest 	SD	1982	4	26,518
Badlands NP	BADL	National Park	Midwest 	SD	1982	5	69,073
Badlands NP	BADL	National Park	Midwest 	SD	1982	6	1,88,644
Badlands NP	BADL	National Park	Midwest 	SD	1982	7	2,70,076
Badlands NP	BADL	National Park	Midwest 	SD	1982	8	2,42,958
Badlands NP	BADL	National Park	Midwest 	SD	1982	9	1,10,020
Badlands NP	BADL	National Park	Midwest 	SD	1982	10	45,298
Badlands NP	BADL	National Park	Midwest 	SD	1982	11	19,208
Badlands NP	BADL	National Park	Midwest 	SD	1982	12	13,324
Badlands NP	BADL	National Park	Midwest 	SD	1983	1	13,843
Badlands NP	BADL	National Park	Midwest 	SD	1983	2	17,445
Badlands NP	BADL	National Park	Midwest 	SD	1983	3	18,776
Badlands NP	BADL	National Park	Midwest 	SD	1983	4	25,203
Badlands NP	BADL	National Park	Midwest 	SD	1983	5	65,184
Badlands NP	BADL	National Park	Midwest 	SD	1983	6	1,86,972
Badlands NP	BADL	National Park	Midwest 	SD	1983	7	2,68,962
Badlands NP	BADL	National Park	Midwest 	SD	1983	8	2,23,451
Badlands NP	BADL	National Park	Midwest 	SD	1983	9	1,22,929
Badlands NP	BADL	National Park	Midwest 	SD	1983	10	48,777
Badlands NP	BADL	National Park	Midwest 	SD	1983	11	22,014
Badlands NP	BADL	National Park	Midwest 	SD	1983	12	13,425
Badlands NP	BADL	National Park	Midwest 	SD	1984	1	13,148
