Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Bandelier NM	BAND	National Monument	Intermountain 	NM	1979	1	2,000
Bandelier NM	BAND	National Monument	Intermountain 	NM	1979	2	3,981
Bandelier NM	BAND	National Monument	Intermountain 	NM	1979	3	12,100
Bandelier NM	BAND	National Monument	Intermountain 	NM	1979	4	12,248
Bandelier NM	BAND	National Monument	Intermountain 	NM	1979	5	19,504
Bandelier NM	BAND	National Monument	Intermountain 	NM	1979	6	20,667
Bandelier NM	BAND	National Monument	Intermountain 	NM	1979	7	24,753
Bandelier NM	BAND	National Monument	Intermountain 	NM	1979	8	27,787
Bandelier NM	BAND	National Monument	Intermountain 	NM	1979	9	15,952
Bandelier NM	BAND	National Monument	Intermountain 	NM	1979	10	13,305
Bandelier NM	BAND	National Monument	Intermountain 	NM	1979	11	5,199
Bandelier NM	BAND	National Monument	Intermountain 	NM	1979	12	3,840
Bandelier NM	BAND	National Monument	Intermountain 	NM	1980	1	3,547
Bandelier NM	BAND	National Monument	Intermountain 	NM	1980	2	4,298
Bandelier NM	BAND	National Monument	Intermountain 	NM	1980	3	9,561
Bandelier NM	BAND	National Monument	Intermountain 	NM	1980	4	13,369
Bandelier NM	BAND	National Monument	Intermountain 	NM	1980	5	24,151
Bandelier NM	BAND	National Monument	Intermountain 	NM	1980	6	23,741
Bandelier NM	BAND	National Monument	Intermountain 	NM	1980	7	28,669
Bandelier NM	BAND	National Monument	Intermountain 	NM	1980	8	24,021
Bandelier NM	BAND	National Monument	Intermountain 	NM	1980	9	15,241
Bandelier NM	BAND	National Monument	Intermountain 	NM	1980	10	15,967
Bandelier NM	BAND	National Monument	Intermountain 	NM	1980	11	6,906
Bandelier NM	BAND	National Monument	Intermountain 	NM	1980	12	6,939
Bandelier NM	BAND	National Monument	Intermountain 	NM	1981	1	7,249
Bandelier NM	BAND	National Monument	Intermountain 	NM	1981	2	6,259
Bandelier NM	BAND	National Monument	Intermountain 	NM	1981	3	9,846
Bandelier NM	BAND	National Monument	Intermountain 	NM	1981	4	15,766
Bandelier NM	BAND	National Monument	Intermountain 	NM	1981	5	26,301
Bandelier NM	BAND	National Monument	Intermountain 	NM	1981	6	22,998
Bandelier NM	BAND	National Monument	Intermountain 	NM	1981	7	29,656
Bandelier NM	BAND	National Monument	Intermountain 	NM	1981	8	29,313
Bandelier NM	BAND	National Monument	Intermountain 	NM	1981	9	16,912
Bandelier NM	BAND	National Monument	Intermountain 	NM	1981	10	16,508
Bandelier NM	BAND	National Monument	Intermountain 	NM	1981	11	9,122
Bandelier NM	BAND	National Monument	Intermountain 	NM	1981	12	7,644
Bandelier NM	BAND	National Monument	Intermountain 	NM	1982	1	5,316
Bandelier NM	BAND	National Monument	Intermountain 	NM	1982	2	5,142
Bandelier NM	BAND	National Monument	Intermountain 	NM	1982	3	12,082
Bandelier NM	BAND	National Monument	Intermountain 	NM	1982	4	18,297
Bandelier NM	BAND	National Monument	Intermountain 	NM	1982	5	31,485
Bandelier NM	BAND	National Monument	Intermountain 	NM	1982	6	26,912
Bandelier NM	BAND	National Monument	Intermountain 	NM	1982	7	32,454
Bandelier NM	BAND	National Monument	Intermountain 	NM	1982	8	32,348
Bandelier NM	BAND	National Monument	Intermountain 	NM	1982	9	18,705
Bandelier NM	BAND	National Monument	Intermountain 	NM	1982	10	17,213
Bandelier NM	BAND	National Monument	Intermountain 	NM	1982	11	6,903
Bandelier NM	BAND	National Monument	Intermountain 	NM	1982	12	3,993
Bandelier NM	BAND	National Monument	Intermountain 	NM	1983	1	4,334
Bandelier NM	BAND	National Monument	Intermountain 	NM	1983	2	5,112
