Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Belmont-Paul Women's Equality NM	BEPA	National Monument	National Capital 		2016	1	0
Belmont-Paul Women's Equality NM	BEPA	National Monument	National Capital 		2016	2	0
Belmont-Paul Women's Equality NM	BEPA	National Monument	National Capital 		2016	3	0
Belmont-Paul Women's Equality NM	BEPA	National Monument	National Capital 		2016	4	0
Belmont-Paul Women's Equality NM	BEPA	National Monument	National Capital 		2016	5	232
Belmont-Paul Women's Equality NM	BEPA	National Monument	National Capital 		2016	6	320
Belmont-Paul Women's Equality NM	BEPA	National Monument	National Capital 		2016	7	430
Belmont-Paul Women's Equality NM	BEPA	National Monument	National Capital 		2016	8	529
Belmont-Paul Women's Equality NM	BEPA	National Monument	National Capital 		2016	9	282
Belmont-Paul Women's Equality NM	BEPA	National Monument	National Capital 		2016	10	415
Belmont-Paul Women's Equality NM	BEPA	National Monument	National Capital 		2016	11	263
Belmont-Paul Women's Equality NM	BEPA	National Monument	National Capital 		2016	12	233
Belmont-Paul Women's Equality NM	BEPA	National Monument	National Capital 		2017	1	2,383
Belmont-Paul Women's Equality NM	BEPA	National Monument	National Capital 		2017	2	659
Belmont-Paul Women's Equality NM	BEPA	National Monument	National Capital 		2017	3	1,458
Belmont-Paul Women's Equality NM	BEPA	National Monument	National Capital 		2017	4	883
Belmont-Paul Women's Equality NM	BEPA	National Monument	National Capital 		2017	5	762
Belmont-Paul Women's Equality NM	BEPA	National Monument	National Capital 		2017	6	850
Belmont-Paul Women's Equality NM	BEPA	National Monument	National Capital 		2017	7	804
Belmont-Paul Women's Equality NM	BEPA	National Monument	National Capital 		2017	8	761
Belmont-Paul Women's Equality NM	BEPA	National Monument	National Capital 		2017	9	537
Belmont-Paul Women's Equality NM	BEPA	National Monument	National Capital 		2017	10	747
Belmont-Paul Women's Equality NM	BEPA	National Monument	National Capital 		2017	11	573
Belmont-Paul Women's Equality NM	BEPA	National Monument	National Capital 		2017	12	476
Belmont-Paul Women's Equality NM	BEPA	National Monument	National Capital 		2018	1	5
Belmont-Paul Women's Equality NM	BEPA	National Monument	National Capital 		2018	2	366
Belmont-Paul Women's Equality NM	BEPA	National Monument	National Capital 		2018	3	1,276
Belmont-Paul Women's Equality NM	BEPA	National Monument	National Capital 		2018	4	1,058
Belmont-Paul Women's Equality NM	BEPA	National Monument	National Capital 		2018	5	765
Belmont-Paul Women's Equality NM	BEPA	National Monument	National Capital 		2018	6	955
Belmont-Paul Women's Equality NM	BEPA	National Monument	National Capital 		2018	7	1,053
Belmont-Paul Women's Equality NM	BEPA	National Monument	National Capital 		2018	8	1,070
Belmont-Paul Women's Equality NM	BEPA	National Monument	National Capital 		2018	9	609
Belmont-Paul Women's Equality NM	BEPA	National Monument	National Capital 		2018	10	844
Belmont-Paul Women's Equality NM	BEPA	National Monument	National Capital 		2018	11	718
Belmont-Paul Women's Equality NM	BEPA	National Monument	National Capital 		2018	12	362
Belmont-Paul Women's Equality NM	BEPA	National Monument	National Capital 		2019	1	23
Belmont-Paul Women's Equality NM	BEPA	National Monument	National Capital 		2019	2	561
Belmont-Paul Women's Equality NM	BEPA	National Monument	National Capital 		2019	3	1,486
Belmont-Paul Women's Equality NM	BEPA	National Monument	National Capital 		2019	4	990
Belmont-Paul Women's Equality NM	BEPA	National Monument	National Capital 		2019	5	905
Belmont-Paul Women's Equality NM	BEPA	National Monument	National Capital 		2019	6	1,344
Belmont-Paul Women's Equality NM	BEPA	National Monument	National Capital 		2019	7	461
Belmont-Paul Women's Equality NM	BEPA	National Monument	National Capital 		2019	8	789
Belmont-Paul Women's Equality NM	BEPA	National Monument	National Capital 		2019	9	815
Belmont-Paul Women's Equality NM	BEPA	National Monument	National Capital 		2019	10	1,094
Belmont-Paul Women's Equality NM	BEPA	National Monument	National Capital 		2019	11	899
Belmont-Paul Women's Equality NM	BEPA	National Monument	National Capital 		2019	12	546
Belmont-Paul Women's Equality NM	BEPA	National Monument	National Capital 		2020	1	918
Belmont-Paul Women's Equality NM	BEPA	National Monument	National Capital 		2020	2	981
Belmont-Paul Women's Equality NM	BEPA	National Monument	National Capital 		2020	3	619
Belmont-Paul Women's Equality NM	BEPA	National Monument	National Capital 		2020	4	0
Belmont-Paul Women's Equality NM	BEPA	National Monument	National Capital 		2020	5	0
Belmont-Paul Women's Equality NM	BEPA	National Monument	National Capital 		2020	6	0
