Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Bent's Old Fort NHS	BEOL	National Historic Site	Intermountain 	CO	1979	1	3,194
Bent's Old Fort NHS	BEOL	National Historic Site	Intermountain 	CO	1979	2	3,773
Bent's Old Fort NHS	BEOL	National Historic Site	Intermountain 	CO	1979	3	5,493
Bent's Old Fort NHS	BEOL	National Historic Site	Intermountain 	CO	1979	4	6,086
Bent's Old Fort NHS	BEOL	National Historic Site	Intermountain 	CO	1979	5	8,749
Bent's Old Fort NHS	BEOL	National Historic Site	Intermountain 	CO	1979	6	13,100
Bent's Old Fort NHS	BEOL	National Historic Site	Intermountain 	CO	1979	7	16,350
Bent's Old Fort NHS	BEOL	National Historic Site	Intermountain 	CO	1979	8	13,957
Bent's Old Fort NHS	BEOL	National Historic Site	Intermountain 	CO	1979	9	4,111
Bent's Old Fort NHS	BEOL	National Historic Site	Intermountain 	CO	1979	10	8,071
Bent's Old Fort NHS	BEOL	National Historic Site	Intermountain 	CO	1979	11	7,977
Bent's Old Fort NHS	BEOL	National Historic Site	Intermountain 	CO	1979	12	3,792
Bent's Old Fort NHS	BEOL	National Historic Site	Intermountain 	CO	1980	1	3,047
Bent's Old Fort NHS	BEOL	National Historic Site	Intermountain 	CO	1980	2	3,822
Bent's Old Fort NHS	BEOL	National Historic Site	Intermountain 	CO	1980	3	1,897
Bent's Old Fort NHS	BEOL	National Historic Site	Intermountain 	CO	1980	4	2,936
Bent's Old Fort NHS	BEOL	National Historic Site	Intermountain 	CO	1980	5	5,968
Bent's Old Fort NHS	BEOL	National Historic Site	Intermountain 	CO	1980	6	9,966
Bent's Old Fort NHS	BEOL	National Historic Site	Intermountain 	CO	1980	7	12,825
Bent's Old Fort NHS	BEOL	National Historic Site	Intermountain 	CO	1980	8	6,574
Bent's Old Fort NHS	BEOL	National Historic Site	Intermountain 	CO	1980	9	2,928
Bent's Old Fort NHS	BEOL	National Historic Site	Intermountain 	CO	1980	10	2,095
Bent's Old Fort NHS	BEOL	National Historic Site	Intermountain 	CO	1980	11	1,172
Bent's Old Fort NHS	BEOL	National Historic Site	Intermountain 	CO	1980	12	1,299
Bent's Old Fort NHS	BEOL	National Historic Site	Intermountain 	CO	1981	1	2,321
Bent's Old Fort NHS	BEOL	National Historic Site	Intermountain 	CO	1981	2	1,026
Bent's Old Fort NHS	BEOL	National Historic Site	Intermountain 	CO	1981	3	1,504
Bent's Old Fort NHS	BEOL	National Historic Site	Intermountain 	CO	1981	4	2,879
