Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	1998	1	120
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	1998	2	120
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	1998	3	450
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	1998	4	100
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	1998	5	150
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	1998	6	500
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	1998	7	1,000
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	1998	8	700
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	1998	9	300
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	1998	10	150
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	1998	11	50
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	1998	12	100
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	1999	1	75
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	1999	2	75
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	1999	3	350
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	1999	4	100
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	1999	5	100
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	1999	6	500
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	1999	7	500
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	1999	8	700
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	1999	9	300
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	1999	10	150
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	1999	11	50
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	1999	12	100
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2000	1	100
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2000	2	75
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2000	3	350
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2000	4	100
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2000	5	100
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2000	6	500
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2000	7	500
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2000	8	700
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2000	9	300
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2000	10	150
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2000	11	50
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2000	12	100
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2001	1	150
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2001	2	245
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2001	3	500
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2001	4	400
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2001	5	150
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2001	6	100
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2001	7	550
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2001	8	770
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2001	9	330
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2001	10	165
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2001	11	55
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2001	12	110
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2002	1	50
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2002	2	150
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2002	3	200
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2002	4	350
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2002	5	200
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2002	6	100
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2002	7	500
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2002	8	700
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2002	9	300
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2002	10	150
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2002	11	50
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2002	12	25
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2003	1	30
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2003	2	75
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2003	3	150
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2003	4	200
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2003	5	200
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2003	6	225
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2003	7	350
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2003	8	500
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2003	9	400
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2003	10	150
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2003	11	120
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2003	12	25
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2004	1	30
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2004	2	80
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2004	3	175
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2004	4	195
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2004	5	125
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2004	6	350
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2004	7	400
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2004	8	410
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2004	9	400
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2004	10	400
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2004	11	120
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2004	12	25
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2005	1	35
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2005	2	82
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2005	3	180
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2005	4	200
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2005	5	125
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2005	6	351
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2005	7	395
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2005	8	412
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2005	9	80
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2005	10	404
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2005	11	132
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2005	12	32
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2006	1	20
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2006	2	30
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2006	3	50
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2006	4	57
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2006	5	22
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2006	6	178
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2006	7	277
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2006	8	304
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2006	9	132
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2006	10	150
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2006	11	25
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2006	12	20
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2007	1	25
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2007	2	25
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2007	3	35
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2007	4	45
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2007	5	137
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2007	6	134
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2007	7	168
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2007	8	134
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2007	9	24
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2007	10	21
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2007	11	23
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2007	12	25
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2008	1	24
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2008	2	108
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2008	3	178
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2008	4	78
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2008	5	65
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2008	6	122
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2008	7	122
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2008	8	134
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2008	9	108
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2008	10	24
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2008	11	25
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2008	12	31
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2009	1	31
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2009	2	33
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2009	3	43
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2009	4	45
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2009	5	43
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2009	6	134
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2009	7	177
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2009	8	255
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2009	9	26
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2009	10	66
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2009	11	145
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2009	12	56
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2010	1	260
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2010	2	127
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2010	3	292
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2010	4	216
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2010	5	172
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2010	6	148
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2010	7	438
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2010	8	156
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2010	9	61
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2010	10	422
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2010	11	182
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2010	12	168
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2011	1	131
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2011	2	128
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2011	3	292
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2011	4	216
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2011	5	74
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2011	6	80
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2011	7	170
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2011	8	156
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2011	9	266
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2011	10	176
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2011	11	145
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2011	12	56
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2012	1	260
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2012	2	127
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2012	3	292
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2012	4	216
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2012	5	172
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2012	6	148
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2012	7	438
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2012	8	156
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2012	9	61
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2012	10	422
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2012	11	182
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2012	12	168
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2013	1	260
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2013	2	127
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2013	3	292
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2013	4	216
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2013	5	172
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2013	6	148
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2013	7	438
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2013	8	156
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2013	9	61
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2013	10	422
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2013	11	182
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2013	12	168
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2014	1	260
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2014	2	127
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2014	3	292
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2014	4	210
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2014	5	172
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2014	6	148
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2014	7	438
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2014	8	156
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2014	9	61
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2014	10	422
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2014	11	182
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2014	12	168
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2015	1	260
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2015	2	127
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2015	3	292
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2015	4	216
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2015	5	172
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2015	6	148
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2015	7	438
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2015	8	156
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2015	9	61
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2015	10	422
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2015	11	182
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2015	12	168
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2016	1	260
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2016	2	127
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2016	3	292
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2016	4	216
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2016	5	172
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2016	6	148
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2016	7	438
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2016	8	156
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2016	9	61
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2016	10	422
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2016	11	182
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2016	12	168
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2017	1	260
Bering Land Bridge NPRES	BELA	National Preserve	Alaska	AK	2017	2	127
