Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Big Bend NP	BIBE	National Park	Intermountain 	TX	1979	1	22,294
Big Bend NP	BIBE	National Park	Intermountain 	TX	1979	2	16,796
Big Bend NP	BIBE	National Park	Intermountain 	TX	1979	3	45,669
Big Bend NP	BIBE	National Park	Intermountain 	TX	1979	4	44,866
Big Bend NP	BIBE	National Park	Intermountain 	TX	1979	5	18,691
Big Bend NP	BIBE	National Park	Intermountain 	TX	1979	6	28,633
Big Bend NP	BIBE	National Park	Intermountain 	TX	1979	7	15,990
Big Bend NP	BIBE	National Park	Intermountain 	TX	1979	8	18,432
Big Bend NP	BIBE	National Park	Intermountain 	TX	1979	9	19,056
Big Bend NP	BIBE	National Park	Intermountain 	TX	1979	10	16,633
Big Bend NP	BIBE	National Park	Intermountain 	TX	1979	11	26,879
Big Bend NP	BIBE	National Park	Intermountain 	TX	1979	12	9,002
Big Bend NP	BIBE	National Park	Intermountain 	TX	1980	1	23,095
Big Bend NP	BIBE	National Park	Intermountain 	TX	1980	2	14,945
Big Bend NP	BIBE	National Park	Intermountain 	TX	1980	3	30,237
Big Bend NP	BIBE	National Park	Intermountain 	TX	1980	4	25,430
Big Bend NP	BIBE	National Park	Intermountain 	TX	1980	5	14,458
Big Bend NP	BIBE	National Park	Intermountain 	TX	1980	6	11,467
Big Bend NP	BIBE	National Park	Intermountain 	TX	1980	7	8,574
Big Bend NP	BIBE	National Park	Intermountain 	TX	1980	8	9,197
Big Bend NP	BIBE	National Park	Intermountain 	TX	1980	9	9,309
Big Bend NP	BIBE	National Park	Intermountain 	TX	1980	10	10,343
Big Bend NP	BIBE	National Park	Intermountain 	TX	1980	11	9,999
Big Bend NP	BIBE	National Park	Intermountain 	TX	1980	12	6,954
Big Bend NP	BIBE	National Park	Intermountain 	TX	1981	1	12,816
Big Bend NP	BIBE	National Park	Intermountain 	TX	1981	2	9,092
Big Bend NP	BIBE	National Park	Intermountain 	TX	1981	3	25,057
Big Bend NP	BIBE	National Park	Intermountain 	TX	1981	4	24,094
Big Bend NP	BIBE	National Park	Intermountain 	TX	1981	5	17,269
Big Bend NP	BIBE	National Park	Intermountain 	TX	1981	6	13,084
Big Bend NP	BIBE	National Park	Intermountain 	TX	1981	7	12,463
Big Bend NP	BIBE	National Park	Intermountain 	TX	1981	8	11,407
Big Bend NP	BIBE	National Park	Intermountain 	TX	1981	9	10,222
Big Bend NP	BIBE	National Park	Intermountain 	TX	1981	10	8,615
Big Bend NP	BIBE	National Park	Intermountain 	TX	1981	11	12,290
Big Bend NP	BIBE	National Park	Intermountain 	TX	1981	12	10,923
Big Bend NP	BIBE	National Park	Intermountain 	TX	1982	1	13,518
Big Bend NP	BIBE	National Park	Intermountain 	TX	1982	2	12,016
Big Bend NP	BIBE	National Park	Intermountain 	TX	1982	3	24,188
Big Bend NP	BIBE	National Park	Intermountain 	TX	1982	4	25,565
Big Bend NP	BIBE	National Park	Intermountain 	TX	1982	5	16,900
Big Bend NP	BIBE	National Park	Intermountain 	TX	1982	6	16,763
Big Bend NP	BIBE	National Park	Intermountain 	TX	1982	7	12,623
Big Bend NP	BIBE	National Park	Intermountain 	TX	1982	8	12,969
Big Bend NP	BIBE	National Park	Intermountain 	TX	1982	9	9,395
Big Bend NP	BIBE	National Park	Intermountain 	TX	1982	10	13,289
Big Bend NP	BIBE	National Park	Intermountain 	TX	1982	11	13,937
Big Bend NP	BIBE	National Park	Intermountain 	TX	1982	12	8,981
Big Bend NP	BIBE	National Park	Intermountain 	TX	1983	1	10,415
Big Bend NP	BIBE	National Park	Intermountain 	TX	1983	2	10,141
Big Bend NP	BIBE	National Park	Intermountain 	TX	1983	3	20,173
Big Bend NP	BIBE	National Park	Intermountain 	TX	1983	4	20,457
Big Bend NP	BIBE	National Park	Intermountain 	TX	1983	5	15,563
