Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Big Cypress NPRES	BICY	National Preserve	Southeast 	FL	1989	1	9,941
Big Cypress NPRES	BICY	National Preserve	Southeast 	FL	1989	2	10,981
Big Cypress NPRES	BICY	National Preserve	Southeast 	FL	1989	3	10,954
Big Cypress NPRES	BICY	National Preserve	Southeast 	FL	1989	4	5,195
Big Cypress NPRES	BICY	National Preserve	Southeast 	FL	1989	5	3,425
Big Cypress NPRES	BICY	National Preserve	Southeast 	FL	1989	6	2,702
Big Cypress NPRES	BICY	National Preserve	Southeast 	FL	1989	7	3,635
Big Cypress NPRES	BICY	National Preserve	Southeast 	FL	1989	8	2,808
Big Cypress NPRES	BICY	National Preserve	Southeast 	FL	1989	9	3,005
Big Cypress NPRES	BICY	National Preserve	Southeast 	FL	1989	10	5,506
Big Cypress NPRES	BICY	National Preserve	Southeast 	FL	1989	11	9,211
Big Cypress NPRES	BICY	National Preserve	Southeast 	FL	1989	12	13,794
Big Cypress NPRES	BICY	National Preserve	Southeast 	FL	1990	1	22,092
Big Cypress NPRES	BICY	National Preserve	Southeast 	FL	1990	2	26,710
Big Cypress NPRES	BICY	National Preserve	Southeast 	FL	1990	3	23,331
Big Cypress NPRES	BICY	National Preserve	Southeast 	FL	1990	4	11,293
Big Cypress NPRES	BICY	National Preserve	Southeast 	FL	1990	5	4,533
Big Cypress NPRES	BICY	National Preserve	Southeast 	FL	1990	6	3,712
Big Cypress NPRES	BICY	National Preserve	Southeast 	FL	1990	7	3,658
Big Cypress NPRES	BICY	National Preserve	Southeast 	FL	1990	8	3,655
Big Cypress NPRES	BICY	National Preserve	Southeast 	FL	1990	9	3,653
Big Cypress NPRES	BICY	National Preserve	Southeast 	FL	1990	10	5,357
Big Cypress NPRES	BICY	National Preserve	Southeast 	FL	1990	11	8,220
Big Cypress NPRES	BICY	National Preserve	Southeast 	FL	1990	12	11,576
Big Cypress NPRES	BICY	National Preserve	Southeast 	FL	1991	1	22,225
Big Cypress NPRES	BICY	National Preserve	Southeast 	FL	1991	2	27,559
Big Cypress NPRES	BICY	National Preserve	Southeast 	FL	1991	3	24,478
Big Cypress NPRES	BICY	National Preserve	Southeast 	FL	1991	4	8,637
Big Cypress NPRES	BICY	National Preserve	Southeast 	FL	1991	5	7,150
Big Cypress NPRES	BICY	National Preserve	Southeast 	FL	1991	6	5,414
Big Cypress NPRES	BICY	National Preserve	Southeast 	FL	1991	7	5,733
Big Cypress NPRES	BICY	National Preserve	Southeast 	FL	1991	8	7,413
Big Cypress NPRES	BICY	National Preserve	Southeast 	FL	1991	9	6,891
Big Cypress NPRES	BICY	National Preserve	Southeast 	FL	1991	10	10,073
Big Cypress NPRES	BICY	National Preserve	Southeast 	FL	1991	11	14,030
Big Cypress NPRES	BICY	National Preserve	Southeast 	FL	1991	12	19,569
Big Cypress NPRES	BICY	National Preserve	Southeast 	FL	1992	1	19,456
Big Cypress NPRES	BICY	National Preserve	Southeast 	FL	1992	2	34,152
Big Cypress NPRES	BICY	National Preserve	Southeast 	FL	1992	3	29,361
Big Cypress NPRES	BICY	National Preserve	Southeast 	FL	1992	4	19,601
Big Cypress NPRES	BICY	National Preserve	Southeast 	FL	1992	5	11,792
Big Cypress NPRES	BICY	National Preserve	Southeast 	FL	1992	6	9,005
Big Cypress NPRES	BICY	National Preserve	Southeast 	FL	1992	7	10,274
Big Cypress NPRES	BICY	National Preserve	Southeast 	FL	1992	8	7,654
Big Cypress NPRES	BICY	National Preserve	Southeast 	FL	1992	9	9,976
Big Cypress NPRES	BICY	National Preserve	Southeast 	FL	1992	10	16,612
Big Cypress NPRES	BICY	National Preserve	Southeast 	FL	1992	11	20,878
Big Cypress NPRES	BICY	National Preserve	Southeast 	FL	1992	12	23,921
Big Cypress NPRES	BICY	National Preserve	Southeast 	FL	1993	1	27,507
Big Cypress NPRES	BICY	National Preserve	Southeast 	FL	1993	2	34,006
Big Cypress NPRES	BICY	National Preserve	Southeast 	FL	1993	3	28,793
Big Cypress NPRES	BICY	National Preserve	Southeast 	FL	1993	4	21,708
Big Cypress NPRES	BICY	National Preserve	Southeast 	FL	1993	5	13,944
Big Cypress NPRES	BICY	National Preserve	Southeast 	FL	1993	6	10,092
Big Cypress NPRES	BICY	National Preserve	Southeast 	FL	1993	7	12,911
Big Cypress NPRES	BICY	National Preserve	Southeast 	FL	1993	8	11,946
Big Cypress NPRES	BICY	National Preserve	Southeast 	FL	1993	9	12,699
Big Cypress NPRES	BICY	National Preserve	Southeast 	FL	1993	10	13,691
Big Cypress NPRES	BICY	National Preserve	Southeast 	FL	1993	11	26,253
