Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Big Hole NB	BIHO	National Battlefield	Pacific West 	MT	1979	1	95
Big Hole NB	BIHO	National Battlefield	Pacific West 	MT	1979	2	209
Big Hole NB	BIHO	National Battlefield	Pacific West 	MT	1979	3	451
Big Hole NB	BIHO	National Battlefield	Pacific West 	MT	1979	4	801
Big Hole NB	BIHO	National Battlefield	Pacific West 	MT	1979	5	4,943
Big Hole NB	BIHO	National Battlefield	Pacific West 	MT	1979	6	7,450
Big Hole NB	BIHO	National Battlefield	Pacific West 	MT	1979	7	9,896
Big Hole NB	BIHO	National Battlefield	Pacific West 	MT	1979	8	9,096
Big Hole NB	BIHO	National Battlefield	Pacific West 	MT	1979	9	5,203
Big Hole NB	BIHO	National Battlefield	Pacific West 	MT	1979	10	2,271
Big Hole NB	BIHO	National Battlefield	Pacific West 	MT	1979	11	483
Big Hole NB	BIHO	National Battlefield	Pacific West 	MT	1979	12	288
Big Hole NB	BIHO	National Battlefield	Pacific West 	MT	1980	1	147
Big Hole NB	BIHO	National Battlefield	Pacific West 	MT	1980	2	263
Big Hole NB	BIHO	National Battlefield	Pacific West 	MT	1980	3	316
Big Hole NB	BIHO	National Battlefield	Pacific West 	MT	1980	4	603
Big Hole NB	BIHO	National Battlefield	Pacific West 	MT	1980	5	2,779
Big Hole NB	BIHO	National Battlefield	Pacific West 	MT	1980	6	5,252
Big Hole NB	BIHO	National Battlefield	Pacific West 	MT	1980	7	11,239
Big Hole NB	BIHO	National Battlefield	Pacific West 	MT	1980	8	10,041
Big Hole NB	BIHO	National Battlefield	Pacific West 	MT	1980	9	4,185
Big Hole NB	BIHO	National Battlefield	Pacific West 	MT	1980	10	1,622
Big Hole NB	BIHO	National Battlefield	Pacific West 	MT	1980	11	614
Big Hole NB	BIHO	National Battlefield	Pacific West 	MT	1980	12	256
Big Hole NB	BIHO	National Battlefield	Pacific West 	MT	1981	1	405
Big Hole NB	BIHO	National Battlefield	Pacific West 	MT	1981	2	333
Big Hole NB	BIHO	National Battlefield	Pacific West 	MT	1981	3	597
Big Hole NB	BIHO	National Battlefield	Pacific West 	MT	1981	4	1,289
Big Hole NB	BIHO	National Battlefield	Pacific West 	MT	1981	5	5,683
Big Hole NB	BIHO	National Battlefield	Pacific West 	MT	1981	6	5,884
Big Hole NB	BIHO	National Battlefield	Pacific West 	MT	1981	7	11,983
Big Hole NB	BIHO	National Battlefield	Pacific West 	MT	1981	8	10,109
Big Hole NB	BIHO	National Battlefield	Pacific West 	MT	1981	9	4,881
Big Hole NB	BIHO	National Battlefield	Pacific West 	MT	1981	10	1,278
Big Hole NB	BIHO	National Battlefield	Pacific West 	MT	1981	11	590
Big Hole NB	BIHO	National Battlefield	Pacific West 	MT	1981	12	144
Big Hole NB	BIHO	National Battlefield	Pacific West 	MT	1982	1	117
Big Hole NB	BIHO	National Battlefield	Pacific West 	MT	1982	2	185
Big Hole NB	BIHO	National Battlefield	Pacific West 	MT	1982	3	367
Big Hole NB	BIHO	National Battlefield	Pacific West 	MT	1982	4	429
Big Hole NB	BIHO	National Battlefield	Pacific West 	MT	1982	5	2,876
Big Hole NB	BIHO	National Battlefield	Pacific West 	MT	1982	6	5,891
Big Hole NB	BIHO	National Battlefield	Pacific West 	MT	1982	7	11,999
Big Hole NB	BIHO	National Battlefield	Pacific West 	MT	1982	8	12,168
Big Hole NB	BIHO	National Battlefield	Pacific West 	MT	1982	9	4,759
Big Hole NB	BIHO	National Battlefield	Pacific West 	MT	1982	10	1,806
Big Hole NB	BIHO	National Battlefield	Pacific West 	MT	1982	11	425
Big Hole NB	BIHO	National Battlefield	Pacific West 	MT	1982	12	106
Big Hole NB	BIHO	National Battlefield	Pacific West 	MT	1983	1	160
Big Hole NB	BIHO	National Battlefield	Pacific West 	MT	1983	2	362
Big Hole NB	BIHO	National Battlefield	Pacific West 	MT	1983	3	419
Big Hole NB	BIHO	National Battlefield	Pacific West 	MT	1983	4	730
Big Hole NB	BIHO	National Battlefield	Pacific West 	MT	1983	5	2,998
Big Hole NB	BIHO	National Battlefield	Pacific West 	MT	1983	6	7,227
Big Hole NB	BIHO	National Battlefield	Pacific West 	MT	1983	7	13,590
Big Hole NB	BIHO	National Battlefield	Pacific West 	MT	1983	8	11,723
Big Hole NB	BIHO	National Battlefield	Pacific West 	MT	1983	9	5,163
Big Hole NB	BIHO	National Battlefield	Pacific West 	MT	1983	10	3,695
Big Hole NB	BIHO	National Battlefield	Pacific West 	MT	1983	11	542
Big Hole NB	BIHO	National Battlefield	Pacific West 	MT	1983	12	139
Big Hole NB	BIHO	National Battlefield	Pacific West 	MT	1984	1	244
Big Hole NB	BIHO	National Battlefield	Pacific West 	MT	1984	2	505
