Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Big Thicket NPRES	BITH	National Preserve	Intermountain 	TX	1981	1	575
Big Thicket NPRES	BITH	National Preserve	Intermountain 	TX	1981	2	616
Big Thicket NPRES	BITH	National Preserve	Intermountain 	TX	1981	3	1,142
Big Thicket NPRES	BITH	National Preserve	Intermountain 	TX	1981	4	1,306
Big Thicket NPRES	BITH	National Preserve	Intermountain 	TX	1981	5	1,245
Big Thicket NPRES	BITH	National Preserve	Intermountain 	TX	1981	6	939
Big Thicket NPRES	BITH	National Preserve	Intermountain 	TX	1981	7	849
Big Thicket NPRES	BITH	National Preserve	Intermountain 	TX	1981	8	2,425
Big Thicket NPRES	BITH	National Preserve	Intermountain 	TX	1981	9	3,822
Big Thicket NPRES	BITH	National Preserve	Intermountain 	TX	1981	10	3,660
Big Thicket NPRES	BITH	National Preserve	Intermountain 	TX	1981	11	2,002
Big Thicket NPRES	BITH	National Preserve	Intermountain 	TX	1981	12	4,182
Big Thicket NPRES	BITH	National Preserve	Intermountain 	TX	1982	1	3,572
Big Thicket NPRES	BITH	National Preserve	Intermountain 	TX	1982	2	2,224
Big Thicket NPRES	BITH	National Preserve	Intermountain 	TX	1982	3	2,717
Big Thicket NPRES	BITH	National Preserve	Intermountain 	TX	1982	4	2,968
Big Thicket NPRES	BITH	National Preserve	Intermountain 	TX	1982	5	2,681
Big Thicket NPRES	BITH	National Preserve	Intermountain 	TX	1982	6	2,513
Big Thicket NPRES	BITH	National Preserve	Intermountain 	TX	1982	7	3,505
Big Thicket NPRES	BITH	National Preserve	Intermountain 	TX	1982	8	5,775
Big Thicket NPRES	BITH	National Preserve	Intermountain 	TX	1982	9	3,280
Big Thicket NPRES	BITH	National Preserve	Intermountain 	TX	1982	10	5,028
Big Thicket NPRES	BITH	National Preserve	Intermountain 	TX	1982	11	5,463
Big Thicket NPRES	BITH	National Preserve	Intermountain 	TX	1982	12	4,098
Big Thicket NPRES	BITH	National Preserve	Intermountain 	TX	1983	1	2,724
Big Thicket NPRES	BITH	National Preserve	Intermountain 	TX	1983	2	1,754
Big Thicket NPRES	BITH	National Preserve	Intermountain 	TX	1983	3	2,960
Big Thicket NPRES	BITH	National Preserve	Intermountain 	TX	1983	4	3,894
Big Thicket NPRES	BITH	National Preserve	Intermountain 	TX	1983	5	2,567
Big Thicket NPRES	BITH	National Preserve	Intermountain 	TX	1983	6	1,408
Big Thicket NPRES	BITH	National Preserve	Intermountain 	TX	1983	7	1,920
Big Thicket NPRES	BITH	National Preserve	Intermountain 	TX	1983	8	2,948
Big Thicket NPRES	BITH	National Preserve	Intermountain 	TX	1983	9	1,739
Big Thicket NPRES	BITH	National Preserve	Intermountain 	TX	1983	10	5,061
Big Thicket NPRES	BITH	National Preserve	Intermountain 	TX	1983	11	4,831
Big Thicket NPRES	BITH	National Preserve	Intermountain 	TX	1983	12	1,549
Big Thicket NPRES	BITH	National Preserve	Intermountain 	TX	1984	1	2,310
Big Thicket NPRES	BITH	National Preserve	Intermountain 	TX	1984	2	2,411
Big Thicket NPRES	BITH	National Preserve	Intermountain 	TX	1984	3	6,750
Big Thicket NPRES	BITH	National Preserve	Intermountain 	TX	1984	4	5,310
Big Thicket NPRES	BITH	National Preserve	Intermountain 	TX	1984	5	7,221
Big Thicket NPRES	BITH	National Preserve	Intermountain 	TX	1984	6	10,919
Big Thicket NPRES	BITH	National Preserve	Intermountain 	TX	1984	7	8,349
Big Thicket NPRES	BITH	National Preserve	Intermountain 	TX	1984	8	9,658
Big Thicket NPRES	BITH	National Preserve	Intermountain 	TX	1984	9	6,471
Big Thicket NPRES	BITH	National Preserve	Intermountain 	TX	1984	10	8,019
Big Thicket NPRES	BITH	National Preserve	Intermountain 	TX	1984	11	9,902
Big Thicket NPRES	BITH	National Preserve	Intermountain 	TX	1984	12	4,228
Big Thicket NPRES	BITH	National Preserve	Intermountain 	TX	1985	1	3,196
Big Thicket NPRES	BITH	National Preserve	Intermountain 	TX	1985	2	2,536
Big Thicket NPRES	BITH	National Preserve	Intermountain 	TX	1985	3	5,071
Big Thicket NPRES	BITH	National Preserve	Intermountain 	TX	1985	4	6,893
Big Thicket NPRES	BITH	National Preserve	Intermountain 	TX	1985	5	8,197
Big Thicket NPRES	BITH	National Preserve	Intermountain 	TX	1985	6	8,571
Big Thicket NPRES	BITH	National Preserve	Intermountain 	TX	1985	7	7,233
Big Thicket NPRES	BITH	National Preserve	Intermountain 	TX	1985	8	10,289
Big Thicket NPRES	BITH	National Preserve	Intermountain 	TX	1985	9	6,616
Big Thicket NPRES	BITH	National Preserve	Intermountain 	TX	1985	10	7,891
Big Thicket NPRES	BITH	National Preserve	Intermountain 	TX	1985	11	5,624
Big Thicket NPRES	BITH	National Preserve	Intermountain 	TX	1985	12	5,547
Big Thicket NPRES	BITH	National Preserve	Intermountain 	TX	1986	1	5,119
Big Thicket NPRES	BITH	National Preserve	Intermountain 	TX	1986	2	3,604
Big Thicket NPRES	BITH	National Preserve	Intermountain 	TX	1986	3	5,249
Big Thicket NPRES	BITH	National Preserve	Intermountain 	TX	1986	4	4,520
Big Thicket NPRES	BITH	National Preserve	Intermountain 	TX	1986	5	9,649
Big Thicket NPRES	BITH	National Preserve	Intermountain 	TX	1986	6	5,594
Big Thicket NPRES	BITH	National Preserve	Intermountain 	TX	1986	7	3,827
Big Thicket NPRES	BITH	National Preserve	Intermountain 	TX	1986	8	7,382
Big Thicket NPRES	BITH	National Preserve	Intermountain 	TX	1986	9	5,749
Big Thicket NPRES	BITH	National Preserve	Intermountain 	TX	1986	10	5,514
Big Thicket NPRES	BITH	National Preserve	Intermountain 	TX	1986	11	6,313
Big Thicket NPRES	BITH	National Preserve	Intermountain 	TX	1986	12	4,149
Big Thicket NPRES	BITH	National Preserve	Intermountain 	TX	1987	1	4,411
Big Thicket NPRES	BITH	National Preserve	Intermountain 	TX	1987	2	3,055
Big Thicket NPRES	BITH	National Preserve	Intermountain 	TX	1987	3	4,701
Big Thicket NPRES	BITH	National Preserve	Intermountain 	TX	1987	4	5,932
Big Thicket NPRES	BITH	National Preserve	Intermountain 	TX	1987	5	8,160
Big Thicket NPRES	BITH	National Preserve	Intermountain 	TX	1987	6	4,000
Big Thicket NPRES	BITH	National Preserve	Intermountain 	TX	1987	7	5,933
Big Thicket NPRES	BITH	National Preserve	Intermountain 	TX	1987	8	6,134
