Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Bighorn Canyon NRA	BICA	National Recreation Area	Intermountain 	MT	1979	1	7,424
Bighorn Canyon NRA	BICA	National Recreation Area	Intermountain 	MT	1979	2	9,720
Bighorn Canyon NRA	BICA	National Recreation Area	Intermountain 	MT	1979	3	7,263
Bighorn Canyon NRA	BICA	National Recreation Area	Intermountain 	MT	1979	4	23,717
Bighorn Canyon NRA	BICA	National Recreation Area	Intermountain 	MT	1979	5	25,945
Bighorn Canyon NRA	BICA	National Recreation Area	Intermountain 	MT	1979	6	34,337
Bighorn Canyon NRA	BICA	National Recreation Area	Intermountain 	MT	1979	7	39,297
Bighorn Canyon NRA	BICA	National Recreation Area	Intermountain 	MT	1979	8	47,685
Bighorn Canyon NRA	BICA	National Recreation Area	Intermountain 	MT	1979	9	30,386
Bighorn Canyon NRA	BICA	National Recreation Area	Intermountain 	MT	1979	10	26,146
Bighorn Canyon NRA	BICA	National Recreation Area	Intermountain 	MT	1979	11	28,203
Bighorn Canyon NRA	BICA	National Recreation Area	Intermountain 	MT	1979	12	17,029
Bighorn Canyon NRA	BICA	National Recreation Area	Intermountain 	MT	1980	1	12,348
Bighorn Canyon NRA	BICA	National Recreation Area	Intermountain 	MT	1980	2	11,206
Bighorn Canyon NRA	BICA	National Recreation Area	Intermountain 	MT	1980	3	12,145
Bighorn Canyon NRA	BICA	National Recreation Area	Intermountain 	MT	1980	4	25,579
Bighorn Canyon NRA	BICA	National Recreation Area	Intermountain 	MT	1980	5	33,471
Bighorn Canyon NRA	BICA	National Recreation Area	Intermountain 	MT	1980	6	42,531
Bighorn Canyon NRA	BICA	National Recreation Area	Intermountain 	MT	1980	7	45,957
Bighorn Canyon NRA	BICA	National Recreation Area	Intermountain 	MT	1980	8	38,899
Bighorn Canyon NRA	BICA	National Recreation Area	Intermountain 	MT	1980	9	32,539
Bighorn Canyon NRA	BICA	National Recreation Area	Intermountain 	MT	1980	10	24,708
Bighorn Canyon NRA	BICA	National Recreation Area	Intermountain 	MT	1980	11	22,842
Bighorn Canyon NRA	BICA	National Recreation Area	Intermountain 	MT	1980	12	20,503
Bighorn Canyon NRA	BICA	National Recreation Area	Intermountain 	MT	1981	1	14,674
Bighorn Canyon NRA	BICA	National Recreation Area	Intermountain 	MT	1981	2	12,052
Bighorn Canyon NRA	BICA	National Recreation Area	Intermountain 	MT	1981	3	15,781
Bighorn Canyon NRA	BICA	National Recreation Area	Intermountain 	MT	1981	4	22,277
Bighorn Canyon NRA	BICA	National Recreation Area	Intermountain 	MT	1981	5	28,052
Bighorn Canyon NRA	BICA	National Recreation Area	Intermountain 	MT	1981	6	39,012
Bighorn Canyon NRA	BICA	National Recreation Area	Intermountain 	MT	1981	7	46,662
Bighorn Canyon NRA	BICA	National Recreation Area	Intermountain 	MT	1981	8	51,114
Bighorn Canyon NRA	BICA	National Recreation Area	Intermountain 	MT	1981	9	43,831
Bighorn Canyon NRA	BICA	National Recreation Area	Intermountain 	MT	1981	10	22,199
Bighorn Canyon NRA	BICA	National Recreation Area	Intermountain 	MT	1981	11	24,078
Bighorn Canyon NRA	BICA	National Recreation Area	Intermountain 	MT	1981	12	21,425
Bighorn Canyon NRA	BICA	National Recreation Area	Intermountain 	MT	1982	1	16,841
Bighorn Canyon NRA	BICA	National Recreation Area	Intermountain 	MT	1982	2	21,915
Bighorn Canyon NRA	BICA	National Recreation Area	Intermountain 	MT	1982	3	14,310
Bighorn Canyon NRA	BICA	National Recreation Area	Intermountain 	MT	1982	4	27,634
Bighorn Canyon NRA	BICA	National Recreation Area	Intermountain 	MT	1982	5	37,414
Bighorn Canyon NRA	BICA	National Recreation Area	Intermountain 	MT	1982	6	51,161
Bighorn Canyon NRA	BICA	National Recreation Area	Intermountain 	MT	1982	7	53,949
Bighorn Canyon NRA	BICA	National Recreation Area	Intermountain 	MT	1982	8	47,264
Bighorn Canyon NRA	BICA	National Recreation Area	Intermountain 	MT	1982	9	46,010
Bighorn Canyon NRA	BICA	National Recreation Area	Intermountain 	MT	1982	10	28,742
Bighorn Canyon NRA	BICA	National Recreation Area	Intermountain 	MT	1982	11	26,027
Bighorn Canyon NRA	BICA	National Recreation Area	Intermountain 	MT	1982	12	19,750
Bighorn Canyon NRA	BICA	National Recreation Area	Intermountain 	MT	1983	1	13,057
Bighorn Canyon NRA	BICA	National Recreation Area	Intermountain 	MT	1983	2	16,748
Bighorn Canyon NRA	BICA	National Recreation Area	Intermountain 	MT	1983	3	17,064
Bighorn Canyon NRA	BICA	National Recreation Area	Intermountain 	MT	1983	4	22,058
Bighorn Canyon NRA	BICA	National Recreation Area	Intermountain 	MT	1983	5	33,583
Bighorn Canyon NRA	BICA	National Recreation Area	Intermountain 	MT	1983	6	56,890
Bighorn Canyon NRA	BICA	National Recreation Area	Intermountain 	MT	1983	7	49,830
Bighorn Canyon NRA	BICA	National Recreation Area	Intermountain 	MT	1983	8	52,893
Bighorn Canyon NRA	BICA	National Recreation Area	Intermountain 	MT	1983	9	41,598
Bighorn Canyon NRA	BICA	National Recreation Area	Intermountain 	MT	1983	10	24,587
Bighorn Canyon NRA	BICA	National Recreation Area	Intermountain 	MT	1983	11	26,850
Bighorn Canyon NRA	BICA	National Recreation Area	Intermountain 	MT	1983	12	17,992
Bighorn Canyon NRA	BICA	National Recreation Area	Intermountain 	MT	1984	1	18,704
Bighorn Canyon NRA	BICA	National Recreation Area	Intermountain 	MT	1984	2	18,064
Bighorn Canyon NRA	BICA	National Recreation Area	Intermountain 	MT	1984	3	19,936
Bighorn Canyon NRA	BICA	National Recreation Area	Intermountain 	MT	1984	4	25,828
Bighorn Canyon NRA	BICA	National Recreation Area	Intermountain 	MT	1984	5	36,583
Bighorn Canyon NRA	BICA	National Recreation Area	Intermountain 	MT	1984	6	53,220
Bighorn Canyon NRA	BICA	National Recreation Area	Intermountain 	MT	1984	7	49,428
Bighorn Canyon NRA	BICA	National Recreation Area	Intermountain 	MT	1984	8	50,451
Bighorn Canyon NRA	BICA	National Recreation Area	Intermountain 	MT	1984	9	35,701
Bighorn Canyon NRA	BICA	National Recreation Area	Intermountain 	MT	1984	10	27,299
Bighorn Canyon NRA	BICA	National Recreation Area	Intermountain 	MT	1984	11	25,887
Bighorn Canyon NRA	BICA	National Recreation Area	Intermountain 	MT	1984	12	18,524
Bighorn Canyon NRA	BICA	National Recreation Area	Intermountain 	MT	1985	1	19,368
Bighorn Canyon NRA	BICA	National Recreation Area	Intermountain 	MT	1985	2	30,968
Bighorn Canyon NRA	BICA	National Recreation Area	Intermountain 	MT	1985	3	22,879
Bighorn Canyon NRA	BICA	National Recreation Area	Intermountain 	MT	1985	4	31,479
Bighorn Canyon NRA	BICA	National Recreation Area	Intermountain 	MT	1985	5	49,051
Bighorn Canyon NRA	BICA	National Recreation Area	Intermountain 	MT	1985	6	51,390
Bighorn Canyon NRA	BICA	National Recreation Area	Intermountain 	MT	1985	7	58,153
Bighorn Canyon NRA	BICA	National Recreation Area	Intermountain 	MT	1985	8	55,145
Bighorn Canyon NRA	BICA	National Recreation Area	Intermountain 	MT	1985	9	47,097
Bighorn Canyon NRA	BICA	National Recreation Area	Intermountain 	MT	1985	10	40,834
Bighorn Canyon NRA	BICA	National Recreation Area	Intermountain 	MT	1985	11	29,071
Bighorn Canyon NRA	BICA	National Recreation Area	Intermountain 	MT	1985	12	20,585
Bighorn Canyon NRA	BICA	National Recreation Area	Intermountain 	MT	1986	1	19,477
Bighorn Canyon NRA	BICA	National Recreation Area	Intermountain 	MT	1986	2	16,576
Bighorn Canyon NRA	BICA	National Recreation Area	Intermountain 	MT	1986	3	21,979
Bighorn Canyon NRA	BICA	National Recreation Area	Intermountain 	MT	1986	4	33,495
Bighorn Canyon NRA	BICA	National Recreation Area	Intermountain 	MT	1986	5	46,351
Bighorn Canyon NRA	BICA	National Recreation Area	Intermountain 	MT	1986	6	53,821
Bighorn Canyon NRA	BICA	National Recreation Area	Intermountain 	MT	1986	7	64,016
Bighorn Canyon NRA	BICA	National Recreation Area	Intermountain 	MT	1986	8	65,768
Bighorn Canyon NRA	BICA	National Recreation Area	Intermountain 	MT	1986	9	44,499
Bighorn Canyon NRA	BICA	National Recreation Area	Intermountain 	MT	1986	10	37,898
Bighorn Canyon NRA	BICA	National Recreation Area	Intermountain 	MT	1986	11	27,909
Bighorn Canyon NRA	BICA	National Recreation Area	Intermountain 	MT	1986	12	23,439
Bighorn Canyon NRA	BICA	National Recreation Area	Intermountain 	MT	1987	1	20,797
Bighorn Canyon NRA	BICA	National Recreation Area	Intermountain 	MT	1987	2	21,366
Bighorn Canyon NRA	BICA	National Recreation Area	Intermountain 	MT	1987	3	18,602
Bighorn Canyon NRA	BICA	National Recreation Area	Intermountain 	MT	1987	4	33,393
Bighorn Canyon NRA	BICA	National Recreation Area	Intermountain 	MT	1987	5	46,876
Bighorn Canyon NRA	BICA	National Recreation Area	Intermountain 	MT	1987	6	53,632
Bighorn Canyon NRA	BICA	National Recreation Area	Intermountain 	MT	1987	7	58,419
Bighorn Canyon NRA	BICA	National Recreation Area	Intermountain 	MT	1987	8	57,104
Bighorn Canyon NRA	BICA	National Recreation Area	Intermountain 	MT	1987	9	49,792
Bighorn Canyon NRA	BICA	National Recreation Area	Intermountain 	MT	1987	10	37,085
Bighorn Canyon NRA	BICA	National Recreation Area	Intermountain 	MT	1987	11	34,021
Bighorn Canyon NRA	BICA	National Recreation Area	Intermountain 	MT	1987	12	21,016
