Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Biscayne NP	BISC	National Park	Southeast 	FL	1979	1	10,216
Biscayne NP	BISC	National Park	Southeast 	FL	1979	2	13,979
Biscayne NP	BISC	National Park	Southeast 	FL	1979	3	17,010
Biscayne NP	BISC	National Park	Southeast 	FL	1979	4	19,773
Biscayne NP	BISC	National Park	Southeast 	FL	1979	5	23,505
Biscayne NP	BISC	National Park	Southeast 	FL	1979	6	19,107
Biscayne NP	BISC	National Park	Southeast 	FL	1979	7	22,740
Biscayne NP	BISC	National Park	Southeast 	FL	1979	8	21,110
Biscayne NP	BISC	National Park	Southeast 	FL	1979	9	10,129
Biscayne NP	BISC	National Park	Southeast 	FL	1979	10	13,936
Biscayne NP	BISC	National Park	Southeast 	FL	1979	11	13,029
Biscayne NP	BISC	National Park	Southeast 	FL	1979	12	18,404
Biscayne NP	BISC	National Park	Southeast 	FL	1980	1	23,008
Biscayne NP	BISC	National Park	Southeast 	FL	1980	2	16,373
Biscayne NP	BISC	National Park	Southeast 	FL	1980	3	17,582
Biscayne NP	BISC	National Park	Southeast 	FL	1980	4	22,600
Biscayne NP	BISC	National Park	Southeast 	FL	1980	5	24,102
Biscayne NP	BISC	National Park	Southeast 	FL	1980	6	25,117
Biscayne NP	BISC	National Park	Southeast 	FL	1980	7	27,412
Biscayne NP	BISC	National Park	Southeast 	FL	1980	8	26,232
Biscayne NP	BISC	National Park	Southeast 	FL	1980	9	17,871
Biscayne NP	BISC	National Park	Southeast 	FL	1980	10	17,835
Biscayne NP	BISC	National Park	Southeast 	FL	1980	11	17,704
Biscayne NP	BISC	National Park	Southeast 	FL	1980	12	12,235
Biscayne NP	BISC	National Park	Southeast 	FL	1981	1	15,537
Biscayne NP	BISC	National Park	Southeast 	FL	1981	2	19,828
Biscayne NP	BISC	National Park	Southeast 	FL	1981	3	22,080
Biscayne NP	BISC	National Park	Southeast 	FL	1981	4	25,652
Biscayne NP	BISC	National Park	Southeast 	FL	1981	5	35,701
Biscayne NP	BISC	National Park	Southeast 	FL	1981	6	23,785
Biscayne NP	BISC	National Park	Southeast 	FL	1981	7	33,116
Biscayne NP	BISC	National Park	Southeast 	FL	1981	8	25,406
Biscayne NP	BISC	National Park	Southeast 	FL	1981	9	21,930
Biscayne NP	BISC	National Park	Southeast 	FL	1981	10	43,507
Biscayne NP	BISC	National Park	Southeast 	FL	1981	11	20,575
Biscayne NP	BISC	National Park	Southeast 	FL	1981	12	18,385
Biscayne NP	BISC	National Park	Southeast 	FL	1982	1	24,660
Biscayne NP	BISC	National Park	Southeast 	FL	1982	2	26,793
Biscayne NP	BISC	National Park	Southeast 	FL	1982	3	31,776
Biscayne NP	BISC	National Park	Southeast 	FL	1982	4	23,629
Biscayne NP	BISC	National Park	Southeast 	FL	1982	5	28,506
Biscayne NP	BISC	National Park	Southeast 	FL	1982	6	26,400
Biscayne NP	BISC	National Park	Southeast 	FL	1982	7	40,160
Biscayne NP	BISC	National Park	Southeast 	FL	1982	8	34,391
Biscayne NP	BISC	National Park	Southeast 	FL	1982	9	25,345
Biscayne NP	BISC	National Park	Southeast 	FL	1982	10	42,272
Biscayne NP	BISC	National Park	Southeast 	FL	1982	11	23,722
Biscayne NP	BISC	National Park	Southeast 	FL	1982	12	20,565
Biscayne NP	BISC	National Park	Southeast 	FL	1983	1	33,905
Biscayne NP	BISC	National Park	Southeast 	FL	1983	2	22,953
Biscayne NP	BISC	National Park	Southeast 	FL	1983	3	25,847
Biscayne NP	BISC	National Park	Southeast 	FL	1983	4	25,100
Biscayne NP	BISC	National Park	Southeast 	FL	1983	5	43,194
Biscayne NP	BISC	National Park	Southeast 	FL	1983	6	24,855
Biscayne NP	BISC	National Park	Southeast 	FL	1983	7	41,397
Biscayne NP	BISC	National Park	Southeast 	FL	1983	8	31,134
Biscayne NP	BISC	National Park	Southeast 	FL	1983	9	25,408
Biscayne NP	BISC	National Park	Southeast 	FL	1983	10	53,027
Biscayne NP	BISC	National Park	Southeast 	FL	1983	11	21,299
Biscayne NP	BISC	National Park	Southeast 	FL	1983	12	20,963
Biscayne NP	BISC	National Park	Southeast 	FL	1984	1	24,320
Biscayne NP	BISC	National Park	Southeast 	FL	1984	2	30,555
Biscayne NP	BISC	National Park	Southeast 	FL	1984	3	29,163
Biscayne NP	BISC	National Park	Southeast 	FL	1984	4	32,301
Biscayne NP	BISC	National Park	Southeast 	FL	1984	5	27,000
Biscayne NP	BISC	National Park	Southeast 	FL	1984	6	32,917
Biscayne NP	BISC	National Park	Southeast 	FL	1984	7	38,562
Biscayne NP	BISC	National Park	Southeast 	FL	1984	8	35,796
Biscayne NP	BISC	National Park	Southeast 	FL	1984	9	17,334
Biscayne NP	BISC	National Park	Southeast 	FL	1984	10	23,708
Biscayne NP	BISC	National Park	Southeast 	FL	1984	11	17,771
Biscayne NP	BISC	National Park	Southeast 	FL	1984	12	31,140
Biscayne NP	BISC	National Park	Southeast 	FL	1985	1	29,720
Biscayne NP	BISC	National Park	Southeast 	FL	1985	2	38,576
Biscayne NP	BISC	National Park	Southeast 	FL	1985	3	45,180
Biscayne NP	BISC	National Park	Southeast 	FL	1985	4	31,041
Biscayne NP	BISC	National Park	Southeast 	FL	1985	5	27,010
Biscayne NP	BISC	National Park	Southeast 	FL	1985	6	51,590
Biscayne NP	BISC	National Park	Southeast 	FL	1985	7	45,832
Biscayne NP	BISC	National Park	Southeast 	FL	1985	8	62,631
Biscayne NP	BISC	National Park	Southeast 	FL	1985	9	28,401
Biscayne NP	BISC	National Park	Southeast 	FL	1985	10	32,555
Biscayne NP	BISC	National Park	Southeast 	FL	1985	11	34,975
Biscayne NP	BISC	National Park	Southeast 	FL	1985	12	33,410
Biscayne NP	BISC	National Park	Southeast 	FL	1986	1	42,296
Biscayne NP	BISC	National Park	Southeast 	FL	1986	2	52,899
Biscayne NP	BISC	National Park	Southeast 	FL	1986	3	29,313
Biscayne NP	BISC	National Park	Southeast 	FL	1986	4	56,388
Biscayne NP	BISC	National Park	Southeast 	FL	1986	5	55,633
Biscayne NP	BISC	National Park	Southeast 	FL	1986	6	48,757
Biscayne NP	BISC	National Park	Southeast 	FL	1986	7	62,417
Biscayne NP	BISC	National Park	Southeast 	FL	1986	8	65,565
Biscayne NP	BISC	National Park	Southeast 	FL	1986	9	48,055
Biscayne NP	BISC	National Park	Southeast 	FL	1986	10	44,956
Biscayne NP	BISC	National Park	Southeast 	FL	1986	11	38,358
Biscayne NP	BISC	National Park	Southeast 	FL	1986	12	33,376
Biscayne NP	BISC	National Park	Southeast 	FL	1987	1	50,378
Biscayne NP	BISC	National Park	Southeast 	FL	1987	2	49,714
Biscayne NP	BISC	National Park	Southeast 	FL	1987	3	54,307
Biscayne NP	BISC	National Park	Southeast 	FL	1987	4	58,247
Biscayne NP	BISC	National Park	Southeast 	FL	1987	5	55,346
Biscayne NP	BISC	National Park	Southeast 	FL	1987	6	59,204
Biscayne NP	BISC	National Park	Southeast 	FL	1987	7	63,423
Biscayne NP	BISC	National Park	Southeast 	FL	1987	8	70,386
Biscayne NP	BISC	National Park	Southeast 	FL	1987	9	50,528
Biscayne NP	BISC	National Park	Southeast 	FL	1987	10	33,514
Biscayne NP	BISC	National Park	Southeast 	FL	1987	11	23,074
Biscayne NP	BISC	National Park	Southeast 	FL	1987	12	39,847
Biscayne NP	BISC	National Park	Southeast 	FL	1988	1	44,482
Biscayne NP	BISC	National Park	Southeast 	FL	1988	2	41,064
Biscayne NP	BISC	National Park	Southeast 	FL	1988	3	41,007
Biscayne NP	BISC	National Park	Southeast 	FL	1988	4	55,793
Biscayne NP	BISC	National Park	Southeast 	FL	1988	5	45,276
Biscayne NP	BISC	National Park	Southeast 	FL	1988	6	46,593
Biscayne NP	BISC	National Park	Southeast 	FL	1988	7	63,924
Biscayne NP	BISC	National Park	Southeast 	FL	1988	8	38,451
Biscayne NP	BISC	National Park	Southeast 	FL	1988	9	39,186
Biscayne NP	BISC	National Park	Southeast 	FL	1988	10	38,337
Biscayne NP	BISC	National Park	Southeast 	FL	1988	11	32,960
Biscayne NP	BISC	National Park	Southeast 	FL	1988	12	43,963
Biscayne NP	BISC	National Park	Southeast 	FL	1989	1	58,478
Biscayne NP	BISC	National Park	Southeast 	FL	1989	2	47,583
Biscayne NP	BISC	National Park	Southeast 	FL	1989	3	63,844
Biscayne NP	BISC	National Park	Southeast 	FL	1989	4	52,367
Biscayne NP	BISC	National Park	Southeast 	FL	1989	5	55,213
Biscayne NP	BISC	National Park	Southeast 	FL	1989	6	42,573
Biscayne NP	BISC	National Park	Southeast 	FL	1989	7	60,472
Biscayne NP	BISC	National Park	Southeast 	FL	1989	8	41,571
Biscayne NP	BISC	National Park	Southeast 	FL	1989	9	45,275
