Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1979	1	1,920
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1979	2	2,846
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1979	3	4,980
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1979	4	6,476
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1979	5	23,145
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1979	6	41,962
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1979	7	44,158
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1979	8	51,759
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1979	9	35,063
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1979	10	14,520
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1979	11	4,723
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1979	12	2,734
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1980	1	2,190
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1980	2	2,809
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1980	3	3,866
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1980	4	7,241
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1980	5	26,190
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1980	6	61,780
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1980	7	79,170
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1980	8	82,583
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1980	9	40,455
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1980	10	20,126
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1980	11	6,596
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1980	12	3,113
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1981	1	4,744
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1981	2	2,967
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1981	3	3,413
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1981	4	10,391
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1981	5	26,787
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1981	6	37,812
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1981	7	56,509
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1981	8	55,879
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1981	9	42,500
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1981	10	16,073
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1981	11	5,141
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1981	12	4,388
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1982	1	2,925
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1982	2	3,795
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1982	3	6,589
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1982	4	6,986
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1982	5	19,114
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1982	6	29,704
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1982	7	46,320
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1982	8	55,898
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1982	9	35,670
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1982	10	11,952
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1982	11	4,249
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1982	12	4,226
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1983	1	3,675
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1983	2	8,250
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1983	3	11,550
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1983	4	7,781
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1983	5	21,893
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1983	6	40,249
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1983	7	71,247
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1983	8	67,744
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1983	9	35,603
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1983	10	14,854
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1983	11	3,972
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1983	12	4,800
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1984	1	3,215
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1984	2	5,625
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1984	3	6,553
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1984	4	8,250
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1984	5	18,750
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1984	6	37,306
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1984	7	60,173
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1984	8	58,658
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1984	9	32,742
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1984	10	13,155
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1984	11	5,160
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1984	12	3,461
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1985	1	2,948
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1985	2	2,569
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1985	3	3,843
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1985	4	7,136
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1985	5	22,253
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1985	6	42,334
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1985	7	64,474
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1985	8	64,108
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1985	9	32,252
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1985	10	16,609
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1985	11	3,788
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1985	12	3,698
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1986	1	2,951
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1986	2	2,798
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1986	3	7,969
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1986	4	6,851
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1986	5	25,733
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1986	6	44,490
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1986	7	69,915
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1986	8	71,906
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1986	9	32,741
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1986	10	15,413
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1986	11	3,801
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1986	12	4,549
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1987	1	2,959
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1987	2	2,573
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1987	3	8,752
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1987	4	7,035
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1987	5	22,763
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1987	6	48,986
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1987	7	65,920
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1987	8	70,313
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1987	9	33,799
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1987	10	15,420
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1987	11	4,403
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1987	12	2,516
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1988	1	2,018
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1988	2	2,980
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1988	3	8,764
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1988	4	7,095
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1988	5	22,879
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1988	6	45,769
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1988	7	61,080
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1988	8	61,159
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1988	9	33,656
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1988	10	16,087
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1988	11	5,182
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1988	12	2,404
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1989	1	2,090
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1989	2	3,045
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1989	3	8,651
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1989	4	7,185
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1989	5	23,921
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1989	6	47,280
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1989	7	68,558
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1989	8	67,297
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1989	9	35,430
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1989	10	16,264
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1989	11	5,550
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1989	12	3,315
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1990	1	2,696
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1990	2	5,310
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1990	3	5,614
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1990	4	6,866
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1990	5	14,996
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1990	6	50,877
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1990	7	65,295
Black Canyon of the Gunnison NP	BLCA	National Park	Intermountain 	CO	1990	8	57,566
