Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Blue Ridge PKWY	BLRI	National Parkway	Southeast 	NC	1979	1	1,53,037
Blue Ridge PKWY	BLRI	National Parkway	Southeast 	NC	1979	2	46,805
Blue Ridge PKWY	BLRI	National Parkway	Southeast 	NC	1979	3	6,42,186
Blue Ridge PKWY	BLRI	National Parkway	Southeast 	NC	1979	4	9,43,106
Blue Ridge PKWY	BLRI	National Parkway	Southeast 	NC	1979	5	10,30,422
Blue Ridge PKWY	BLRI	National Parkway	Southeast 	NC	1979	6	13,69,591
Blue Ridge PKWY	BLRI	National Parkway	Southeast 	NC	1979	7	14,50,245
Blue Ridge PKWY	BLRI	National Parkway	Southeast 	NC	1979	8	15,64,888
Blue Ridge PKWY	BLRI	National Parkway	Southeast 	NC	1979	9	12,58,586
Blue Ridge PKWY	BLRI	National Parkway	Southeast 	NC	1979	10	20,72,321
Blue Ridge PKWY	BLRI	National Parkway	Southeast 	NC	1979	11	8,49,138
Blue Ridge PKWY	BLRI	National Parkway	Southeast 	NC	1979	12	3,19,894
Blue Ridge PKWY	BLRI	National Parkway	Southeast 	NC	1980	1	1,88,488
Blue Ridge PKWY	BLRI	National Parkway	Southeast 	NC	1980	2	61,174
Blue Ridge PKWY	BLRI	National Parkway	Southeast 	NC	1980	3	5,70,667
Blue Ridge PKWY	BLRI	National Parkway	Southeast 	NC	1980	4	10,58,109
Blue Ridge PKWY	BLRI	National Parkway	Southeast 	NC	1980	5	11,56,618
Blue Ridge PKWY	BLRI	National Parkway	Southeast 	NC	1980	6	16,88,032
Blue Ridge PKWY	BLRI	National Parkway	Southeast 	NC	1980	7	21,19,396
Blue Ridge PKWY	BLRI	National Parkway	Southeast 	NC	1980	8	19,96,091
Blue Ridge PKWY	BLRI	National Parkway	Southeast 	NC	1980	9	13,91,540
Blue Ridge PKWY	BLRI	National Parkway	Southeast 	NC	1980	10	20,20,655
Blue Ridge PKWY	BLRI	National Parkway	Southeast 	NC	1980	11	8,84,292
Blue Ridge PKWY	BLRI	National Parkway	Southeast 	NC	1980	12	2,79,952
Blue Ridge PKWY	BLRI	National Parkway	Southeast 	NC	1981	1	2,32,317
Blue Ridge PKWY	BLRI	National Parkway	Southeast 	NC	1981	2	66,243
Blue Ridge PKWY	BLRI	National Parkway	Southeast 	NC	1981	3	6,30,239
Blue Ridge PKWY	BLRI	National Parkway	Southeast 	NC	1981	4	10,15,843
Blue Ridge PKWY	BLRI	National Parkway	Southeast 	NC	1981	5	11,46,076
Blue Ridge PKWY	BLRI	National Parkway	Southeast 	NC	1981	6	16,01,402
Blue Ridge PKWY	BLRI	National Parkway	Southeast 	NC	1981	7	20,31,974
Blue Ridge PKWY	BLRI	National Parkway	Southeast 	NC	1981	8	19,13,797
Blue Ridge PKWY	BLRI	National Parkway	Southeast 	NC	1981	9	16,19,718
Blue Ridge PKWY	BLRI	National Parkway	Southeast 	NC	1981	10	23,38,336
Blue Ridge PKWY	BLRI	National Parkway	Southeast 	NC	1981	11	7,80,940
Blue Ridge PKWY	BLRI	National Parkway	Southeast 	NC	1981	12	2,48,868
Blue Ridge PKWY	BLRI	National Parkway	Southeast 	NC	1982	1	1,88,139
Blue Ridge PKWY	BLRI	National Parkway	Southeast 	NC	1982	2	75,064
Blue Ridge PKWY	BLRI	National Parkway	Southeast 	NC	1982	3	6,78,507
Blue Ridge PKWY	BLRI	National Parkway	Southeast 	NC	1982	4	9,40,747
Blue Ridge PKWY	BLRI	National Parkway	Southeast 	NC	1982	5	12,64,584
