Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Bluestone NSR	BLUE	National Wild & Scenic River	Northeast 	WV	1993	1	0
Bluestone NSR	BLUE	National Wild & Scenic River	Northeast 	WV	1993	2	0
Bluestone NSR	BLUE	National Wild & Scenic River	Northeast 	WV	1993	3	0
Bluestone NSR	BLUE	National Wild & Scenic River	Northeast 	WV	1993	4	0
Bluestone NSR	BLUE	National Wild & Scenic River	Northeast 	WV	1993	5	2,208
Bluestone NSR	BLUE	National Wild & Scenic River	Northeast 	WV	1993	6	5,560
Bluestone NSR	BLUE	National Wild & Scenic River	Northeast 	WV	1993	7	12,900
Bluestone NSR	BLUE	National Wild & Scenic River	Northeast 	WV	1993	8	14,115
Bluestone NSR	BLUE	National Wild & Scenic River	Northeast 	WV	1993	9	7,745
Bluestone NSR	BLUE	National Wild & Scenic River	Northeast 	WV	1993	10	9,120
Bluestone NSR	BLUE	National Wild & Scenic River	Northeast 	WV	1993	11	100
Bluestone NSR	BLUE	National Wild & Scenic River	Northeast 	WV	1993	12	100
Bluestone NSR	BLUE	National Wild & Scenic River	Northeast 	WV	1994	1	100
Bluestone NSR	BLUE	National Wild & Scenic River	Northeast 	WV	1994	2	100
Bluestone NSR	BLUE	National Wild & Scenic River	Northeast 	WV	1994	3	100
Bluestone NSR	BLUE	National Wild & Scenic River	Northeast 	WV	1994	4	100
Bluestone NSR	BLUE	National Wild & Scenic River	Northeast 	WV	1994	5	8,278
Bluestone NSR	BLUE	National Wild & Scenic River	Northeast 	WV	1994	6	10,428
Bluestone NSR	BLUE	National Wild & Scenic River	Northeast 	WV	1994	7	15,862
Bluestone NSR	BLUE	National Wild & Scenic River	Northeast 	WV	1994	8	13,559
Bluestone NSR	BLUE	National Wild & Scenic River	Northeast 	WV	1994	9	7,393
Bluestone NSR	BLUE	National Wild & Scenic River	Northeast 	WV	1994	10	9,969
Bluestone NSR	BLUE	National Wild & Scenic River	Northeast 	WV	1994	11	100
Bluestone NSR	BLUE	National Wild & Scenic River	Northeast 	WV	1994	12	100
Bluestone NSR	BLUE	National Wild & Scenic River	Northeast 	WV	1995	1	100
Bluestone NSR	BLUE	National Wild & Scenic River	Northeast 	WV	1995	2	100
Bluestone NSR	BLUE	National Wild & Scenic River	Northeast 	WV	1995	3	100
Bluestone NSR	BLUE	National Wild & Scenic River	Northeast 	WV	1995	4	100
Bluestone NSR	BLUE	National Wild & Scenic River	Northeast 	WV	1995	5	7,342
Bluestone NSR	BLUE	National Wild & Scenic River	Northeast 	WV	1995	6	10,540
Bluestone NSR	BLUE	National Wild & Scenic River	Northeast 	WV	1995	7	15,495
Bluestone NSR	BLUE	National Wild & Scenic River	Northeast 	WV	1995	8	13,084
Bluestone NSR	BLUE	National Wild & Scenic River	Northeast 	WV	1995	9	8,390
Bluestone NSR	BLUE	National Wild & Scenic River	Northeast 	WV	1995	10	8,014
Bluestone NSR	BLUE	National Wild & Scenic River	Northeast 	WV	1995	11	100
Bluestone NSR	BLUE	National Wild & Scenic River	Northeast 	WV	1995	12	100
Bluestone NSR	BLUE	National Wild & Scenic River	Northeast 	WV	1996	1	100
Bluestone NSR	BLUE	National Wild & Scenic River	Northeast 	WV	1996	2	100
Bluestone NSR	BLUE	National Wild & Scenic River	Northeast 	WV	1996	3	100
Bluestone NSR	BLUE	National Wild & Scenic River	Northeast 	WV	1996	4	2,188
Bluestone NSR	BLUE	National Wild & Scenic River	Northeast 	WV	1996	5	6,626
Bluestone NSR	BLUE	National Wild & Scenic River	Northeast 	WV	1996	6	11,701
Bluestone NSR	BLUE	National Wild & Scenic River	Northeast 	WV	1996	7	15,039
Bluestone NSR	BLUE	National Wild & Scenic River	Northeast 	WV	1996	8	14,046
Bluestone NSR	BLUE	National Wild & Scenic River	Northeast 	WV	1996	9	6,829
Bluestone NSR	BLUE	National Wild & Scenic River	Northeast 	WV	1996	10	7,722
Bluestone NSR	BLUE	National Wild & Scenic River	Northeast 	WV	1996	11	100
Bluestone NSR	BLUE	National Wild & Scenic River	Northeast 	WV	1996	12	100
Bluestone NSR	BLUE	National Wild & Scenic River	Northeast 	WV	1997	1	100
Bluestone NSR	BLUE	National Wild & Scenic River	Northeast 	WV	1997	2	100
Bluestone NSR	BLUE	National Wild & Scenic River	Northeast 	WV	1997	3	142
Bluestone NSR	BLUE	National Wild & Scenic River	Northeast 	WV	1997	4	1,302
Bluestone NSR	BLUE	National Wild & Scenic River	Northeast 	WV	1997	5	7,432
Bluestone NSR	BLUE	National Wild & Scenic River	Northeast 	WV	1997	6	10,843
Bluestone NSR	BLUE	National Wild & Scenic River	Northeast 	WV	1997	7	15,971
Bluestone NSR	BLUE	National Wild & Scenic River	Northeast 	WV	1997	8	15,165
Bluestone NSR	BLUE	National Wild & Scenic River	Northeast 	WV	1997	9	7,097
Bluestone NSR	BLUE	National Wild & Scenic River	Northeast 	WV	1997	10	9,484
Bluestone NSR	BLUE	National Wild & Scenic River	Northeast 	WV	1997	11	100
Bluestone NSR	BLUE	National Wild & Scenic River	Northeast 	WV	1997	12	100
Bluestone NSR	BLUE	National Wild & Scenic River	Northeast 	WV	1998	1	100
Bluestone NSR	BLUE	National Wild & Scenic River	Northeast 	WV	1998	2	100
Bluestone NSR	BLUE	National Wild & Scenic River	Northeast 	WV	1998	3	100
Bluestone NSR	BLUE	National Wild & Scenic River	Northeast 	WV	1998	4	1,211
Bluestone NSR	BLUE	National Wild & Scenic River	Northeast 	WV	1998	5	828
Bluestone NSR	BLUE	National Wild & Scenic River	Northeast 	WV	1998	6	8,881
Bluestone NSR	BLUE	National Wild & Scenic River	Northeast 	WV	1998	7	15,917
Bluestone NSR	BLUE	National Wild & Scenic River	Northeast 	WV	1998	8	13,702
Bluestone NSR	BLUE	National Wild & Scenic River	Northeast 	WV	1998	9	7,389
Bluestone NSR	BLUE	National Wild & Scenic River	Northeast 	WV	1998	10	8,555
Bluestone NSR	BLUE	National Wild & Scenic River	Northeast 	WV	1998	11	100
Bluestone NSR	BLUE	National Wild & Scenic River	Northeast 	WV	1998	12	100
Bluestone NSR	BLUE	National Wild & Scenic River	Northeast 	WV	1999	1	100
Bluestone NSR	BLUE	National Wild & Scenic River	Northeast 	WV	1999	2	100
Bluestone NSR	BLUE	National Wild & Scenic River	Northeast 	WV	1999	3	100
Bluestone NSR	BLUE	National Wild & Scenic River	Northeast 	WV	1999	4	1,100
Bluestone NSR	BLUE	National Wild & Scenic River	Northeast 	WV	1999	5	7,900
Bluestone NSR	BLUE	National Wild & Scenic River	Northeast 	WV	1999	6	9,960
Bluestone NSR	BLUE	National Wild & Scenic River	Northeast 	WV	1999	7	13,727
Bluestone NSR	BLUE	National Wild & Scenic River	Northeast 	WV	1999	8	11,101
Bluestone NSR	BLUE	National Wild & Scenic River	Northeast 	WV	1999	9	6,751
Bluestone NSR	BLUE	National Wild & Scenic River	Northeast 	WV	1999	10	7,571
Bluestone NSR	BLUE	National Wild & Scenic River	Northeast 	WV	1999	11	100
Bluestone NSR	BLUE	National Wild & Scenic River	Northeast 	WV	1999	12	100
Bluestone NSR	BLUE	National Wild & Scenic River	Northeast 	WV	2000	1	100
Bluestone NSR	BLUE	National Wild & Scenic River	Northeast 	WV	2000	2	100
Bluestone NSR	BLUE	National Wild & Scenic River	Northeast 	WV	2000	3	100
