Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Booker T. Washington NM	BOWA	National Monument	Northeast 	VA	1979	1	500
Booker T. Washington NM	BOWA	National Monument	Northeast 	VA	1979	2	310
Booker T. Washington NM	BOWA	National Monument	Northeast 	VA	1979	3	940
Booker T. Washington NM	BOWA	National Monument	Northeast 	VA	1979	4	1,528
Booker T. Washington NM	BOWA	National Monument	Northeast 	VA	1979	5	3,604
Booker T. Washington NM	BOWA	National Monument	Northeast 	VA	1979	6	3,043
Booker T. Washington NM	BOWA	National Monument	Northeast 	VA	1979	7	6,065
Booker T. Washington NM	BOWA	National Monument	Northeast 	VA	1979	8	3,868
Booker T. Washington NM	BOWA	National Monument	Northeast 	VA	1979	9	1,377
Booker T. Washington NM	BOWA	National Monument	Northeast 	VA	1979	10	2,033
Booker T. Washington NM	BOWA	National Monument	Northeast 	VA	1979	11	1,564
Booker T. Washington NM	BOWA	National Monument	Northeast 	VA	1979	12	675
Booker T. Washington NM	BOWA	National Monument	Northeast 	VA	1980	1	617
Booker T. Washington NM	BOWA	National Monument	Northeast 	VA	1980	2	606
Booker T. Washington NM	BOWA	National Monument	Northeast 	VA	1980	3	858
Booker T. Washington NM	BOWA	National Monument	Northeast 	VA	1980	4	1,506
Booker T. Washington NM	BOWA	National Monument	Northeast 	VA	1980	5	2,995
Booker T. Washington NM	BOWA	National Monument	Northeast 	VA	1980	6	3,366
Booker T. Washington NM	BOWA	National Monument	Northeast 	VA	1980	7	4,700
Booker T. Washington NM	BOWA	National Monument	Northeast 	VA	1980	8	3,172
Booker T. Washington NM	BOWA	National Monument	Northeast 	VA	1980	9	1,203
Booker T. Washington NM	BOWA	National Monument	Northeast 	VA	1980	10	1,489
Booker T. Washington NM	BOWA	National Monument	Northeast 	VA	1980	11	651
Booker T. Washington NM	BOWA	National Monument	Northeast 	VA	1980	12	412
Booker T. Washington NM	BOWA	National Monument	Northeast 	VA	1981	1	326
Booker T. Washington NM	BOWA	National Monument	Northeast 	VA	1981	2	521
Booker T. Washington NM	BOWA	National Monument	Northeast 	VA	1981	3	845
Booker T. Washington NM	BOWA	National Monument	Northeast 	VA	1981	4	2,089
Booker T. Washington NM	BOWA	National Monument	Northeast 	VA	1981	5	2,984
Booker T. Washington NM	BOWA	National Monument	Northeast 	VA	1981	6	2,238
Booker T. Washington NM	BOWA	National Monument	Northeast 	VA	1981	7	3,855
Booker T. Washington NM	BOWA	National Monument	Northeast 	VA	1981	8	3,076
Booker T. Washington NM	BOWA	National Monument	Northeast 	VA	1981	9	1,476
Booker T. Washington NM	BOWA	National Monument	Northeast 	VA	1981	10	1,069
Booker T. Washington NM	BOWA	National Monument	Northeast 	VA	1981	11	694
Booker T. Washington NM	BOWA	National Monument	Northeast 	VA	1981	12	701
Booker T. Washington NM	BOWA	National Monument	Northeast 	VA	1982	1	238
Booker T. Washington NM	BOWA	National Monument	Northeast 	VA	1982	2	407
Booker T. Washington NM	BOWA	National Monument	Northeast 	VA	1982	3	745
Booker T. Washington NM	BOWA	National Monument	Northeast 	VA	1982	4	1,722
Booker T. Washington NM	BOWA	National Monument	Northeast 	VA	1982	5	2,581
Booker T. Washington NM	BOWA	National Monument	Northeast 	VA	1982	6	3,149
Booker T. Washington NM	BOWA	National Monument	Northeast 	VA	1982	7	3,625
Booker T. Washington NM	BOWA	National Monument	Northeast 	VA	1982	8	3,076
Booker T. Washington NM	BOWA	National Monument	Northeast 	VA	1982	9	1,918
