Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Boston African American NHS	BOAF	National Historic Site	Northeast 	MA	1989	1	495
Boston African American NHS	BOAF	National Historic Site	Northeast 	MA	1989	2	3,244
Boston African American NHS	BOAF	National Historic Site	Northeast 	MA	1989	3	2,144
Boston African American NHS	BOAF	National Historic Site	Northeast 	MA	1989	4	4,898
Boston African American NHS	BOAF	National Historic Site	Northeast 	MA	1989	5	2,893
Boston African American NHS	BOAF	National Historic Site	Northeast 	MA	1989	6	9,066
Boston African American NHS	BOAF	National Historic Site	Northeast 	MA	1989	7	46,517
Boston African American NHS	BOAF	National Historic Site	Northeast 	MA	1989	8	26,132
Boston African American NHS	BOAF	National Historic Site	Northeast 	MA	1989	9	2,040
Boston African American NHS	BOAF	National Historic Site	Northeast 	MA	1989	10	2,359
Boston African American NHS	BOAF	National Historic Site	Northeast 	MA	1989	11	1,110
Boston African American NHS	BOAF	National Historic Site	Northeast 	MA	1989	12	1,881
Boston African American NHS	BOAF	National Historic Site	Northeast 	MA	1990	1	1,499
Boston African American NHS	BOAF	National Historic Site	Northeast 	MA	1990	2	6,239
Boston African American NHS	BOAF	National Historic Site	Northeast 	MA	1990	3	2,387
Boston African American NHS	BOAF	National Historic Site	Northeast 	MA	1990	4	2,344
Boston African American NHS	BOAF	National Historic Site	Northeast 	MA	1990	5	2,208
Boston African American NHS	BOAF	National Historic Site	Northeast 	MA	1990	6	20,938
Boston African American NHS	BOAF	National Historic Site	Northeast 	MA	1990	7	58,856
Boston African American NHS	BOAF	National Historic Site	Northeast 	MA	1990	8	54,161
Boston African American NHS	BOAF	National Historic Site	Northeast 	MA	1990	9	21,450
Boston African American NHS	BOAF	National Historic Site	Northeast 	MA	1990	10	16,040
Boston African American NHS	BOAF	National Historic Site	Northeast 	MA	1990	11	1,650
Boston African American NHS	BOAF	National Historic Site	Northeast 	MA	1990	12	6,759
Boston African American NHS	BOAF	National Historic Site	Northeast 	MA	1991	1	1,475
Boston African American NHS	BOAF	National Historic Site	Northeast 	MA	1991	2	3,529
