Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Boston Harbor Islands NRA	BOHA	National Recreation Area	Northeast 		2020	1	0
Boston Harbor Islands NRA	BOHA	National Recreation Area	Northeast 		2020	2	0
Boston Harbor Islands NRA	BOHA	National Recreation Area	Northeast 		2020	3	0
Boston Harbor Islands NRA	BOHA	National Recreation Area	Northeast 		2020	4	0
Boston Harbor Islands NRA	BOHA	National Recreation Area	Northeast 		2020	5	0
Boston Harbor Islands NRA	BOHA	National Recreation Area	Northeast 		2020	6	0
Boston Harbor Islands NRA	BOHA	National Recreation Area	Northeast 		2020	7	6,538
Boston Harbor Islands NRA	BOHA	National Recreation Area	Northeast 		2020	8	25,704
Boston Harbor Islands NRA	BOHA	National Recreation Area	Northeast 		2020	9	30,192
Boston Harbor Islands NRA	BOHA	National Recreation Area	Northeast 		2020	10	9,557
Boston Harbor Islands NRA	BOHA	National Recreation Area	Northeast 		2020	11	0
Boston Harbor Islands NRA	BOHA	National Recreation Area	Northeast 		2020	12	0
Boston Harbor Islands NRA	BOHA	National Recreation Area	Northeast 		2021	1	0
Boston Harbor Islands NRA	BOHA	National Recreation Area	Northeast 		2021	2	0
Boston Harbor Islands NRA	BOHA	National Recreation Area	Northeast 		2021	3	0
Boston Harbor Islands NRA	BOHA	National Recreation Area	Northeast 		2021	4	0
Boston Harbor Islands NRA	BOHA	National Recreation Area	Northeast 		2021	5	0
Boston Harbor Islands NRA	BOHA	National Recreation Area	Northeast 		2021	6	3,393
Boston Harbor Islands NRA	BOHA	National Recreation Area	Northeast 		2021	7	6,960
Boston Harbor Islands NRA	BOHA	National Recreation Area	Northeast 		2021	8	4,309
Boston Harbor Islands NRA	BOHA	National Recreation Area	Northeast 		2021	9	3,682
Boston Harbor Islands NRA	BOHA	National Recreation Area	Northeast 		2021	10	1,548
Boston Harbor Islands NRA	BOHA	National Recreation Area	Northeast 		2021	11	0
Boston Harbor Islands NRA	BOHA	National Recreation Area	Northeast 		2021	12	885
Boston Harbor Islands NRA	BOHA	National Recreation Area	Northeast 		2022	1	0
Boston Harbor Islands NRA	BOHA	National Recreation Area	Northeast 		2022	2	0
Boston Harbor Islands NRA	BOHA	National Recreation Area	Northeast 		2022	3	0
Boston Harbor Islands NRA	BOHA	National Recreation Area	Northeast 		2022	4	0
Boston Harbor Islands NRA	BOHA	National Recreation Area	Northeast 		2022	5	4,424
Boston Harbor Islands NRA	BOHA	National Recreation Area	Northeast 		2022	6	4,187
Boston Harbor Islands NRA	BOHA	National Recreation Area	Northeast 		2022	7	6,994
Boston Harbor Islands NRA	BOHA	National Recreation Area	Northeast 		2022	8	6,418
Boston Harbor Islands NRA	BOHA	National Recreation Area	Northeast 		2022	9	5,052
Boston Harbor Islands NRA	BOHA	National Recreation Area	Northeast 		2022	10	2,166
Boston Harbor Islands NRA	BOHA	National Recreation Area	Northeast 		2022	11	0
Boston Harbor Islands NRA	BOHA	National Recreation Area	Northeast 		2022	12	0
Boston Harbor Islands NRA	BOHA	National Recreation Area	Northeast 		2023	1	0
Boston Harbor Islands NRA	BOHA	National Recreation Area	Northeast 		2023	2	0
Boston Harbor Islands NRA	BOHA	National Recreation Area	Northeast 		2023	3	0
Boston Harbor Islands NRA	BOHA	National Recreation Area	Northeast 		2023	4	0
Boston Harbor Islands NRA	BOHA	National Recreation Area	Northeast 		2023	5	2,093
Boston Harbor Islands NRA	BOHA	National Recreation Area	Northeast 		2023	6	5,344
Boston Harbor Islands NRA	BOHA	National Recreation Area	Northeast 		2023	7	6,342
Boston Harbor Islands NRA	BOHA	National Recreation Area	Northeast 		2023	8	6,814
Boston Harbor Islands NRA	BOHA	National Recreation Area	Northeast 		2023	9	4,523
Boston Harbor Islands NRA	BOHA	National Recreation Area	Northeast 		2023	10	1,920
Boston Harbor Islands NRA	BOHA	National Recreation Area	Northeast 		2023	11	0
Boston Harbor Islands NRA	BOHA	National Recreation Area	Northeast 		2023	12	950
Boston Harbor Islands NRA	BOHA	National Recreation Area	Northeast 		2024	1	0
Boston Harbor Islands NRA	BOHA	National Recreation Area	Northeast 		2024	2	0
Boston Harbor Islands NRA	BOHA	National Recreation Area	Northeast 		2024	3	0
Boston Harbor Islands NRA	BOHA	National Recreation Area	Northeast 		2024	4	0
Boston Harbor Islands NRA	BOHA	National Recreation Area	Northeast 		2024	5	2,624
Boston Harbor Islands NRA	BOHA	National Recreation Area	Northeast 		2024	6	4,665
Boston Harbor Islands NRA	BOHA	National Recreation Area	Northeast 		2024	7	6,391
Boston Harbor Islands NRA	BOHA	National Recreation Area	Northeast 		2024	8	6,226
Boston Harbor Islands NRA	BOHA	National Recreation Area	Northeast 		2024	9	3,948
Boston Harbor Islands NRA	BOHA	National Recreation Area	Northeast 		2024	10	1,803
Boston Harbor Islands NRA	BOHA	National Recreation Area	Northeast 		2024	11	0
Boston Harbor Islands NRA	BOHA	National Recreation Area	Northeast 		2024	12	2,500
