Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Boston NHP	BOST	National Historical Park	Northeast 	MA	1979	1	35,120
Boston NHP	BOST	National Historical Park	Northeast 	MA	1979	2	41,963
Boston NHP	BOST	National Historical Park	Northeast 	MA	1979	3	77,051
Boston NHP	BOST	National Historical Park	Northeast 	MA	1979	4	1,44,557
Boston NHP	BOST	National Historical Park	Northeast 	MA	1979	5	1,71,998
Boston NHP	BOST	National Historical Park	Northeast 	MA	1979	6	2,21,321
Boston NHP	BOST	National Historical Park	Northeast 	MA	1979	7	2,32,801
Boston NHP	BOST	National Historical Park	Northeast 	MA	1979	8	2,67,739
Boston NHP	BOST	National Historical Park	Northeast 	MA	1979	9	1,89,608
Boston NHP	BOST	National Historical Park	Northeast 	MA	1979	10	2,24,719
Boston NHP	BOST	National Historical Park	Northeast 	MA	1979	11	1,18,679
Boston NHP	BOST	National Historical Park	Northeast 	MA	1979	12	51,835
Boston NHP	BOST	National Historical Park	Northeast 	MA	1980	1	40,608
Boston NHP	BOST	National Historical Park	Northeast 	MA	1980	2	42,741
Boston NHP	BOST	National Historical Park	Northeast 	MA	1980	3	82,555
Boston NHP	BOST	National Historical Park	Northeast 	MA	1980	4	1,59,682
Boston NHP	BOST	National Historical Park	Northeast 	MA	1980	5	2,23,692
Boston NHP	BOST	National Historical Park	Northeast 	MA	1980	6	3,64,605
Boston NHP	BOST	National Historical Park	Northeast 	MA	1980	7	3,48,811
Boston NHP	BOST	National Historical Park	Northeast 	MA	1980	8	2,90,634
Boston NHP	BOST	National Historical Park	Northeast 	MA	1980	9	1,61,067
Boston NHP	BOST	National Historical Park	Northeast 	MA	1980	10	1,82,470
Boston NHP	BOST	National Historical Park	Northeast 	MA	1980	11	90,210
Boston NHP	BOST	National Historical Park	Northeast 	MA	1980	12	47,035
Boston NHP	BOST	National Historical Park	Northeast 	MA	1981	1	25,405
Boston NHP	BOST	National Historical Park	Northeast 	MA	1981	2	50,244
Boston NHP	BOST	National Historical Park	Northeast 	MA	1981	3	68,413
Boston NHP	BOST	National Historical Park	Northeast 	MA	1981	4	1,28,254
Boston NHP	BOST	National Historical Park	Northeast 	MA	1981	5	1,51,935
Boston NHP	BOST	National Historical Park	Northeast 	MA	1981	6	1,96,609
Boston NHP	BOST	National Historical Park	Northeast 	MA	1981	7	2,70,915
Boston NHP	BOST	National Historical Park	Northeast 	MA	1981	8	3,43,244
Boston NHP	BOST	National Historical Park	Northeast 	MA	1981	9	1,95,639
Boston NHP	BOST	National Historical Park	Northeast 	MA	1981	10	2,09,364
Boston NHP	BOST	National Historical Park	Northeast 	MA	1981	11	80,231
Boston NHP	BOST	National Historical Park	Northeast 	MA	1981	12	33,889
Boston NHP	BOST	National Historical Park	Northeast 	MA	1982	1	20,705
Boston NHP	BOST	National Historical Park	Northeast 	MA	1982	2	38,357
Boston NHP	BOST	National Historical Park	Northeast 	MA	1982	3	51,471
Boston NHP	BOST	National Historical Park	Northeast 	MA	1982	4	1,16,286
Boston NHP	BOST	National Historical Park	Northeast 	MA	1982	5	1,52,148
Boston NHP	BOST	National Historical Park	Northeast 	MA	1982	6	1,84,825
Boston NHP	BOST	National Historical Park	Northeast 	MA	1982	7	3,05,864
Boston NHP	BOST	National Historical Park	Northeast 	MA	1982	8	3,28,669
Boston NHP	BOST	National Historical Park	Northeast 	MA	1982	9	1,77,913
Boston NHP	BOST	National Historical Park	Northeast 	MA	1982	10	2,00,281
Boston NHP	BOST	National Historical Park	Northeast 	MA	1982	11	75,625
Boston NHP	BOST	National Historical Park	Northeast 	MA	1982	12	50,978
Boston NHP	BOST	National Historical Park	Northeast 	MA	1983	1	35,177
Boston NHP	BOST	National Historical Park	Northeast 	MA	1983	2	62,554
Boston NHP	BOST	National Historical Park	Northeast 	MA	1983	3	91,688
Boston NHP	BOST	National Historical Park	Northeast 	MA	1983	4	1,45,730
Boston NHP	BOST	National Historical Park	Northeast 	MA	1983	5	2,10,671
Boston NHP	BOST	National Historical Park	Northeast 	MA	1983	6	2,30,412
Boston NHP	BOST	National Historical Park	Northeast 	MA	1983	7	3,02,453
Boston NHP	BOST	National Historical Park	Northeast 	MA	1983	8	3,13,568
Boston NHP	BOST	National Historical Park	Northeast 	MA	1983	9	2,39,855
Boston NHP	BOST	National Historical Park	Northeast 	MA	1983	10	2,34,513
Boston NHP	BOST	National Historical Park	Northeast 	MA	1983	11	89,950
Boston NHP	BOST	National Historical Park	Northeast 	MA	1983	12	1,31,688
Boston NHP	BOST	National Historical Park	Northeast 	MA	1984	1	24,650
Boston NHP	BOST	National Historical Park	Northeast 	MA	1984	2	48,424
Boston NHP	BOST	National Historical Park	Northeast 	MA	1984	3	59,198
Boston NHP	BOST	National Historical Park	Northeast 	MA	1984	4	1,11,113
Boston NHP	BOST	National Historical Park	Northeast 	MA	1984	5	1,35,694
Boston NHP	BOST	National Historical Park	Northeast 	MA	1984	6	1,79,195
Boston NHP	BOST	National Historical Park	Northeast 	MA	1984	7	2,36,006
