Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Brices Cross Roads	BRCR	National Battlefield Site	Southeast 	MS	1979	1	39
Brices Cross Roads	BRCR	National Battlefield Site	Southeast 	MS	1979	2	75
Brices Cross Roads	BRCR	National Battlefield Site	Southeast 	MS	1979	3	190
Brices Cross Roads	BRCR	National Battlefield Site	Southeast 	MS	1979	4	116
Brices Cross Roads	BRCR	National Battlefield Site	Southeast 	MS	1979	5	191
Brices Cross Roads	BRCR	National Battlefield Site	Southeast 	MS	1979	6	212
Brices Cross Roads	BRCR	National Battlefield Site	Southeast 	MS	1979	7	225
Brices Cross Roads	BRCR	National Battlefield Site	Southeast 	MS	1979	8	281
Brices Cross Roads	BRCR	National Battlefield Site	Southeast 	MS	1979	9	144
Brices Cross Roads	BRCR	National Battlefield Site	Southeast 	MS	1979	10	179
Brices Cross Roads	BRCR	National Battlefield Site	Southeast 	MS	1979	11	142
Brices Cross Roads	BRCR	National Battlefield Site	Southeast 	MS	1979	12	109
Brices Cross Roads	BRCR	National Battlefield Site	Southeast 	MS	1980	1	38
Brices Cross Roads	BRCR	National Battlefield Site	Southeast 	MS	1980	2	77
Brices Cross Roads	BRCR	National Battlefield Site	Southeast 	MS	1980	3	164
Brices Cross Roads	BRCR	National Battlefield Site	Southeast 	MS	1980	4	201
Brices Cross Roads	BRCR	National Battlefield Site	Southeast 	MS	1980	5	231
Brices Cross Roads	BRCR	National Battlefield Site	Southeast 	MS	1980	6	229
Brices Cross Roads	BRCR	National Battlefield Site	Southeast 	MS	1980	7	225
Brices Cross Roads	BRCR	National Battlefield Site	Southeast 	MS	1980	8	341
Brices Cross Roads	BRCR	National Battlefield Site	Southeast 	MS	1980	9	148
Brices Cross Roads	BRCR	National Battlefield Site	Southeast 	MS	1980	10	197
Brices Cross Roads	BRCR	National Battlefield Site	Southeast 	MS	1980	11	175
Brices Cross Roads	BRCR	National Battlefield Site	Southeast 	MS	1980	12	153
Brices Cross Roads	BRCR	National Battlefield Site	Southeast 	MS	1981	1	46
Brices Cross Roads	BRCR	National Battlefield Site	Southeast 	MS	1981	2	100
Brices Cross Roads	BRCR	National Battlefield Site	Southeast 	MS	1981	3	227
Brices Cross Roads	BRCR	National Battlefield Site	Southeast 	MS	1981	4	211
Brices Cross Roads	BRCR	National Battlefield Site	Southeast 	MS	1981	5	240
Brices Cross Roads	BRCR	National Battlefield Site	Southeast 	MS	1981	6	223
Brices Cross Roads	BRCR	National Battlefield Site	Southeast 	MS	1981	7	275
Brices Cross Roads	BRCR	National Battlefield Site	Southeast 	MS	1981	8	341
Brices Cross Roads	BRCR	National Battlefield Site	Southeast 	MS	1981	9	165
Brices Cross Roads	BRCR	National Battlefield Site	Southeast 	MS	1981	10	168
Brices Cross Roads	BRCR	National Battlefield Site	Southeast 	MS	1981	11	144
Brices Cross Roads	BRCR	National Battlefield Site	Southeast 	MS	1981	12	80
Brices Cross Roads	BRCR	National Battlefield Site	Southeast 	MS	1982	1	30
Brices Cross Roads	BRCR	National Battlefield Site	Southeast 	MS	1982	2	78
Brices Cross Roads	BRCR	National Battlefield Site	Southeast 	MS	1982	3	176
Brices Cross Roads	BRCR	National Battlefield Site	Southeast 	MS	1982	4	184
Brices Cross Roads	BRCR	National Battlefield Site	Southeast 	MS	1982	5	213
Brices Cross Roads	BRCR	National Battlefield Site	Southeast 	MS	1982	6	187
Brices Cross Roads	BRCR	National Battlefield Site	Southeast 	MS	1982	7	191
Brices Cross Roads	BRCR	National Battlefield Site	Southeast 	MS	1982	8	223
Brices Cross Roads	BRCR	National Battlefield Site	Southeast 	MS	1982	9	120
Brices Cross Roads	BRCR	National Battlefield Site	Southeast 	MS	1982	10	168
Brices Cross Roads	BRCR	National Battlefield Site	Southeast 	MS	1982	11	144
Brices Cross Roads	BRCR	National Battlefield Site	Southeast 	MS	1982	12	83
Brices Cross Roads	BRCR	National Battlefield Site	Southeast 	MS	1983	1	44
Brices Cross Roads	BRCR	National Battlefield Site	Southeast 	MS	1983	2	112
Brices Cross Roads	BRCR	National Battlefield Site	Southeast 	MS	1983	3	220
Brices Cross Roads	BRCR	National Battlefield Site	Southeast 	MS	1983	4	204
Brices Cross Roads	BRCR	National Battlefield Site	Southeast 	MS	1983	5	230
Brices Cross Roads	BRCR	National Battlefield Site	Southeast 	MS	1983	6	168
Brices Cross Roads	BRCR	National Battlefield Site	Southeast 	MS	1983	7	195
Brices Cross Roads	BRCR	National Battlefield Site	Southeast 	MS	1983	8	300
Brices Cross Roads	BRCR	National Battlefield Site	Southeast 	MS	1983	9	125
Brices Cross Roads	BRCR	National Battlefield Site	Southeast 	MS	1983	10	170
Brices Cross Roads	BRCR	National Battlefield Site	Southeast 	MS	1983	11	163
Brices Cross Roads	BRCR	National Battlefield Site	Southeast 	MS	1983	12	104
