Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Brown v. Board of Education NHP	BRVB	National Historical Park	Midwest 	KS	2004	5	7,772
Brown v. Board of Education NHP	BRVB	National Historical Park	Midwest 	KS	2004	6	3,301
Brown v. Board of Education NHP	BRVB	National Historical Park	Midwest 	KS	2004	7	3,215
Brown v. Board of Education NHP	BRVB	National Historical Park	Midwest 	KS	2004	8	1,864
Brown v. Board of Education NHP	BRVB	National Historical Park	Midwest 	KS	2004	9	1,805
Brown v. Board of Education NHP	BRVB	National Historical Park	Midwest 	KS	2004	10	1,936
Brown v. Board of Education NHP	BRVB	National Historical Park	Midwest 	KS	2004	11	1,197
Brown v. Board of Education NHP	BRVB	National Historical Park	Midwest 	KS	2004	12	1,011
Brown v. Board of Education NHP	BRVB	National Historical Park	Midwest 	KS	2005	1	642
Brown v. Board of Education NHP	BRVB	National Historical Park	Midwest 	KS	2005	2	1,940
Brown v. Board of Education NHP	BRVB	National Historical Park	Midwest 	KS	2005	3	1,272
Brown v. Board of Education NHP	BRVB	National Historical Park	Midwest 	KS	2005	4	2,663
Brown v. Board of Education NHP	BRVB	National Historical Park	Midwest 	KS	2005	5	1,505
Brown v. Board of Education NHP	BRVB	National Historical Park	Midwest 	KS	2005	6	1,658
Brown v. Board of Education NHP	BRVB	National Historical Park	Midwest 	KS	2005	7	2,125
Brown v. Board of Education NHP	BRVB	National Historical Park	Midwest 	KS	2005	8	1,535
Brown v. Board of Education NHP	BRVB	National Historical Park	Midwest 	KS	2005	9	1,680
Brown v. Board of Education NHP	BRVB	National Historical Park	Midwest 	KS	2005	10	1,458
Brown v. Board of Education NHP	BRVB	National Historical Park	Midwest 	KS	2005	11	1,138
Brown v. Board of Education NHP	BRVB	National Historical Park	Midwest 	KS	2005	12	774
Brown v. Board of Education NHP	BRVB	National Historical Park	Midwest 	KS	2006	1	1,531
Brown v. Board of Education NHP	BRVB	National Historical Park	Midwest 	KS	2006	2	1,423
Brown v. Board of Education NHP	BRVB	National Historical Park	Midwest 	KS	2006	3	2,051
Brown v. Board of Education NHP	BRVB	National Historical Park	Midwest 	KS	2006	4	2,383
Brown v. Board of Education NHP	BRVB	National Historical Park	Midwest 	KS	2006	5	3,021
Brown v. Board of Education NHP	BRVB	National Historical Park	Midwest 	KS	2006	6	1,568
Brown v. Board of Education NHP	BRVB	National Historical Park	Midwest 	KS	2006	7	2,099
Brown v. Board of Education NHP	BRVB	National Historical Park	Midwest 	KS	2006	8	1,317
Brown v. Board of Education NHP	BRVB	National Historical Park	Midwest 	KS	2006	9	1,917
Brown v. Board of Education NHP	BRVB	National Historical Park	Midwest 	KS	2006	10	1,464
Brown v. Board of Education NHP	BRVB	National Historical Park	Midwest 	KS	2006	11	1,192
Brown v. Board of Education NHP	BRVB	National Historical Park	Midwest 	KS	2006	12	960
