Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Bryce Canyon NP	BRCA	National Park	Intermountain 	UT	1979	1	3,458
Bryce Canyon NP	BRCA	National Park	Intermountain 	UT	1979	2	4,535
Bryce Canyon NP	BRCA	National Park	Intermountain 	UT	1979	3	9,227
Bryce Canyon NP	BRCA	National Park	Intermountain 	UT	1979	4	24,124
Bryce Canyon NP	BRCA	National Park	Intermountain 	UT	1979	5	61,698
Bryce Canyon NP	BRCA	National Park	Intermountain 	UT	1979	6	98,904
Bryce Canyon NP	BRCA	National Park	Intermountain 	UT	1979	7	1,17,209
Bryce Canyon NP	BRCA	National Park	Intermountain 	UT	1979	8	1,17,642
Bryce Canyon NP	BRCA	National Park	Intermountain 	UT	1979	9	74,278
Bryce Canyon NP	BRCA	National Park	Intermountain 	UT	1979	10	34,069
Bryce Canyon NP	BRCA	National Park	Intermountain 	UT	1979	11	7,138
Bryce Canyon NP	BRCA	National Park	Intermountain 	UT	1979	12	5,813
Bryce Canyon NP	BRCA	National Park	Intermountain 	UT	1980	1	3,598
Bryce Canyon NP	BRCA	National Park	Intermountain 	UT	1980	2	4,278
Bryce Canyon NP	BRCA	National Park	Intermountain 	UT	1980	3	8,788
Bryce Canyon NP	BRCA	National Park	Intermountain 	UT	1980	4	21,942
Bryce Canyon NP	BRCA	National Park	Intermountain 	UT	1980	5	58,572
Bryce Canyon NP	BRCA	National Park	Intermountain 	UT	1980	6	1,11,333
Bryce Canyon NP	BRCA	National Park	Intermountain 	UT	1980	7	1,29,063
Bryce Canyon NP	BRCA	National Park	Intermountain 	UT	1980	8	1,05,209
Bryce Canyon NP	BRCA	National Park	Intermountain 	UT	1980	9	72,256
Bryce Canyon NP	BRCA	National Park	Intermountain 	UT	1980	10	38,174
Bryce Canyon NP	BRCA	National Park	Intermountain 	UT	1980	11	10,662
Bryce Canyon NP	BRCA	National Park	Intermountain 	UT	1980	12	7,666
Bryce Canyon NP	BRCA	National Park	Intermountain 	UT	1981	1	6,760
Bryce Canyon NP	BRCA	National Park	Intermountain 	UT	1981	2	4,455
Bryce Canyon NP	BRCA	National Park	Intermountain 	UT	1981	3	11,683
Bryce Canyon NP	BRCA	National Park	Intermountain 	UT	1981	4	27,928
Bryce Canyon NP	BRCA	National Park	Intermountain 	UT	1981	5	62,701
Bryce Canyon NP	BRCA	National Park	Intermountain 	UT	1981	6	75,978
Bryce Canyon NP	BRCA	National Park	Intermountain 	UT	1981	7	93,179
Bryce Canyon NP	BRCA	National Park	Intermountain 	UT	1981	8	73,019
Bryce Canyon NP	BRCA	National Park	Intermountain 	UT	1981	9	66,800
Bryce Canyon NP	BRCA	National Park	Intermountain 	UT	1981	10	38,729
Bryce Canyon NP	BRCA	National Park	Intermountain 	UT	1981	11	8,405
Bryce Canyon NP	BRCA	National Park	Intermountain 	UT	1981	12	4,455
Bryce Canyon NP	BRCA	National Park	Intermountain 	UT	1982	1	3,176
Bryce Canyon NP	BRCA	National Park	Intermountain 	UT	1982	2	4,210
Bryce Canyon NP	BRCA	National Park	Intermountain 	UT	1982	3	9,286
Bryce Canyon NP	BRCA	National Park	Intermountain 	UT	1982	4	23,380
Bryce Canyon NP	BRCA	National Park	Intermountain 	UT	1982	5	60,942
Bryce Canyon NP	BRCA	National Park	Intermountain 	UT	1982	6	76,843
Bryce Canyon NP	BRCA	National Park	Intermountain 	UT	1982	7	97,296
Bryce Canyon NP	BRCA	National Park	Intermountain 	UT	1982	8	91,436
Bryce Canyon NP	BRCA	National Park	Intermountain 	UT	1982	9	58,755
Bryce Canyon NP	BRCA	National Park	Intermountain 	UT	1982	10	34,485
Bryce Canyon NP	BRCA	National Park	Intermountain 	UT	1982	11	8,269
Bryce Canyon NP	BRCA	National Park	Intermountain 	UT	1982	12	3,439
Bryce Canyon NP	BRCA	National Park	Intermountain 	UT	1983	1	3,487
Bryce Canyon NP	BRCA	National Park	Intermountain 	UT	1983	2	4,246
Bryce Canyon NP	BRCA	National Park	Intermountain 	UT	1983	3	8,952
Bryce Canyon NP	BRCA	National Park	Intermountain 	UT	1983	4	16,807
Bryce Canyon NP	BRCA	National Park	Intermountain 	UT	1983	5	50,476
Bryce Canyon NP	BRCA	National Park	Intermountain 	UT	1983	6	76,341
Bryce Canyon NP	BRCA	National Park	Intermountain 	UT	1983	7	98,045
Bryce Canyon NP	BRCA	National Park	Intermountain 	UT	1983	8	91,136
Bryce Canyon NP	BRCA	National Park	Intermountain 	UT	1983	9	71,289
Bryce Canyon NP	BRCA	National Park	Intermountain 	UT	1983	10	38,573
Bryce Canyon NP	BRCA	National Park	Intermountain 	UT	1983	11	8,702
Bryce Canyon NP	BRCA	National Park	Intermountain 	UT	1983	12	4,579
Bryce Canyon NP	BRCA	National Park	Intermountain 	UT	1984	1	3,465
Bryce Canyon NP	BRCA	National Park	Intermountain 	UT	1984	2	5,209
Bryce Canyon NP	BRCA	National Park	Intermountain 	UT	1984	3	9,455
Bryce Canyon NP	BRCA	National Park	Intermountain 	UT	1984	4	23,319
Bryce Canyon NP	BRCA	National Park	Intermountain 	UT	1984	5	60,919
Bryce Canyon NP	BRCA	National Park	Intermountain 	UT	1984	6	82,263
Bryce Canyon NP	BRCA	National Park	Intermountain 	UT	1984	7	91,539
Bryce Canyon NP	BRCA	National Park	Intermountain 	UT	1984	8	96,068
Bryce Canyon NP	BRCA	National Park	Intermountain 	UT	1984	9	74,660
Bryce Canyon NP	BRCA	National Park	Intermountain 	UT	1984	10	37,167
Bryce Canyon NP	BRCA	National Park	Intermountain 	UT	1984	11	7,278
Bryce Canyon NP	BRCA	National Park	Intermountain 	UT	1984	12	3,762
Bryce Canyon NP	BRCA	National Park	Intermountain 	UT	1985	1	3,327
Bryce Canyon NP	BRCA	National Park	Intermountain 	UT	1985	2	3,649
Bryce Canyon NP	BRCA	National Park	Intermountain 	UT	1985	3	8,798
Bryce Canyon NP	BRCA	National Park	Intermountain 	UT	1985	4	25,353
Bryce Canyon NP	BRCA	National Park	Intermountain 	UT	1985	5	59,282
Bryce Canyon NP	BRCA	National Park	Intermountain 	UT	1985	6	82,297
Bryce Canyon NP	BRCA	National Park	Intermountain 	UT	1985	7	97,845
Bryce Canyon NP	BRCA	National Park	Intermountain 	UT	1985	8	98,552
Bryce Canyon NP	BRCA	National Park	Intermountain 	UT	1985	9	74,530
Bryce Canyon NP	BRCA	National Park	Intermountain 	UT	1985	10	35,749
Bryce Canyon NP	BRCA	National Park	Intermountain 	UT	1985	11	7,227
Bryce Canyon NP	BRCA	National Park	Intermountain 	UT	1985	12	4,173
Bryce Canyon NP	BRCA	National Park	Intermountain 	UT	1986	1	4,009
Bryce Canyon NP	BRCA	National Park	Intermountain 	UT	1986	2	4,523
Bryce Canyon NP	BRCA	National Park	Intermountain 	UT	1986	3	13,303
Bryce Canyon NP	BRCA	National Park	Intermountain 	UT	1986	4	25,824
Bryce Canyon NP	BRCA	National Park	Intermountain 	UT	1986	5	64,445
Bryce Canyon NP	BRCA	National Park	Intermountain 	UT	1986	6	95,120
Bryce Canyon NP	BRCA	National Park	Intermountain 	UT	1986	7	1,21,833
Bryce Canyon NP	BRCA	National Park	Intermountain 	UT	1986	8	1,19,427
Bryce Canyon NP	BRCA	National Park	Intermountain 	UT	1986	9	68,839
Bryce Canyon NP	BRCA	National Park	Intermountain 	UT	1986	10	42,120
Bryce Canyon NP	BRCA	National Park	Intermountain 	UT	1986	11	10,795
Bryce Canyon NP	BRCA	National Park	Intermountain 	UT	1986	12	7,780
Bryce Canyon NP	BRCA	National Park	Intermountain 	UT	1987	1	5,204
Bryce Canyon NP	BRCA	National Park	Intermountain 	UT	1987	2	5,295
Bryce Canyon NP	BRCA	National Park	Intermountain 	UT	1987	3	11,955
Bryce Canyon NP	BRCA	National Park	Intermountain 	UT	1987	4	35,129
Bryce Canyon NP	BRCA	National Park	Intermountain 	UT	1987	5	87,877
Bryce Canyon NP	BRCA	National Park	Intermountain 	UT	1987	6	1,16,797
Bryce Canyon NP	BRCA	National Park	Intermountain 	UT	1987	7	1,41,384
Bryce Canyon NP	BRCA	National Park	Intermountain 	UT	1987	8	1,43,636
Bryce Canyon NP	BRCA	National Park	Intermountain 	UT	1987	9	91,174
Bryce Canyon NP	BRCA	National Park	Intermountain 	UT	1987	10	59,671
Bryce Canyon NP	BRCA	National Park	Intermountain 	UT	1987	11	13,308
