Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Buck Island Reef NM	BUIS	National Monument	Southeast 	VI	1979	1	5,782
Buck Island Reef NM	BUIS	National Monument	Southeast 	VI	1979	2	6,376
Buck Island Reef NM	BUIS	National Monument	Southeast 	VI	1979	3	6,184
Buck Island Reef NM	BUIS	National Monument	Southeast 	VI	1979	4	9,187
Buck Island Reef NM	BUIS	National Monument	Southeast 	VI	1979	5	3,455
Buck Island Reef NM	BUIS	National Monument	Southeast 	VI	1979	6	5,637
Buck Island Reef NM	BUIS	National Monument	Southeast 	VI	1979	7	8,580
Buck Island Reef NM	BUIS	National Monument	Southeast 	VI	1979	8	7,558
Buck Island Reef NM	BUIS	National Monument	Southeast 	VI	1979	9	4,745
Buck Island Reef NM	BUIS	National Monument	Southeast 	VI	1979	10	6,737
Buck Island Reef NM	BUIS	National Monument	Southeast 	VI	1979	11	7,770
Buck Island Reef NM	BUIS	National Monument	Southeast 	VI	1979	12	10,379
Buck Island Reef NM	BUIS	National Monument	Southeast 	VI	1980	1	8,729
Buck Island Reef NM	BUIS	National Monument	Southeast 	VI	1980	2	8,182
Buck Island Reef NM	BUIS	National Monument	Southeast 	VI	1980	3	8,087
Buck Island Reef NM	BUIS	National Monument	Southeast 	VI	1980	4	6,239
Buck Island Reef NM	BUIS	National Monument	Southeast 	VI	1980	5	4,743
Buck Island Reef NM	BUIS	National Monument	Southeast 	VI	1980	6	6,092
Buck Island Reef NM	BUIS	National Monument	Southeast 	VI	1980	7	5,811
Buck Island Reef NM	BUIS	National Monument	Southeast 	VI	1980	8	5,539
Buck Island Reef NM	BUIS	National Monument	Southeast 	VI	1980	9	4,290
Buck Island Reef NM	BUIS	National Monument	Southeast 	VI	1980	10	3,670
Buck Island Reef NM	BUIS	National Monument	Southeast 	VI	1980	11	5,043
Buck Island Reef NM	BUIS	National Monument	Southeast 	VI	1980	12	4,880
Buck Island Reef NM	BUIS	National Monument	Southeast 	VI	1981	1	5,535
Buck Island Reef NM	BUIS	National Monument	Southeast 	VI	1981	2	5,396
Buck Island Reef NM	BUIS	National Monument	Southeast 	VI	1981	3	6,079
Buck Island Reef NM	BUIS	National Monument	Southeast 	VI	1981	4	3,212
Buck Island Reef NM	BUIS	National Monument	Southeast 	VI	1981	5	4,205
Buck Island Reef NM	BUIS	National Monument	Southeast 	VI	1981	6	4,394
Buck Island Reef NM	BUIS	National Monument	Southeast 	VI	1981	7	3,866
Buck Island Reef NM	BUIS	National Monument	Southeast 	VI	1981	8	3,095
Buck Island Reef NM	BUIS	National Monument	Southeast 	VI	1981	9	750
Buck Island Reef NM	BUIS	National Monument	Southeast 	VI	1981	10	2,381
Buck Island Reef NM	BUIS	National Monument	Southeast 	VI	1981	11	2,981
Buck Island Reef NM	BUIS	National Monument	Southeast 	VI	1981	12	3,608
