Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Buffalo NR	BUFF	National River	Midwest 	AR	1979	1	2,398
Buffalo NR	BUFF	National River	Midwest 	AR	1979	2	6,961
Buffalo NR	BUFF	National River	Midwest 	AR	1979	3	25,997
Buffalo NR	BUFF	National River	Midwest 	AR	1979	4	73,024
Buffalo NR	BUFF	National River	Midwest 	AR	1979	5	89,101
Buffalo NR	BUFF	National River	Midwest 	AR	1979	6	1,34,390
Buffalo NR	BUFF	National River	Midwest 	AR	1979	7	1,26,694
Buffalo NR	BUFF	National River	Midwest 	AR	1979	8	1,05,287
Buffalo NR	BUFF	National River	Midwest 	AR	1979	9	44,300
Buffalo NR	BUFF	National River	Midwest 	AR	1979	10	39,769
Buffalo NR	BUFF	National River	Midwest 	AR	1979	11	17,524
Buffalo NR	BUFF	National River	Midwest 	AR	1979	12	10,387
Buffalo NR	BUFF	National River	Midwest 	AR	1980	1	5,749
Buffalo NR	BUFF	National River	Midwest 	AR	1980	2	7,980
Buffalo NR	BUFF	National River	Midwest 	AR	1980	3	32,415
Buffalo NR	BUFF	National River	Midwest 	AR	1980	4	57,286
Buffalo NR	BUFF	National River	Midwest 	AR	1980	5	97,030
Buffalo NR	BUFF	National River	Midwest 	AR	1980	6	1,04,849
Buffalo NR	BUFF	National River	Midwest 	AR	1980	7	1,25,446
Buffalo NR	BUFF	National River	Midwest 	AR	1980	8	58,296
Buffalo NR	BUFF	National River	Midwest 	AR	1980	9	28,704
Buffalo NR	BUFF	National River	Midwest 	AR	1980	10	29,171
Buffalo NR	BUFF	National River	Midwest 	AR	1980	11	17,185
Buffalo NR	BUFF	National River	Midwest 	AR	1980	12	12,241
Buffalo NR	BUFF	National River	Midwest 	AR	1981	1	8,134
Buffalo NR	BUFF	National River	Midwest 	AR	1981	2	8,097
Buffalo NR	BUFF	National River	Midwest 	AR	1981	3	37,173
Buffalo NR	BUFF	National River	Midwest 	AR	1981	4	59,661
Buffalo NR	BUFF	National River	Midwest 	AR	1981	5	72,188
Buffalo NR	BUFF	National River	Midwest 	AR	1981	6	91,983
Buffalo NR	BUFF	National River	Midwest 	AR	1981	7	1,06,906
Buffalo NR	BUFF	National River	Midwest 	AR	1981	8	80,846
Buffalo NR	BUFF	National River	Midwest 	AR	1981	9	49,702
Buffalo NR	BUFF	National River	Midwest 	AR	1981	10	27,516
Buffalo NR	BUFF	National River	Midwest 	AR	1981	11	22,732
Buffalo NR	BUFF	National River	Midwest 	AR	1981	12	15,137
Buffalo NR	BUFF	National River	Midwest 	AR	1982	1	9,412
Buffalo NR	BUFF	National River	Midwest 	AR	1982	2	11,679
Buffalo NR	BUFF	National River	Midwest 	AR	1982	3	29,214
Buffalo NR	BUFF	National River	Midwest 	AR	1982	4	43,923
Buffalo NR	BUFF	National River	Midwest 	AR	1982	5	78,010
Buffalo NR	BUFF	National River	Midwest 	AR	1982	6	1,13,028
Buffalo NR	BUFF	National River	Midwest 	AR	1982	7	95,065
Buffalo NR	BUFF	National River	Midwest 	AR	1982	8	89,049
Buffalo NR	BUFF	National River	Midwest 	AR	1982	9	68,917
Buffalo NR	BUFF	National River	Midwest 	AR	1982	10	36,691
Buffalo NR	BUFF	National River	Midwest 	AR	1982	11	22,930
Buffalo NR	BUFF	National River	Midwest 	AR	1982	12	9,017
Buffalo NR	BUFF	National River	Midwest 	AR	1983	1	7,619
Buffalo NR	BUFF	National River	Midwest 	AR	1983	2	12,670
Buffalo NR	BUFF	National River	Midwest 	AR	1983	3	25,433
