Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1979	1	1,32,404
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1979	2	1,16,767
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1979	3	1,03,819
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1979	4	83,385
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1979	5	66,016
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1979	6	80,555
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1979	7	1,23,794
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1979	8	1,14,549
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1979	9	86,198
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1979	10	85,860
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1979	11	96,147
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1979	12	1,06,953
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1980	1	1,26,263
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1980	2	1,13,840
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1980	3	1,09,122
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1980	4	94,283
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1980	5	92,453
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1980	6	97,073
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1980	7	1,32,616
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1980	8	1,38,265
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1980	9	1,05,263
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1980	10	80,592
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1980	11	92,615
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1980	12	70,713
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1981	1	1,19,421
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1981	2	1,18,699
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1981	3	97,499
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1981	4	98,356
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1981	5	99,825
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1981	6	1,02,263
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1981	7	1,52,324
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1981	8	1,42,369
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1981	9	91,651
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1981	10	1,09,345
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1981	11	1,02,852
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1981	12	97,709
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1982	1	1,36,939
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1982	2	1,28,741
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1982	3	1,32,119
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1982	4	1,17,271
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1982	5	1,05,365
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1982	6	1,18,913
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1982	7	1,35,524
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1982	8	1,42,224
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1982	9	88,172
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1982	10	1,29,391
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1982	11	1,15,164
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1982	12	1,16,339
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1983	1	1,55,274
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1983	2	1,20,883
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1983	3	1,29,528
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1983	4	1,08,398
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1983	5	1,20,688
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1983	6	92,574
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1983	7	1,57,621
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1983	8	1,56,451
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1983	9	1,03,317
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1983	10	90,356
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1983	11	1,16,710
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1983	12	98,805
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1984	1	1,48,728
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1984	2	1,26,159
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1984	3	1,21,111
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1984	4	1,34,517
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1984	5	1,06,133
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1984	6	1,03,092
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1984	7	1,44,989
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1984	8	1,49,903
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1984	9	1,19,955
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1984	10	90,216
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1984	11	1,00,569
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1984	12	1,15,653
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1985	1	1,50,996
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1985	2	1,47,276
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1985	3	1,42,496
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1985	4	1,45,816
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1985	5	1,25,874
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1985	6	1,16,494
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1985	7	1,74,567
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1985	8	1,78,243
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1985	9	1,18,093
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1985	10	1,12,019
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1985	11	1,03,511
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1985	12	1,36,704
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1986	1	1,54,275
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1986	2	1,42,806
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1986	3	1,44,884
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1986	4	1,34,701
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1986	5	1,37,196
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1986	6	1,28,205
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1986	7	1,88,966
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1986	8	1,65,927
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1986	9	1,30,674
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1986	10	1,20,208
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1986	11	1,05,570
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1986	12	1,34,487
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1987	1	1,92,372
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1987	2	1,59,717
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1987	3	1,34,400
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1987	4	1,39,574
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1987	5	1,30,618
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1987	6	1,38,512
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1987	7	1,83,824
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1987	8	1,74,482
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1987	9	1,26,391
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1987	10	1,18,023
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1987	11	1,39,269
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1987	12	1,02,181
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1988	1	1,59,027
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1988	2	1,56,362
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1988	3	1,48,220
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1988	4	1,23,618
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1988	5	1,38,896
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1988	6	1,30,581
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1988	7	1,69,525
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1988	8	1,78,744
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1988	9	76,359
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1988	10	1,01,177
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1988	11	1,18,585
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1988	12	1,07,600
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1989	1	1,44,012
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1989	2	1,34,223
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1989	3	1,23,812
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1989	4	1,02,859
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1989	5	1,05,815
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1989	6	1,19,175
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1989	7	1,49,215
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1989	8	1,75,499
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1989	9	1,04,276
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1989	10	1,00,020
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1989	11	96,937
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1989	12	96,658
Cabrillo NM	CABR	National Monument	Pacific West 	CA	1990	1	1,13,030
