Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Camp Nelson NM	CANE	National Monument	Southeast 		2021	1	0
Camp Nelson NM	CANE	National Monument	Southeast 		2021	2	0
Camp Nelson NM	CANE	National Monument	Southeast 		2021	3	0
Camp Nelson NM	CANE	National Monument	Southeast 		2021	4	1,694
Camp Nelson NM	CANE	National Monument	Southeast 		2021	5	6,314
Camp Nelson NM	CANE	National Monument	Southeast 		2021	6	4,548
Camp Nelson NM	CANE	National Monument	Southeast 		2021	7	5,529
Camp Nelson NM	CANE	National Monument	Southeast 		2021	8	4,584
Camp Nelson NM	CANE	National Monument	Southeast 		2021	9	5,012
Camp Nelson NM	CANE	National Monument	Southeast 		2021	10	4,391
Camp Nelson NM	CANE	National Monument	Southeast 		2021	11	5,462
Camp Nelson NM	CANE	National Monument	Southeast 		2021	12	5,561
Camp Nelson NM	CANE	National Monument	Southeast 		2022	1	252
Camp Nelson NM	CANE	National Monument	Southeast 		2022	2	454
Camp Nelson NM	CANE	National Monument	Southeast 		2022	3	630
Camp Nelson NM	CANE	National Monument	Southeast 		2022	4	1,533
Camp Nelson NM	CANE	National Monument	Southeast 		2022	5	1,941
Camp Nelson NM	CANE	National Monument	Southeast 		2022	6	2,676
Camp Nelson NM	CANE	National Monument	Southeast 		2022	7	2,088
Camp Nelson NM	CANE	National Monument	Southeast 		2022	8	1,686
Camp Nelson NM	CANE	National Monument	Southeast 		2022	9	1,611
Camp Nelson NM	CANE	National Monument	Southeast 		2022	10	1,704
Camp Nelson NM	CANE	National Monument	Southeast 		2022	11	866
Camp Nelson NM	CANE	National Monument	Southeast 		2022	12	776
Camp Nelson NM	CANE	National Monument	Southeast 		2023	1	1,105
Camp Nelson NM	CANE	National Monument	Southeast 		2023	2	1,341
Camp Nelson NM	CANE	National Monument	Southeast 		2023	3	782
Camp Nelson NM	CANE	National Monument	Southeast 		2023	4	1,034
Camp Nelson NM	CANE	National Monument	Southeast 		2023	5	1,301
Camp Nelson NM	CANE	National Monument	Southeast 		2023	6	1,231
Camp Nelson NM	CANE	National Monument	Southeast 		2023	7	1,241
Camp Nelson NM	CANE	National Monument	Southeast 		2023	8	1,261
Camp Nelson NM	CANE	National Monument	Southeast 		2023	9	845
Camp Nelson NM	CANE	National Monument	Southeast 		2023	10	1,514
Camp Nelson NM	CANE	National Monument	Southeast 		2023	11	2,962
Camp Nelson NM	CANE	National Monument	Southeast 		2023	12	1,780
Camp Nelson NM	CANE	National Monument	Southeast 		2024	1	512
Camp Nelson NM	CANE	National Monument	Southeast 		2024	2	2,518
Camp Nelson NM	CANE	National Monument	Southeast 		2024	3	2,951
Camp Nelson NM	CANE	National Monument	Southeast 		2024	4	2,948
Camp Nelson NM	CANE	National Monument	Southeast 		2024	5	3,951
Camp Nelson NM	CANE	National Monument	Southeast 		2024	6	3,132
Camp Nelson NM	CANE	National Monument	Southeast 		2024	7	4,333
Camp Nelson NM	CANE	National Monument	Southeast 		2024	8	3,344
Camp Nelson NM	CANE	National Monument	Southeast 		2024	9	3,216
Camp Nelson NM	CANE	National Monument	Southeast 		2024	10	3,767
Camp Nelson NM	CANE	National Monument	Southeast 		2024	11	2,404
Camp Nelson NM	CANE	National Monument	Southeast 		2024	12	1,640
