Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Canaveral NS	CANA	National Seashore	Southeast 	FL	1979	1	61,106
Canaveral NS	CANA	National Seashore	Southeast 	FL	1979	2	64,400
Canaveral NS	CANA	National Seashore	Southeast 	FL	1979	3	84,635
Canaveral NS	CANA	National Seashore	Southeast 	FL	1979	4	1,33,938
Canaveral NS	CANA	National Seashore	Southeast 	FL	1979	5	76,910
Canaveral NS	CANA	National Seashore	Southeast 	FL	1979	6	79,594
Canaveral NS	CANA	National Seashore	Southeast 	FL	1979	7	92,462
Canaveral NS	CANA	National Seashore	Southeast 	FL	1979	8	76,748
Canaveral NS	CANA	National Seashore	Southeast 	FL	1979	9	53,559
Canaveral NS	CANA	National Seashore	Southeast 	FL	1979	10	48,845
Canaveral NS	CANA	National Seashore	Southeast 	FL	1979	11	42,723
Canaveral NS	CANA	National Seashore	Southeast 	FL	1979	12	45,023
Canaveral NS	CANA	National Seashore	Southeast 	FL	1980	1	58,186
Canaveral NS	CANA	National Seashore	Southeast 	FL	1980	2	64,703
Canaveral NS	CANA	National Seashore	Southeast 	FL	1980	3	87,614
Canaveral NS	CANA	National Seashore	Southeast 	FL	1980	4	98,322
Canaveral NS	CANA	National Seashore	Southeast 	FL	1980	5	85,341
Canaveral NS	CANA	National Seashore	Southeast 	FL	1980	6	1,00,080
Canaveral NS	CANA	National Seashore	Southeast 	FL	1980	7	1,06,733
Canaveral NS	CANA	National Seashore	Southeast 	FL	1980	8	72,371
Canaveral NS	CANA	National Seashore	Southeast 	FL	1980	9	53,740
Canaveral NS	CANA	National Seashore	Southeast 	FL	1980	10	61,226
Canaveral NS	CANA	National Seashore	Southeast 	FL	1980	11	49,785
Canaveral NS	CANA	National Seashore	Southeast 	FL	1980	12	47,519
Canaveral NS	CANA	National Seashore	Southeast 	FL	1981	1	54,928
Canaveral NS	CANA	National Seashore	Southeast 	FL	1981	2	73,177
Canaveral NS	CANA	National Seashore	Southeast 	FL	1981	3	80,351
Canaveral NS	CANA	National Seashore	Southeast 	FL	1981	4	84,136
Canaveral NS	CANA	National Seashore	Southeast 	FL	1981	5	1,17,230
Canaveral NS	CANA	National Seashore	Southeast 	FL	1981	6	1,46,174
Canaveral NS	CANA	National Seashore	Southeast 	FL	1981	7	1,24,182
Canaveral NS	CANA	National Seashore	Southeast 	FL	1981	8	1,07,303
Canaveral NS	CANA	National Seashore	Southeast 	FL	1981	9	94,608
Canaveral NS	CANA	National Seashore	Southeast 	FL	1981	10	68,312
Canaveral NS	CANA	National Seashore	Southeast 	FL	1981	11	52,836
Canaveral NS	CANA	National Seashore	Southeast 	FL	1981	12	63,469
Canaveral NS	CANA	National Seashore	Southeast 	FL	1982	1	84,398
Canaveral NS	CANA	National Seashore	Southeast 	FL	1982	2	77,315
Canaveral NS	CANA	National Seashore	Southeast 	FL	1982	3	74,893
Canaveral NS	CANA	National Seashore	Southeast 	FL	1982	4	1,01,412
Canaveral NS	CANA	National Seashore	Southeast 	FL	1982	5	1,11,164
Canaveral NS	CANA	National Seashore	Southeast 	FL	1982	6	1,01,277
Canaveral NS	CANA	National Seashore	Southeast 	FL	1982	7	1,13,897
Canaveral NS	CANA	National Seashore	Southeast 	FL	1982	8	1,31,931
Canaveral NS	CANA	National Seashore	Southeast 	FL	1982	9	86,301
Canaveral NS	CANA	National Seashore	Southeast 	FL	1982	10	67,208
Canaveral NS	CANA	National Seashore	Southeast 	FL	1982	11	63,942
Canaveral NS	CANA	National Seashore	Southeast 	FL	1982	12	59,080
Canaveral NS	CANA	National Seashore	Southeast 	FL	1983	1	79,551
Canaveral NS	CANA	National Seashore	Southeast 	FL	1983	2	69,158
Canaveral NS	CANA	National Seashore	Southeast 	FL	1983	3	1,03,174
Canaveral NS	CANA	National Seashore	Southeast 	FL	1983	4	1,12,983
Canaveral NS	CANA	National Seashore	Southeast 	FL	1983	5	1,29,764
Canaveral NS	CANA	National Seashore	Southeast 	FL	1983	6	1,02,312
Canaveral NS	CANA	National Seashore	Southeast 	FL	1983	7	1,34,254
Canaveral NS	CANA	National Seashore	Southeast 	FL	1983	8	86,977
Canaveral NS	CANA	National Seashore	Southeast 	FL	1983	9	79,980
Canaveral NS	CANA	National Seashore	Southeast 	FL	1983	10	61,700
Canaveral NS	CANA	National Seashore	Southeast 	FL	1983	11	55,395
Canaveral NS	CANA	National Seashore	Southeast 	FL	1983	12	60,073
Canaveral NS	CANA	National Seashore	Southeast 	FL	1984	1	76,317
Canaveral NS	CANA	National Seashore	Southeast 	FL	1984	2	96,605
Canaveral NS	CANA	National Seashore	Southeast 	FL	1984	3	1,27,072
Canaveral NS	CANA	National Seashore	Southeast 	FL	1984	4	1,27,412
Canaveral NS	CANA	National Seashore	Southeast 	FL	1984	5	1,14,774
Canaveral NS	CANA	National Seashore	Southeast 	FL	1984	6	95,683
Canaveral NS	CANA	National Seashore	Southeast 	FL	1984	7	1,25,583
Canaveral NS	CANA	National Seashore	Southeast 	FL	1984	8	1,05,153
Canaveral NS	CANA	National Seashore	Southeast 	FL	1984	9	86,805
Canaveral NS	CANA	National Seashore	Southeast 	FL	1984	10	72,170
Canaveral NS	CANA	National Seashore	Southeast 	FL	1984	11	55,194
Canaveral NS	CANA	National Seashore	Southeast 	FL	1984	12	98,534
Canaveral NS	CANA	National Seashore	Southeast 	FL	1985	1	73,829
Canaveral NS	CANA	National Seashore	Southeast 	FL	1985	2	70,350
Canaveral NS	CANA	National Seashore	Southeast 	FL	1985	3	67,231
Canaveral NS	CANA	National Seashore	Southeast 	FL	1985	4	57,557
Canaveral NS	CANA	National Seashore	Southeast 	FL	1985	5	76,207
Canaveral NS	CANA	National Seashore	Southeast 	FL	1985	6	1,11,469
Canaveral NS	CANA	National Seashore	Southeast 	FL	1985	7	1,20,258
Canaveral NS	CANA	National Seashore	Southeast 	FL	1985	8	84,912
Canaveral NS	CANA	National Seashore	Southeast 	FL	1985	9	70,962
Canaveral NS	CANA	National Seashore	Southeast 	FL	1985	10	71,752
Canaveral NS	CANA	National Seashore	Southeast 	FL	1985	11	75,438
Canaveral NS	CANA	National Seashore	Southeast 	FL	1985	12	51,804
Canaveral NS	CANA	National Seashore	Southeast 	FL	1986	1	64,462
Canaveral NS	CANA	National Seashore	Southeast 	FL	1986	2	65,306
Canaveral NS	CANA	National Seashore	Southeast 	FL	1986	3	1,32,873
Canaveral NS	CANA	National Seashore	Southeast 	FL	1986	4	1,50,968
Canaveral NS	CANA	National Seashore	Southeast 	FL	1986	5	1,28,414
Canaveral NS	CANA	National Seashore	Southeast 	FL	1986	6	1,18,136
Canaveral NS	CANA	National Seashore	Southeast 	FL	1986	7	1,22,576
