Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Cane River Creole NHP	CARI	National Historical Park	Southeast 	LA	2002	1	215
Cane River Creole NHP	CARI	National Historical Park	Southeast 	LA	2002	2	345
Cane River Creole NHP	CARI	National Historical Park	Southeast 	LA	2002	3	556
Cane River Creole NHP	CARI	National Historical Park	Southeast 	LA	2002	4	613
Cane River Creole NHP	CARI	National Historical Park	Southeast 	LA	2002	5	625
Cane River Creole NHP	CARI	National Historical Park	Southeast 	LA	2002	6	722
Cane River Creole NHP	CARI	National Historical Park	Southeast 	LA	2002	7	770
Cane River Creole NHP	CARI	National Historical Park	Southeast 	LA	2002	8	459
Cane River Creole NHP	CARI	National Historical Park	Southeast 	LA	2002	9	363
Cane River Creole NHP	CARI	National Historical Park	Southeast 	LA	2002	10	1,302
Cane River Creole NHP	CARI	National Historical Park	Southeast 	LA	2002	11	649
Cane River Creole NHP	CARI	National Historical Park	Southeast 	LA	2002	12	830
Cane River Creole NHP	CARI	National Historical Park	Southeast 	LA	2003	1	229
Cane River Creole NHP	CARI	National Historical Park	Southeast 	LA	2003	2	349
Cane River Creole NHP	CARI	National Historical Park	Southeast 	LA	2003	3	793
Cane River Creole NHP	CARI	National Historical Park	Southeast 	LA	2003	4	833
Cane River Creole NHP	CARI	National Historical Park	Southeast 	LA	2003	5	767
Cane River Creole NHP	CARI	National Historical Park	Southeast 	LA	2003	6	225
Cane River Creole NHP	CARI	National Historical Park	Southeast 	LA	2003	7	1,290
Cane River Creole NHP	CARI	National Historical Park	Southeast 	LA	2003	8	580
Cane River Creole NHP	CARI	National Historical Park	Southeast 	LA	2003	9	360
Cane River Creole NHP	CARI	National Historical Park	Southeast 	LA	2003	10	1,291
Cane River Creole NHP	CARI	National Historical Park	Southeast 	LA	2003	11	358
Cane River Creole NHP	CARI	National Historical Park	Southeast 	LA	2003	12	1,305
Cane River Creole NHP	CARI	National Historical Park	Southeast 	LA	2004	1	431
Cane River Creole NHP	CARI	National Historical Park	Southeast 	LA	2004	2	209
Cane River Creole NHP	CARI	National Historical Park	Southeast 	LA	2004	3	1,020
Cane River Creole NHP	CARI	National Historical Park	Southeast 	LA	2004	4	1,290
Cane River Creole NHP	CARI	National Historical Park	Southeast 	LA	2004	5	1,388
Cane River Creole NHP	CARI	National Historical Park	Southeast 	LA	2004	6	1,388
Cane River Creole NHP	CARI	National Historical Park	Southeast 	LA	2004	7	1,386
Cane River Creole NHP	CARI	National Historical Park	Southeast 	LA	2004	8	1,418
Cane River Creole NHP	CARI	National Historical Park	Southeast 	LA	2004	9	897
Cane River Creole NHP	CARI	National Historical Park	Southeast 	LA	2004	10	1,662
Cane River Creole NHP	CARI	National Historical Park	Southeast 	LA	2004	11	744
Cane River Creole NHP	CARI	National Historical Park	Southeast 	LA	2004	12	1,100
