Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Canyon de Chelly NM	CACH	National Monument	Intermountain 	AZ	1979	1	9,260
Canyon de Chelly NM	CACH	National Monument	Intermountain 	AZ	1979	2	9,057
Canyon de Chelly NM	CACH	National Monument	Intermountain 	AZ	1979	3	13,670
Canyon de Chelly NM	CACH	National Monument	Intermountain 	AZ	1979	4	31,304
Canyon de Chelly NM	CACH	National Monument	Intermountain 	AZ	1979	5	45,867
Canyon de Chelly NM	CACH	National Monument	Intermountain 	AZ	1979	6	38,364
Canyon de Chelly NM	CACH	National Monument	Intermountain 	AZ	1979	7	39,253
Canyon de Chelly NM	CACH	National Monument	Intermountain 	AZ	1979	8	55,033
Canyon de Chelly NM	CACH	National Monument	Intermountain 	AZ	1979	9	35,401
Canyon de Chelly NM	CACH	National Monument	Intermountain 	AZ	1979	10	23,929
Canyon de Chelly NM	CACH	National Monument	Intermountain 	AZ	1979	11	17,799
Canyon de Chelly NM	CACH	National Monument	Intermountain 	AZ	1979	12	9,160
Canyon de Chelly NM	CACH	National Monument	Intermountain 	AZ	1980	1	5,000
Canyon de Chelly NM	CACH	National Monument	Intermountain 	AZ	1980	2	7,608
Canyon de Chelly NM	CACH	National Monument	Intermountain 	AZ	1980	3	13,595
Canyon de Chelly NM	CACH	National Monument	Intermountain 	AZ	1980	4	13,611
Canyon de Chelly NM	CACH	National Monument	Intermountain 	AZ	1980	5	45,968
Canyon de Chelly NM	CACH	National Monument	Intermountain 	AZ	1980	6	34,278
Canyon de Chelly NM	CACH	National Monument	Intermountain 	AZ	1980	7	37,363
Canyon de Chelly NM	CACH	National Monument	Intermountain 	AZ	1980	8	40,174
Canyon de Chelly NM	CACH	National Monument	Intermountain 	AZ	1980	9	37,525
Canyon de Chelly NM	CACH	National Monument	Intermountain 	AZ	1980	10	23,211
Canyon de Chelly NM	CACH	National Monument	Intermountain 	AZ	1980	11	17,621
Canyon de Chelly NM	CACH	National Monument	Intermountain 	AZ	1980	12	8,061
Canyon de Chelly NM	CACH	National Monument	Intermountain 	AZ	1981	1	7,250
Canyon de Chelly NM	CACH	National Monument	Intermountain 	AZ	1981	2	9,890
Canyon de Chelly NM	CACH	National Monument	Intermountain 	AZ	1981	3	11,692
Canyon de Chelly NM	CACH	National Monument	Intermountain 	AZ	1981	4	10,671
Canyon de Chelly NM	CACH	National Monument	Intermountain 	AZ	1981	5	58,356
Canyon de Chelly NM	CACH	National Monument	Intermountain 	AZ	1981	6	66,526
Canyon de Chelly NM	CACH	National Monument	Intermountain 	AZ	1981	7	38,518
Canyon de Chelly NM	CACH	National Monument	Intermountain 	AZ	1981	8	43,919
Canyon de Chelly NM	CACH	National Monument	Intermountain 	AZ	1981	9	27,768
Canyon de Chelly NM	CACH	National Monument	Intermountain 	AZ	1981	10	24,557
Canyon de Chelly NM	CACH	National Monument	Intermountain 	AZ	1981	11	23,083
Canyon de Chelly NM	CACH	National Monument	Intermountain 	AZ	1981	12	11,366
Canyon de Chelly NM	CACH	National Monument	Intermountain 	AZ	1982	1	5,944
Canyon de Chelly NM	CACH	National Monument	Intermountain 	AZ	1982	2	7,912
Canyon de Chelly NM	CACH	National Monument	Intermountain 	AZ	1982	3	13,329
Canyon de Chelly NM	CACH	National Monument	Intermountain 	AZ	1982	4	10,031
Canyon de Chelly NM	CACH	National Monument	Intermountain 	AZ	1982	5	63,215
Canyon de Chelly NM	CACH	National Monument	Intermountain 	AZ	1982	6	66,000
Canyon de Chelly NM	CACH	National Monument	Intermountain 	AZ	1982	7	63,458
Canyon de Chelly NM	CACH	National Monument	Intermountain 	AZ	1982	8	51,462
