Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Canyonlands NP	CANY	National Park	Intermountain 	UT	1979	1	1,225
Canyonlands NP	CANY	National Park	Intermountain 	UT	1979	2	726
Canyonlands NP	CANY	National Park	Intermountain 	UT	1979	3	7,087
Canyonlands NP	CANY	National Park	Intermountain 	UT	1979	4	10,097
Canyonlands NP	CANY	National Park	Intermountain 	UT	1979	5	15,216
Canyonlands NP	CANY	National Park	Intermountain 	UT	1979	6	10,075
Canyonlands NP	CANY	National Park	Intermountain 	UT	1979	7	6,796
Canyonlands NP	CANY	National Park	Intermountain 	UT	1979	8	7,919
Canyonlands NP	CANY	National Park	Intermountain 	UT	1979	9	8,141
Canyonlands NP	CANY	National Park	Intermountain 	UT	1979	10	5,144
Canyonlands NP	CANY	National Park	Intermountain 	UT	1979	11	1,495
Canyonlands NP	CANY	National Park	Intermountain 	UT	1979	12	624
Canyonlands NP	CANY	National Park	Intermountain 	UT	1980	1	399
Canyonlands NP	CANY	National Park	Intermountain 	UT	1980	2	659
Canyonlands NP	CANY	National Park	Intermountain 	UT	1980	3	3,023
Canyonlands NP	CANY	National Park	Intermountain 	UT	1980	4	5,897
Canyonlands NP	CANY	National Park	Intermountain 	UT	1980	5	8,421
Canyonlands NP	CANY	National Park	Intermountain 	UT	1980	6	7,721
Canyonlands NP	CANY	National Park	Intermountain 	UT	1980	7	6,859
Canyonlands NP	CANY	National Park	Intermountain 	UT	1980	8	8,222
Canyonlands NP	CANY	National Park	Intermountain 	UT	1980	9	7,661
Canyonlands NP	CANY	National Park	Intermountain 	UT	1980	10	4,807
Canyonlands NP	CANY	National Park	Intermountain 	UT	1980	11	2,005
Canyonlands NP	CANY	National Park	Intermountain 	UT	1980	12	831
Canyonlands NP	CANY	National Park	Intermountain 	UT	1981	1	2,189
Canyonlands NP	CANY	National Park	Intermountain 	UT	1981	2	2,146
Canyonlands NP	CANY	National Park	Intermountain 	UT	1981	3	4,714
Canyonlands NP	CANY	National Park	Intermountain 	UT	1981	4	13,514
Canyonlands NP	CANY	National Park	Intermountain 	UT	1981	5	15,415
Canyonlands NP	CANY	National Park	Intermountain 	UT	1981	6	9,274
Canyonlands NP	CANY	National Park	Intermountain 	UT	1981	7	10,433
