Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1979	1	91,899
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1979	2	1,18,907
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1979	3	1,76,540
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1979	4	2,23,964
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1979	5	2,49,617
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1979	6	4,66,116
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1979	7	7,41,196
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1979	8	9,63,376
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1979	9	4,43,619
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1979	10	2,61,593
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1979	11	1,08,637
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1979	12	76,504
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1980	1	68,488
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1980	2	92,232
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1980	3	1,51,514
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1980	4	2,67,001
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1980	5	4,22,445
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1980	6	4,97,497
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1980	7	9,39,837
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1980	8	10,11,591
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1980	9	6,74,971
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1980	10	3,48,015
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1980	11	2,18,733
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1980	12	96,018
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1981	1	62,900
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1981	2	1,34,763
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1981	3	1,82,925
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1981	4	2,53,424
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1981	5	4,53,641
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1981	6	6,60,137
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1981	7	9,20,025
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1981	8	10,91,455
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1981	9	6,63,929
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1981	10	3,17,753
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1981	11	1,63,564
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1981	12	74,322
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1982	1	54,179
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1982	2	1,13,260
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1982	3	1,36,343
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1982	4	2,14,661
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1982	5	3,94,355
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1982	6	4,72,041
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1982	7	6,97,409
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1982	8	8,53,839
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1982	9	5,58,501
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1982	10	3,28,827
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1982	11	1,16,932
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1982	12	80,764
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1983	1	72,705
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1983	2	1,33,730
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1983	3	1,70,515
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1983	4	2,48,749
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1983	5	4,32,399
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1983	6	5,45,863
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1983	7	9,34,713
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1983	8	8,28,691
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1983	9	6,23,290
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1983	10	3,87,732
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1983	11	1,39,179
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1983	12	77,505
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1984	1	97,157
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1984	2	1,49,855
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1984	3	1,51,652
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1984	4	2,56,581
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1984	5	3,47,705
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1984	6	4,79,393
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1984	7	8,97,370
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1984	8	9,88,513
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1984	9	5,98,348
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1984	10	3,59,685
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1984	11	1,42,365
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1984	12	92,089
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1985	1	70,926
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1985	2	1,27,255
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1985	3	1,35,354
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1985	4	2,10,118
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1985	5	3,44,186
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1985	6	4,66,126
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1985	7	9,56,181
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1985	8	9,83,033
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1985	9	5,44,541
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1985	10	3,24,540
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1985	11	1,36,542
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1985	12	75,997
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1986	1	84,406
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1986	2	1,10,361
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1986	3	1,75,199
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1986	4	2,02,640
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1986	5	3,22,912
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1986	6	4,48,963
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1986	7	7,61,836
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1986	8	7,64,276
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1986	9	4,99,330
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1986	10	3,98,093
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1986	11	1,28,524
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1986	12	94,673
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1987	1	1,25,502
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1987	2	1,20,507
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1987	3	1,75,489
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1987	4	2,30,012
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1987	5	3,60,043
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1987	6	5,72,498
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1987	7	9,63,983
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1987	8	9,81,490
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1987	9	7,93,417
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1987	10	3,19,307
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1987	11	1,87,524
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1987	12	1,11,797
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1988	1	1,24,870
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1988	2	1,33,454
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1988	3	1,89,464
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1988	4	2,73,255
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1988	5	3,78,512
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1988	6	5,66,468
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1988	7	9,28,226
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1988	8	9,64,040
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1988	9	7,41,226
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1988	10	6,02,331
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1988	11	1,79,980
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1988	12	99,144
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1989	1	1,52,010
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1989	2	1,23,848
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1989	3	2,01,261
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1989	4	2,73,137
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1989	5	3,74,490
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1989	6	5,69,440
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1989	7	8,18,924
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1989	8	10,79,844
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1989	9	7,76,332
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1989	10	4,13,757
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1989	11	1,55,062
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1989	12	81,964
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1990	1	1,10,892
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1990	2	1,17,608
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1990	3	1,60,447
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1990	4	3,50,961
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1990	5	5,04,250
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1990	6	6,46,714
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1990	7	7,46,313
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1990	8	12,26,690
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1990	9	6,81,565
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1990	10	5,38,349
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1990	11	1,96,797
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1990	12	1,68,794
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1991	1	1,31,607
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1991	2	1,42,117
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1991	3	1,68,326
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1991	4	2,78,574
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1991	5	4,70,990
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1991	6	6,87,950
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1991	7	8,34,731
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1991	8	11,68,499
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1991	9	7,48,267
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1991	10	4,79,224
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1991	11	2,00,958
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1991	12	1,31,136
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1992	1	1,36,498
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1992	2	1,61,959
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1992	3	1,73,358
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1992	4	2,55,095
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1992	5	4,30,014
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1992	6	5,12,642
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1992	7	8,15,340
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1992	8	11,25,425
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1992	9	7,29,448
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1992	10	4,18,552
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1992	11	2,00,818
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1992	12	1,57,774
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1993	1	1,28,477
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1993	2	89,326
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1993	3	1,68,921
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1993	4	2,69,084
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1993	5	4,02,461
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1993	6	5,29,766
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1993	7	9,95,909
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1993	8	12,02,952
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1993	9	5,89,171
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1993	10	3,95,240
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1993	11	2,12,553
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1993	12	1,70,750
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1994	1	97,484
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1994	2	99,843
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1994	3	1,89,672
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1994	4	2,74,681
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1994	5	4,15,109
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1994	6	5,01,817
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1994	7	11,20,908
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1994	8	10,64,762
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1994	9	6,15,231
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1994	10	4,05,549
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1994	11	2,71,205
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1994	12	1,72,333
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1995	1	1,37,871
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1995	2	1,43,850
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1995	3	1,91,700
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1995	4	2,54,028
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1995	5	4,78,766
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1995	6	5,81,885
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1995	7	9,90,160
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1995	8	10,33,574
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1995	9	6,16,914
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1995	10	3,89,700
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1995	11	1,93,862
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1995	12	1,28,729
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1996	1	1,10,999
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1996	2	1,09,550
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1996	3	1,75,345
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1996	4	2,55,083
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1996	5	5,27,667
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1996	6	5,56,725
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1996	7	8,71,935
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1996	8	9,58,192
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1996	9	5,89,906
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1996	10	4,16,243
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1996	11	2,00,691
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1996	12	1,29,446
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1997	1	1,08,331
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1997	2	1,54,299
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1997	3	1,84,614
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1997	4	2,36,054
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1997	5	4,12,873
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1997	6	5,10,845
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1997	7	8,22,200
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1997	8	9,73,784
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1997	9	5,48,497
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1997	10	3,88,382
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1997	11	1,48,547
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1997	12	1,20,028
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1998	1	1,56,696
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1998	2	1,75,942
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1998	3	1,88,287
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1998	4	2,64,175
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1998	5	4,38,751
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1998	6	5,18,813
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1998	7	8,15,732
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1998	8	9,51,133
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1998	9	5,78,981
Cape Cod NS	CACO	National Seashore	Northeast 	MA	1998	10	4,19,173
