Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Cape Hatteras NS	CAHA	National Seashore	Southeast 	NC	1979	1	21,675
Cape Hatteras NS	CAHA	National Seashore	Southeast 	NC	1979	2	6,872
Cape Hatteras NS	CAHA	National Seashore	Southeast 	NC	1979	3	38,043
Cape Hatteras NS	CAHA	National Seashore	Southeast 	NC	1979	4	1,07,552
Cape Hatteras NS	CAHA	National Seashore	Southeast 	NC	1979	5	1,63,274
Cape Hatteras NS	CAHA	National Seashore	Southeast 	NC	1979	6	2,86,384
Cape Hatteras NS	CAHA	National Seashore	Southeast 	NC	1979	7	2,96,702
Cape Hatteras NS	CAHA	National Seashore	Southeast 	NC	1979	8	2,89,666
Cape Hatteras NS	CAHA	National Seashore	Southeast 	NC	1979	9	1,50,177
Cape Hatteras NS	CAHA	National Seashore	Southeast 	NC	1979	10	1,14,083
Cape Hatteras NS	CAHA	National Seashore	Southeast 	NC	1979	11	33,283
Cape Hatteras NS	CAHA	National Seashore	Southeast 	NC	1979	12	9,168
Cape Hatteras NS	CAHA	National Seashore	Southeast 	NC	1980	1	6,997
Cape Hatteras NS	CAHA	National Seashore	Southeast 	NC	1980	2	8,183
Cape Hatteras NS	CAHA	National Seashore	Southeast 	NC	1980	3	22,803
Cape Hatteras NS	CAHA	National Seashore	Southeast 	NC	1980	4	51,523
Cape Hatteras NS	CAHA	National Seashore	Southeast 	NC	1980	5	1,75,151
Cape Hatteras NS	CAHA	National Seashore	Southeast 	NC	1980	6	2,57,062
Cape Hatteras NS	CAHA	National Seashore	Southeast 	NC	1980	7	3,22,854
Cape Hatteras NS	CAHA	National Seashore	Southeast 	NC	1980	8	3,40,224
Cape Hatteras NS	CAHA	National Seashore	Southeast 	NC	1980	9	1,28,022
Cape Hatteras NS	CAHA	National Seashore	Southeast 	NC	1980	10	1,22,323
Cape Hatteras NS	CAHA	National Seashore	Southeast 	NC	1980	11	64,552
Cape Hatteras NS	CAHA	National Seashore	Southeast 	NC	1980	12	10,543
Cape Hatteras NS	CAHA	National Seashore	Southeast 	NC	1981	1	25,507
Cape Hatteras NS	CAHA	National Seashore	Southeast 	NC	1981	2	19,954
Cape Hatteras NS	CAHA	National Seashore	Southeast 	NC	1981	3	33,755
Cape Hatteras NS	CAHA	National Seashore	Southeast 	NC	1981	4	1,09,039
Cape Hatteras NS	CAHA	National Seashore	Southeast 	NC	1981	5	1,27,059
Cape Hatteras NS	CAHA	National Seashore	Southeast 	NC	1981	6	2,66,697
Cape Hatteras NS	CAHA	National Seashore	Southeast 	NC	1981	7	3,54,201
