Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Cape Krusenstern NM	CAKR	National Monument	Alaska	AK	1982	1	0
Cape Krusenstern NM	CAKR	National Monument	Alaska	AK	1982	2	0
Cape Krusenstern NM	CAKR	National Monument	Alaska	AK	1982	3	25
Cape Krusenstern NM	CAKR	National Monument	Alaska	AK	1982	4	245
Cape Krusenstern NM	CAKR	National Monument	Alaska	AK	1982	5	565
Cape Krusenstern NM	CAKR	National Monument	Alaska	AK	1982	6	1,000
Cape Krusenstern NM	CAKR	National Monument	Alaska	AK	1982	7	5,000
Cape Krusenstern NM	CAKR	National Monument	Alaska	AK	1982	8	3,045
Cape Krusenstern NM	CAKR	National Monument	Alaska	AK	1982	9	100
Cape Krusenstern NM	CAKR	National Monument	Alaska	AK	1982	10	50
Cape Krusenstern NM	CAKR	National Monument	Alaska	AK	1982	11	55
Cape Krusenstern NM	CAKR	National Monument	Alaska	AK	1982	12	120
Cape Krusenstern NM	CAKR	National Monument	Alaska	AK	1983	1	95
Cape Krusenstern NM	CAKR	National Monument	Alaska	AK	1983	2	170
Cape Krusenstern NM	CAKR	National Monument	Alaska	AK	1983	3	180
Cape Krusenstern NM	CAKR	National Monument	Alaska	AK	1983	4	200
Cape Krusenstern NM	CAKR	National Monument	Alaska	AK	1983	5	100
Cape Krusenstern NM	CAKR	National Monument	Alaska	AK	1983	6	300
Cape Krusenstern NM	CAKR	National Monument	Alaska	AK	1983	7	6,120
Cape Krusenstern NM	CAKR	National Monument	Alaska	AK	1983	8	2,400
Cape Krusenstern NM	CAKR	National Monument	Alaska	AK	1983	9	600
Cape Krusenstern NM	CAKR	National Monument	Alaska	AK	1983	10	50
Cape Krusenstern NM	CAKR	National Monument	Alaska	AK	1983	11	60
Cape Krusenstern NM	CAKR	National Monument	Alaska	AK	1983	12	100
Cape Krusenstern NM	CAKR	National Monument	Alaska	AK	1984	1	75
Cape Krusenstern NM	CAKR	National Monument	Alaska	AK	1984	2	150
Cape Krusenstern NM	CAKR	National Monument	Alaska	AK	1984	3	180
Cape Krusenstern NM	CAKR	National Monument	Alaska	AK	1984	4	200
Cape Krusenstern NM	CAKR	National Monument	Alaska	AK	1984	5	150
Cape Krusenstern NM	CAKR	National Monument	Alaska	AK	1984	6	200
Cape Krusenstern NM	CAKR	National Monument	Alaska	AK	1984	7	5,000
Cape Krusenstern NM	CAKR	National Monument	Alaska	AK	1984	8	3,000
Cape Krusenstern NM	CAKR	National Monument	Alaska	AK	1984	9	720
Cape Krusenstern NM	CAKR	National Monument	Alaska	AK	1984	10	50
Cape Krusenstern NM	CAKR	National Monument	Alaska	AK	1984	11	50
Cape Krusenstern NM	CAKR	National Monument	Alaska	AK	1984	12	50
Cape Krusenstern NM	CAKR	National Monument	Alaska	AK	1985	1	75
Cape Krusenstern NM	CAKR	National Monument	Alaska	AK	1985	2	160
Cape Krusenstern NM	CAKR	National Monument	Alaska	AK	1985	3	200
Cape Krusenstern NM	CAKR	National Monument	Alaska	AK	1985	4	280
Cape Krusenstern NM	CAKR	National Monument	Alaska	AK	1985	5	170
Cape Krusenstern NM	CAKR	National Monument	Alaska	AK	1985	6	500
Cape Krusenstern NM	CAKR	National Monument	Alaska	AK	1985	7	5,000
Cape Krusenstern NM	CAKR	National Monument	Alaska	AK	1985	8	3,000
Cape Krusenstern NM	CAKR	National Monument	Alaska	AK	1985	9	750
Cape Krusenstern NM	CAKR	National Monument	Alaska	AK	1985	10	50
Cape Krusenstern NM	CAKR	National Monument	Alaska	AK	1985	11	50
Cape Krusenstern NM	CAKR	National Monument	Alaska	AK	1985	12	200
Cape Krusenstern NM	CAKR	National Monument	Alaska	AK	1986	1	150
Cape Krusenstern NM	CAKR	National Monument	Alaska	AK	1986	2	200
Cape Krusenstern NM	CAKR	National Monument	Alaska	AK	1986	3	125
Cape Krusenstern NM	CAKR	National Monument	Alaska	AK	1986	4	310
Cape Krusenstern NM	CAKR	National Monument	Alaska	AK	1986	5	210
Cape Krusenstern NM	CAKR	National Monument	Alaska	AK	1986	6	500
Cape Krusenstern NM	CAKR	National Monument	Alaska	AK	1986	7	3,000
Cape Krusenstern NM	CAKR	National Monument	Alaska	AK	1986	8	4,000
Cape Krusenstern NM	CAKR	National Monument	Alaska	AK	1986	9	600
Cape Krusenstern NM	CAKR	National Monument	Alaska	AK	1986	10	30
Cape Krusenstern NM	CAKR	National Monument	Alaska	AK	1986	11	50
Cape Krusenstern NM	CAKR	National Monument	Alaska	AK	1986	12	200
Cape Krusenstern NM	CAKR	National Monument	Alaska	AK	1987	1	0
Cape Krusenstern NM	CAKR	National Monument	Alaska	AK	1987	2	0
Cape Krusenstern NM	CAKR	National Monument	Alaska	AK	1987	3	0
Cape Krusenstern NM	CAKR	National Monument	Alaska	AK	1987	4	0
Cape Krusenstern NM	CAKR	National Monument	Alaska	AK	1987	5	0
Cape Krusenstern NM	CAKR	National Monument	Alaska	AK	1987	6	10
Cape Krusenstern NM	CAKR	National Monument	Alaska	AK	1987	7	40
Cape Krusenstern NM	CAKR	National Monument	Alaska	AK	1987	8	40
Cape Krusenstern NM	CAKR	National Monument	Alaska	AK	1987	9	4,000
Cape Krusenstern NM	CAKR	National Monument	Alaska	AK	1987	10	2,000
Cape Krusenstern NM	CAKR	National Monument	Alaska	AK	1987	11	10
Cape Krusenstern NM	CAKR	National Monument	Alaska	AK	1987	12	10
Cape Krusenstern NM	CAKR	National Monument	Alaska	AK	1988	1	135
Cape Krusenstern NM	CAKR	National Monument	Alaska	AK	1988	2	170
Cape Krusenstern NM	CAKR	National Monument	Alaska	AK	1988	3	210
Cape Krusenstern NM	CAKR	National Monument	Alaska	AK	1988	4	320
Cape Krusenstern NM	CAKR	National Monument	Alaska	AK	1988	5	455
Cape Krusenstern NM	CAKR	National Monument	Alaska	AK	1988	6	520
Cape Krusenstern NM	CAKR	National Monument	Alaska	AK	1988	7	2,500
Cape Krusenstern NM	CAKR	National Monument	Alaska	AK	1988	8	70
Cape Krusenstern NM	CAKR	National Monument	Alaska	AK	1988	9	650
Cape Krusenstern NM	CAKR	National Monument	Alaska	AK	1988	10	50
Cape Krusenstern NM	CAKR	National Monument	Alaska	AK	1988	11	40
Cape Krusenstern NM	CAKR	National Monument	Alaska	AK	1988	12	20
Cape Krusenstern NM	CAKR	National Monument	Alaska	AK	1989	1	125
Cape Krusenstern NM	CAKR	National Monument	Alaska	AK	1989	2	180
Cape Krusenstern NM	CAKR	National Monument	Alaska	AK	1989	3	220
Cape Krusenstern NM	CAKR	National Monument	Alaska	AK	1989	4	330
Cape Krusenstern NM	CAKR	National Monument	Alaska	AK	1989	5	370
Cape Krusenstern NM	CAKR	National Monument	Alaska	AK	1989	6	410
Cape Krusenstern NM	CAKR	National Monument	Alaska	AK	1989	7	550
Cape Krusenstern NM	CAKR	National Monument	Alaska	AK	1989	8	35
Cape Krusenstern NM	CAKR	National Monument	Alaska	AK	1989	9	510
Cape Krusenstern NM	CAKR	National Monument	Alaska	AK	1989	10	55
Cape Krusenstern NM	CAKR	National Monument	Alaska	AK	1989	11	50
Cape Krusenstern NM	CAKR	National Monument	Alaska	AK	1989	12	45
Cape Krusenstern NM	CAKR	National Monument	Alaska	AK	1990	1	140
Cape Krusenstern NM	CAKR	National Monument	Alaska	AK	1990	2	168
Cape Krusenstern NM	CAKR	National Monument	Alaska	AK	1990	3	225
Cape Krusenstern NM	CAKR	National Monument	Alaska	AK	1990	4	300
Cape Krusenstern NM	CAKR	National Monument	Alaska	AK	1990	5	360
Cape Krusenstern NM	CAKR	National Monument	Alaska	AK	1990	6	450
Cape Krusenstern NM	CAKR	National Monument	Alaska	AK	1990	7	558
Cape Krusenstern NM	CAKR	National Monument	Alaska	AK	1990	8	40
Cape Krusenstern NM	CAKR	National Monument	Alaska	AK	1990	9	550
Cape Krusenstern NM	CAKR	National Monument	Alaska	AK	1990	10	45
Cape Krusenstern NM	CAKR	National Monument	Alaska	AK	1990	11	55
Cape Krusenstern NM	CAKR	National Monument	Alaska	AK	1990	12	48
Cape Krusenstern NM	CAKR	National Monument	Alaska	AK	1991	1	130
Cape Krusenstern NM	CAKR	National Monument	Alaska	AK	1991	2	186
Cape Krusenstern NM	CAKR	National Monument	Alaska	AK	1991	3	217
Cape Krusenstern NM	CAKR	National Monument	Alaska	AK	1991	4	330
Cape Krusenstern NM	CAKR	National Monument	Alaska	AK	1991	5	372
Cape Krusenstern NM	CAKR	National Monument	Alaska	AK	1991	6	465
Cape Krusenstern NM	CAKR	National Monument	Alaska	AK	1991	7	545
Cape Krusenstern NM	CAKR	National Monument	Alaska	AK	1991	8	50
Cape Krusenstern NM	CAKR	National Monument	Alaska	AK	1991	9	520
Cape Krusenstern NM	CAKR	National Monument	Alaska	AK	1991	10	47
