Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Cape Lookout NS	CALO	National Seashore	Southeast 	NC	1979	1	960
Cape Lookout NS	CALO	National Seashore	Southeast 	NC	1979	2	275
Cape Lookout NS	CALO	National Seashore	Southeast 	NC	1979	3	132
Cape Lookout NS	CALO	National Seashore	Southeast 	NC	1979	4	1,173
Cape Lookout NS	CALO	National Seashore	Southeast 	NC	1979	5	2,052
Cape Lookout NS	CALO	National Seashore	Southeast 	NC	1979	6	5,639
Cape Lookout NS	CALO	National Seashore	Southeast 	NC	1979	7	8,398
Cape Lookout NS	CALO	National Seashore	Southeast 	NC	1979	8	8,448
Cape Lookout NS	CALO	National Seashore	Southeast 	NC	1979	9	5,074
Cape Lookout NS	CALO	National Seashore	Southeast 	NC	1979	10	10,781
Cape Lookout NS	CALO	National Seashore	Southeast 	NC	1979	11	5,984
Cape Lookout NS	CALO	National Seashore	Southeast 	NC	1979	12	1,190
Cape Lookout NS	CALO	National Seashore	Southeast 	NC	1980	1	869
Cape Lookout NS	CALO	National Seashore	Southeast 	NC	1980	2	500
Cape Lookout NS	CALO	National Seashore	Southeast 	NC	1980	3	980
Cape Lookout NS	CALO	National Seashore	Southeast 	NC	1980	4	2,104
Cape Lookout NS	CALO	National Seashore	Southeast 	NC	1980	5	3,687
Cape Lookout NS	CALO	National Seashore	Southeast 	NC	1980	6	8,684
Cape Lookout NS	CALO	National Seashore	Southeast 	NC	1980	7	11,138
Cape Lookout NS	CALO	National Seashore	Southeast 	NC	1980	8	10,273
Cape Lookout NS	CALO	National Seashore	Southeast 	NC	1980	9	7,882
Cape Lookout NS	CALO	National Seashore	Southeast 	NC	1980	10	11,435
Cape Lookout NS	CALO	National Seashore	Southeast 	NC	1980	11	6,102
Cape Lookout NS	CALO	National Seashore	Southeast 	NC	1980	12	1,305
Cape Lookout NS	CALO	National Seashore	Southeast 	NC	1981	1	560
Cape Lookout NS	CALO	National Seashore	Southeast 	NC	1981	2	320
Cape Lookout NS	CALO	National Seashore	Southeast 	NC	1981	3	503
