Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Capitol Reef NP	CARE	National Park	Intermountain 	UT	1979	1	1,620
Capitol Reef NP	CARE	National Park	Intermountain 	UT	1979	2	2,471
Capitol Reef NP	CARE	National Park	Intermountain 	UT	1979	3	9,661
Capitol Reef NP	CARE	National Park	Intermountain 	UT	1979	4	39,171
Capitol Reef NP	CARE	National Park	Intermountain 	UT	1979	5	46,359
Capitol Reef NP	CARE	National Park	Intermountain 	UT	1979	6	45,839
Capitol Reef NP	CARE	National Park	Intermountain 	UT	1979	7	39,455
Capitol Reef NP	CARE	National Park	Intermountain 	UT	1979	8	39,963
Capitol Reef NP	CARE	National Park	Intermountain 	UT	1979	9	33,191
Capitol Reef NP	CARE	National Park	Intermountain 	UT	1979	10	22,473
Capitol Reef NP	CARE	National Park	Intermountain 	UT	1979	11	5,933
Capitol Reef NP	CARE	National Park	Intermountain 	UT	1979	12	2,724
Capitol Reef NP	CARE	National Park	Intermountain 	UT	1980	1	1,501
Capitol Reef NP	CARE	National Park	Intermountain 	UT	1980	2	3,682
Capitol Reef NP	CARE	National Park	Intermountain 	UT	1980	3	9,870
Capitol Reef NP	CARE	National Park	Intermountain 	UT	1980	4	33,379
Capitol Reef NP	CARE	National Park	Intermountain 	UT	1980	5	55,838
Capitol Reef NP	CARE	National Park	Intermountain 	UT	1980	6	61,645
Capitol Reef NP	CARE	National Park	Intermountain 	UT	1980	7	61,719
Capitol Reef NP	CARE	National Park	Intermountain 	UT	1980	8	55,034
Capitol Reef NP	CARE	National Park	Intermountain 	UT	1980	9	31,818
Capitol Reef NP	CARE	National Park	Intermountain 	UT	1980	10	18,369
Capitol Reef NP	CARE	National Park	Intermountain 	UT	1980	11	6,421
Capitol Reef NP	CARE	National Park	Intermountain 	UT	1980	12	3,512
Capitol Reef NP	CARE	National Park	Intermountain 	UT	1981	1	5,573
Capitol Reef NP	CARE	National Park	Intermountain 	UT	1981	2	4,873
Capitol Reef NP	CARE	National Park	Intermountain 	UT	1981	3	9,245
Capitol Reef NP	CARE	National Park	Intermountain 	UT	1981	4	41,465
Capitol Reef NP	CARE	National Park	Intermountain 	UT	1981	5	60,189
Capitol Reef NP	CARE	National Park	Intermountain 	UT	1981	6	64,536
Capitol Reef NP	CARE	National Park	Intermountain 	UT	1981	7	74,350
Capitol Reef NP	CARE	National Park	Intermountain 	UT	1981	8	55,757
Capitol Reef NP	CARE	National Park	Intermountain 	UT	1981	9	46,058
Capitol Reef NP	CARE	National Park	Intermountain 	UT	1981	10	25,615
Capitol Reef NP	CARE	National Park	Intermountain 	UT	1981	11	6,984
Capitol Reef NP	CARE	National Park	Intermountain 	UT	1981	12	3,144
Capitol Reef NP	CARE	National Park	Intermountain 	UT	1982	1	1,920
Capitol Reef NP	CARE	National Park	Intermountain 	UT	1982	2	4,459
Capitol Reef NP	CARE	National Park	Intermountain 	UT	1982	3	8,146
Capitol Reef NP	CARE	National Park	Intermountain 	UT	1982	4	28,593
Capitol Reef NP	CARE	National Park	Intermountain 	UT	1982	5	40,155
Capitol Reef NP	CARE	National Park	Intermountain 	UT	1982	6	50,694
Capitol Reef NP	CARE	National Park	Intermountain 	UT	1982	7	46,786
Capitol Reef NP	CARE	National Park	Intermountain 	UT	1982	8	42,672
Capitol Reef NP	CARE	National Park	Intermountain 	UT	1982	9	30,578
Capitol Reef NP	CARE	National Park	Intermountain 	UT	1982	10	25,046
