Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Capulin Volcano NM	CAVO	National Monument	Intermountain 	NM	1979	1	425
Capulin Volcano NM	CAVO	National Monument	Intermountain 	NM	1979	2	675
Capulin Volcano NM	CAVO	National Monument	Intermountain 	NM	1979	3	1,506
Capulin Volcano NM	CAVO	National Monument	Intermountain 	NM	1979	4	1,819
Capulin Volcano NM	CAVO	National Monument	Intermountain 	NM	1979	5	3,342
Capulin Volcano NM	CAVO	National Monument	Intermountain 	NM	1979	6	7,338
Capulin Volcano NM	CAVO	National Monument	Intermountain 	NM	1979	7	11,484
Capulin Volcano NM	CAVO	National Monument	Intermountain 	NM	1979	8	9,394
Capulin Volcano NM	CAVO	National Monument	Intermountain 	NM	1979	9	4,510
Capulin Volcano NM	CAVO	National Monument	Intermountain 	NM	1979	10	2,328
Capulin Volcano NM	CAVO	National Monument	Intermountain 	NM	1979	11	771
Capulin Volcano NM	CAVO	National Monument	Intermountain 	NM	1979	12	705
Capulin Volcano NM	CAVO	National Monument	Intermountain 	NM	1980	1	501
Capulin Volcano NM	CAVO	National Monument	Intermountain 	NM	1980	2	756
Capulin Volcano NM	CAVO	National Monument	Intermountain 	NM	1980	3	1,633
Capulin Volcano NM	CAVO	National Monument	Intermountain 	NM	1980	4	1,525
Capulin Volcano NM	CAVO	National Monument	Intermountain 	NM	1980	5	3,844
Capulin Volcano NM	CAVO	National Monument	Intermountain 	NM	1980	6	7,796
Capulin Volcano NM	CAVO	National Monument	Intermountain 	NM	1980	7	10,910
Capulin Volcano NM	CAVO	National Monument	Intermountain 	NM	1980	8	10,576
Capulin Volcano NM	CAVO	National Monument	Intermountain 	NM	1980	9	3,362
Capulin Volcano NM	CAVO	National Monument	Intermountain 	NM	1980	10	2,537
Capulin Volcano NM	CAVO	National Monument	Intermountain 	NM	1980	11	873
Capulin Volcano NM	CAVO	National Monument	Intermountain 	NM	1980	12	1,374
Capulin Volcano NM	CAVO	National Monument	Intermountain 	NM	1981	1	1,256
Capulin Volcano NM	CAVO	National Monument	Intermountain 	NM	1981	2	857
Capulin Volcano NM	CAVO	National Monument	Intermountain 	NM	1981	3	1,222
Capulin Volcano NM	CAVO	National Monument	Intermountain 	NM	1981	4	2,144
Capulin Volcano NM	CAVO	National Monument	Intermountain 	NM	1981	5	4,134
Capulin Volcano NM	CAVO	National Monument	Intermountain 	NM	1981	6	7,873
Capulin Volcano NM	CAVO	National Monument	Intermountain 	NM	1981	7	11,998
Capulin Volcano NM	CAVO	National Monument	Intermountain 	NM	1981	8	8,892
Capulin Volcano NM	CAVO	National Monument	Intermountain 	NM	1981	9	3,736
Capulin Volcano NM	CAVO	National Monument	Intermountain 	NM	1981	10	1,939
Capulin Volcano NM	CAVO	National Monument	Intermountain 	NM	1981	11	1,085
Capulin Volcano NM	CAVO	National Monument	Intermountain 	NM	1981	12	1,064
Capulin Volcano NM	CAVO	National Monument	Intermountain 	NM	1982	1	780
Capulin Volcano NM	CAVO	National Monument	Intermountain 	NM	1982	2	651
Capulin Volcano NM	CAVO	National Monument	Intermountain 	NM	1982	3	1,863
Capulin Volcano NM	CAVO	National Monument	Intermountain 	NM	1982	4	1,841
Capulin Volcano NM	CAVO	National Monument	Intermountain 	NM	1982	5	4,579
Capulin Volcano NM	CAVO	National Monument	Intermountain 	NM	1982	6	7,456
Capulin Volcano NM	CAVO	National Monument	Intermountain 	NM	1982	7	10,741
Capulin Volcano NM	CAVO	National Monument	Intermountain 	NM	1982	8	9,237
Capulin Volcano NM	CAVO	National Monument	Intermountain 	NM	1982	9	3,753
