Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Carl Sandburg Home NHS	CARL	National Historic Site	Southeast 	NC	1979	1	126
Carl Sandburg Home NHS	CARL	National Historic Site	Southeast 	NC	1979	2	147
Carl Sandburg Home NHS	CARL	National Historic Site	Southeast 	NC	1979	3	777
Carl Sandburg Home NHS	CARL	National Historic Site	Southeast 	NC	1979	4	2,777
Carl Sandburg Home NHS	CARL	National Historic Site	Southeast 	NC	1979	5	3,392
Carl Sandburg Home NHS	CARL	National Historic Site	Southeast 	NC	1979	6	3,900
Carl Sandburg Home NHS	CARL	National Historic Site	Southeast 	NC	1979	7	6,571
Carl Sandburg Home NHS	CARL	National Historic Site	Southeast 	NC	1979	8	6,305
Carl Sandburg Home NHS	CARL	National Historic Site	Southeast 	NC	1979	9	3,002
Carl Sandburg Home NHS	CARL	National Historic Site	Southeast 	NC	1979	10	5,071
Carl Sandburg Home NHS	CARL	National Historic Site	Southeast 	NC	1979	11	1,252
Carl Sandburg Home NHS	CARL	National Historic Site	Southeast 	NC	1979	12	742
Carl Sandburg Home NHS	CARL	National Historic Site	Southeast 	NC	1980	1	441
Carl Sandburg Home NHS	CARL	National Historic Site	Southeast 	NC	1980	2	611
Carl Sandburg Home NHS	CARL	National Historic Site	Southeast 	NC	1980	3	1,004
Carl Sandburg Home NHS	CARL	National Historic Site	Southeast 	NC	1980	4	2,533
Carl Sandburg Home NHS	CARL	National Historic Site	Southeast 	NC	1980	5	3,668
Carl Sandburg Home NHS	CARL	National Historic Site	Southeast 	NC	1980	6	4,641
Carl Sandburg Home NHS	CARL	National Historic Site	Southeast 	NC	1980	7	7,356
Carl Sandburg Home NHS	CARL	National Historic Site	Southeast 	NC	1980	8	7,543
Carl Sandburg Home NHS	CARL	National Historic Site	Southeast 	NC	1980	9	2,638
Carl Sandburg Home NHS	CARL	National Historic Site	Southeast 	NC	1980	10	4,784
Carl Sandburg Home NHS	CARL	National Historic Site	Southeast 	NC	1980	11	1,352
Carl Sandburg Home NHS	CARL	National Historic Site	Southeast 	NC	1980	12	589
Carl Sandburg Home NHS	CARL	National Historic Site	Southeast 	NC	1981	1	483
Carl Sandburg Home NHS	CARL	National Historic Site	Southeast 	NC	1981	2	486
Carl Sandburg Home NHS	CARL	National Historic Site	Southeast 	NC	1981	3	1,577
Carl Sandburg Home NHS	CARL	National Historic Site	Southeast 	NC	1981	4	3,765
Carl Sandburg Home NHS	CARL	National Historic Site	Southeast 	NC	1981	5	5,430
Carl Sandburg Home NHS	CARL	National Historic Site	Southeast 	NC	1981	6	6,584
Carl Sandburg Home NHS	CARL	National Historic Site	Southeast 	NC	1981	7	7,997
Carl Sandburg Home NHS	CARL	National Historic Site	Southeast 	NC	1981	8	6,726
Carl Sandburg Home NHS	CARL	National Historic Site	Southeast 	NC	1981	9	3,473
Carl Sandburg Home NHS	CARL	National Historic Site	Southeast 	NC	1981	10	5,171
Carl Sandburg Home NHS	CARL	National Historic Site	Southeast 	NC	1981	11	1,777
Carl Sandburg Home NHS	CARL	National Historic Site	Southeast 	NC	1981	12	590
Carl Sandburg Home NHS	CARL	National Historic Site	Southeast 	NC	1982	1	326
Carl Sandburg Home NHS	CARL	National Historic Site	Southeast 	NC	1982	2	693
Carl Sandburg Home NHS	CARL	National Historic Site	Southeast 	NC	1982	3	1,326
Carl Sandburg Home NHS	CARL	National Historic Site	Southeast 	NC	1982	4	3,593
Carl Sandburg Home NHS	CARL	National Historic Site	Southeast 	NC	1982	5	5,806
Carl Sandburg Home NHS	CARL	National Historic Site	Southeast 	NC	1982	6	6,111
Carl Sandburg Home NHS	CARL	National Historic Site	Southeast 	NC	1982	7	9,746
Carl Sandburg Home NHS	CARL	National Historic Site	Southeast 	NC	1982	8	8,859
Carl Sandburg Home NHS	CARL	National Historic Site	Southeast 	NC	1982	9	4,532
