Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1979	1	20,171
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1979	2	26,003
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1979	3	48,848
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1979	4	60,622
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1979	5	70,635
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1979	6	1,16,577
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1979	7	1,25,793
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1979	8	1,15,913
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1979	9	46,327
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1979	10	33,814
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1979	11	28,307
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1979	12	28,637
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1980	1	23,819
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1980	2	21,939
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1980	3	41,296
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1980	4	46,773
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1980	5	63,069
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1980	6	1,03,054
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1980	7	1,24,927
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1980	8	1,22,022
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1980	9	35,780
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1980	10	34,480
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1980	11	24,587
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1980	12	31,217
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1981	1	28,531
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1981	2	27,235
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1981	3	49,025
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1981	4	60,573
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1981	5	80,472
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1981	6	1,13,487
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1981	7	1,38,448
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1981	8	1,20,216
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1981	9	47,401
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1981	10	39,177
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1981	11	32,439
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1981	12	34,762
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1982	1	24,864
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1982	2	24,561
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1982	3	50,743
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1982	4	60,527
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1982	5	72,797
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1982	6	1,16,614
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1982	7	1,51,998
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1982	8	1,25,344
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1982	9	58,412
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1982	10	43,599
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1982	11	29,175
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1982	12	23,329
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1983	1	21,544
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1983	2	27,828
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1983	3	53,332
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1983	4	46,329
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1983	5	67,866
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1983	6	1,08,641
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1983	7	1,45,752
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1983	8	1,08,827
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1983	9	49,263
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1983	10	35,285
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1983	11	27,758
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1983	12	19,822
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1984	1	19,331
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1984	2	25,746
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1984	3	46,084
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1984	4	48,853
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1984	5	65,546
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1984	6	1,12,589
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1984	7	1,43,066
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1984	8	1,03,674
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1984	9	51,183
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1984	10	40,460
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1984	11	28,235
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1984	12	28,222
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1985	1	18,680
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1985	2	20,097
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1985	3	50,961
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1985	4	50,659
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1985	5	66,219
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1985	6	1,11,423
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1985	7	1,43,206
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1985	8	1,16,965
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1985	9	51,486
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1985	10	40,806
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1985	11	33,090
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1985	12	28,890
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1986	1	25,961
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1986	2	23,188
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1986	3	62,607
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1986	4	47,235
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1986	5	68,126
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1986	6	1,07,403
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1986	7	1,40,615
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1986	8	1,25,782
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1986	9	48,459
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1986	10	43,806
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1986	11	31,980
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1986	12	27,390
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1987	1	26,258
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1987	2	27,395
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1987	3	58,994
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1987	4	56,089
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1987	5	71,014
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1987	6	1,14,263
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1987	7	1,46,751
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1987	8	1,24,896
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1987	9	58,218
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1987	10	42,774
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1987	11	30,361
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1987	12	24,287
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1988	1	23,401
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1988	2	27,399
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1988	3	55,585
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1988	4	53,018
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1988	5	74,685
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1988	6	1,09,480
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1988	7	1,52,161
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1988	8	1,20,137
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1988	9	65,076
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1988	10	49,674
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1988	11	29,304
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1988	12	26,215
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1989	1	27,408
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1989	2	28,866
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1989	3	63,734
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1989	4	50,214
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1989	5	79,294
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1989	6	1,13,245
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1989	7	1,47,887
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1989	8	1,08,612
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1989	9	62,534
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1989	10	49,389
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1989	11	33,012
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1989	12	28,183
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1990	1	26,949
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1990	2	33,125
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1990	3	57,764
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1990	4	57,079
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1990	5	69,620
Carlsbad Caverns NP	CAVE	National Park	Intermountain 	NM	1990	6	1,12,238
