Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Carter G. Woodson Home NHS	CAWO	National Historic Site	National Capital 		2017	1	0
Carter G. Woodson Home NHS	CAWO	National Historic Site	National Capital 		2017	2	350
Carter G. Woodson Home NHS	CAWO	National Historic Site	National Capital 		2017	3	0
Carter G. Woodson Home NHS	CAWO	National Historic Site	National Capital 		2017	4	300
Carter G. Woodson Home NHS	CAWO	National Historic Site	National Capital 		2017	5	12
Carter G. Woodson Home NHS	CAWO	National Historic Site	National Capital 		2017	6	28
Carter G. Woodson Home NHS	CAWO	National Historic Site	National Capital 		2017	7	186
Carter G. Woodson Home NHS	CAWO	National Historic Site	National Capital 		2017	8	65
Carter G. Woodson Home NHS	CAWO	National Historic Site	National Capital 		2017	9	138
Carter G. Woodson Home NHS	CAWO	National Historic Site	National Capital 		2017	10	68
Carter G. Woodson Home NHS	CAWO	National Historic Site	National Capital 		2017	11	137
Carter G. Woodson Home NHS	CAWO	National Historic Site	National Capital 		2017	12	600
Carter G. Woodson Home NHS	CAWO	National Historic Site	National Capital 		2018	1	61
Carter G. Woodson Home NHS	CAWO	National Historic Site	National Capital 		2018	2	382
Carter G. Woodson Home NHS	CAWO	National Historic Site	National Capital 		2018	3	229
Carter G. Woodson Home NHS	CAWO	National Historic Site	National Capital 		2018	4	160
Carter G. Woodson Home NHS	CAWO	National Historic Site	National Capital 		2018	5	117
Carter G. Woodson Home NHS	CAWO	National Historic Site	National Capital 		2018	6	359
Carter G. Woodson Home NHS	CAWO	National Historic Site	National Capital 		2018	7	201
Carter G. Woodson Home NHS	CAWO	National Historic Site	National Capital 		2018	8	94
Carter G. Woodson Home NHS	CAWO	National Historic Site	National Capital 		2018	9	100
Carter G. Woodson Home NHS	CAWO	National Historic Site	National Capital 		2018	10	104
Carter G. Woodson Home NHS	CAWO	National Historic Site	National Capital 		2018	11	77
Carter G. Woodson Home NHS	CAWO	National Historic Site	National Capital 		2018	12	70
Carter G. Woodson Home NHS	CAWO	National Historic Site	National Capital 		2019	1	0
Carter G. Woodson Home NHS	CAWO	National Historic Site	National Capital 		2019	2	208
Carter G. Woodson Home NHS	CAWO	National Historic Site	National Capital 		2019	3	129
Carter G. Woodson Home NHS	CAWO	National Historic Site	National Capital 		2019	4	535
Carter G. Woodson Home NHS	CAWO	National Historic Site	National Capital 		2019	5	154
Carter G. Woodson Home NHS	CAWO	National Historic Site	National Capital 		2019	6	330
Carter G. Woodson Home NHS	CAWO	National Historic Site	National Capital 		2019	7	183
Carter G. Woodson Home NHS	CAWO	National Historic Site	National Capital 		2019	8	227
Carter G. Woodson Home NHS	CAWO	National Historic Site	National Capital 		2019	9	53
Carter G. Woodson Home NHS	CAWO	National Historic Site	National Capital 		2019	10	224
Carter G. Woodson Home NHS	CAWO	National Historic Site	National Capital 		2019	11	93
Carter G. Woodson Home NHS	CAWO	National Historic Site	National Capital 		2019	12	245
Carter G. Woodson Home NHS	CAWO	National Historic Site	National Capital 		2020	1	76
Carter G. Woodson Home NHS	CAWO	National Historic Site	National Capital 		2020	2	432
Carter G. Woodson Home NHS	CAWO	National Historic Site	National Capital 		2020	3	40
Carter G. Woodson Home NHS	CAWO	National Historic Site	National Capital 		2020	4	0
Carter G. Woodson Home NHS	CAWO	National Historic Site	National Capital 		2020	5	0
Carter G. Woodson Home NHS	CAWO	National Historic Site	National Capital 		2020	6	0
Carter G. Woodson Home NHS	CAWO	National Historic Site	National Capital 		2020	7	0
Carter G. Woodson Home NHS	CAWO	National Historic Site	National Capital 		2020	8	0
Carter G. Woodson Home NHS	CAWO	National Historic Site	National Capital 		2020	9	0
Carter G. Woodson Home NHS	CAWO	National Historic Site	National Capital 		2020	10	0
Carter G. Woodson Home NHS	CAWO	National Historic Site	National Capital 		2020	11	0
Carter G. Woodson Home NHS	CAWO	National Historic Site	National Capital 		2020	12	0
