Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Casa Grande Ruins NM	CAGR	National Monument	Intermountain 	AZ	1979	1	12,595
Casa Grande Ruins NM	CAGR	National Monument	Intermountain 	AZ	1979	2	16,724
Casa Grande Ruins NM	CAGR	National Monument	Intermountain 	AZ	1979	3	21,736
Casa Grande Ruins NM	CAGR	National Monument	Intermountain 	AZ	1979	4	12,821
Casa Grande Ruins NM	CAGR	National Monument	Intermountain 	AZ	1979	5	7,484
Casa Grande Ruins NM	CAGR	National Monument	Intermountain 	AZ	1979	6	5,301
Casa Grande Ruins NM	CAGR	National Monument	Intermountain 	AZ	1979	7	4,988
Casa Grande Ruins NM	CAGR	National Monument	Intermountain 	AZ	1979	8	5,339
Casa Grande Ruins NM	CAGR	National Monument	Intermountain 	AZ	1979	9	3,642
Casa Grande Ruins NM	CAGR	National Monument	Intermountain 	AZ	1979	10	5,249
Casa Grande Ruins NM	CAGR	National Monument	Intermountain 	AZ	1979	11	6,940
Casa Grande Ruins NM	CAGR	National Monument	Intermountain 	AZ	1979	12	9,663
Casa Grande Ruins NM	CAGR	National Monument	Intermountain 	AZ	1980	1	13,731
Casa Grande Ruins NM	CAGR	National Monument	Intermountain 	AZ	1980	2	14,352
Casa Grande Ruins NM	CAGR	National Monument	Intermountain 	AZ	1980	3	15,785
Casa Grande Ruins NM	CAGR	National Monument	Intermountain 	AZ	1980	4	11,646
Casa Grande Ruins NM	CAGR	National Monument	Intermountain 	AZ	1980	5	8,628
Casa Grande Ruins NM	CAGR	National Monument	Intermountain 	AZ	1980	6	5,867
Casa Grande Ruins NM	CAGR	National Monument	Intermountain 	AZ	1980	7	5,224
Casa Grande Ruins NM	CAGR	National Monument	Intermountain 	AZ	1980	8	6,061
Casa Grande Ruins NM	CAGR	National Monument	Intermountain 	AZ	1980	9	4,794
Casa Grande Ruins NM	CAGR	National Monument	Intermountain 	AZ	1980	10	6,792
Casa Grande Ruins NM	CAGR	National Monument	Intermountain 	AZ	1980	11	7,622
Casa Grande Ruins NM	CAGR	National Monument	Intermountain 	AZ	1980	12	8,700
Casa Grande Ruins NM	CAGR	National Monument	Intermountain 	AZ	1981	1	12,838
Casa Grande Ruins NM	CAGR	National Monument	Intermountain 	AZ	1981	2	16,069
Casa Grande Ruins NM	CAGR	National Monument	Intermountain 	AZ	1981	3	12,566
Casa Grande Ruins NM	CAGR	National Monument	Intermountain 	AZ	1981	4	7,923
Casa Grande Ruins NM	CAGR	National Monument	Intermountain 	AZ	1981	5	8,735
Casa Grande Ruins NM	CAGR	National Monument	Intermountain 	AZ	1981	6	5,539
Casa Grande Ruins NM	CAGR	National Monument	Intermountain 	AZ	1981	7	5,539
Casa Grande Ruins NM	CAGR	National Monument	Intermountain 	AZ	1981	8	5,052
Casa Grande Ruins NM	CAGR	National Monument	Intermountain 	AZ	1981	9	4,776
Casa Grande Ruins NM	CAGR	National Monument	Intermountain 	AZ	1981	10	7,845
Casa Grande Ruins NM	CAGR	National Monument	Intermountain 	AZ	1981	11	7,746
Casa Grande Ruins NM	CAGR	National Monument	Intermountain 	AZ	1981	12	8,140
Casa Grande Ruins NM	CAGR	National Monument	Intermountain 	AZ	1982	1	12,641
Casa Grande Ruins NM	CAGR	National Monument	Intermountain 	AZ	1982	2	17,235
Casa Grande Ruins NM	CAGR	National Monument	Intermountain 	AZ	1982	3	13,839
Casa Grande Ruins NM	CAGR	National Monument	Intermountain 	AZ	1982	4	9,297
Casa Grande Ruins NM	CAGR	National Monument	Intermountain 	AZ	1982	5	6,296
Casa Grande Ruins NM	CAGR	National Monument	Intermountain 	AZ	1982	6	5,490
Casa Grande Ruins NM	CAGR	National Monument	Intermountain 	AZ	1982	7	5,026
Casa Grande Ruins NM	CAGR	National Monument	Intermountain 	AZ	1982	8	4,794
Casa Grande Ruins NM	CAGR	National Monument	Intermountain 	AZ	1982	9	5,539
Casa Grande Ruins NM	CAGR	National Monument	Intermountain 	AZ	1982	10	7,499
Casa Grande Ruins NM	CAGR	National Monument	Intermountain 	AZ	1982	11	7,636
Casa Grande Ruins NM	CAGR	National Monument	Intermountain 	AZ	1982	12	9,898
Casa Grande Ruins NM	CAGR	National Monument	Intermountain 	AZ	1983	1	14,555
Casa Grande Ruins NM	CAGR	National Monument	Intermountain 	AZ	1983	2	19,088
Casa Grande Ruins NM	CAGR	National Monument	Intermountain 	AZ	1983	3	20,500
Casa Grande Ruins NM	CAGR	National Monument	Intermountain 	AZ	1983	4	11,751
Casa Grande Ruins NM	CAGR	National Monument	Intermountain 	AZ	1983	5	6,873
Casa Grande Ruins NM	CAGR	National Monument	Intermountain 	AZ	1983	6	5,061
Casa Grande Ruins NM	CAGR	National Monument	Intermountain 	AZ	1983	7	5,649
Casa Grande Ruins NM	CAGR	National Monument	Intermountain 	AZ	1983	8	5,922
Casa Grande Ruins NM	CAGR	National Monument	Intermountain 	AZ	1983	9	5,420
Casa Grande Ruins NM	CAGR	National Monument	Intermountain 	AZ	1983	10	6,914
Casa Grande Ruins NM	CAGR	National Monument	Intermountain 	AZ	1983	11	8,935
Casa Grande Ruins NM	CAGR	National Monument	Intermountain 	AZ	1983	12	8,561
Casa Grande Ruins NM	CAGR	National Monument	Intermountain 	AZ	1984	1	11,641
Casa Grande Ruins NM	CAGR	National Monument	Intermountain 	AZ	1984	2	21,910
Casa Grande Ruins NM	CAGR	National Monument	Intermountain 	AZ	1984	3	19,271
Casa Grande Ruins NM	CAGR	National Monument	Intermountain 	AZ	1984	4	13,723
Casa Grande Ruins NM	CAGR	National Monument	Intermountain 	AZ	1984	5	7,992
Casa Grande Ruins NM	CAGR	National Monument	Intermountain 	AZ	1984	6	6,766
Casa Grande Ruins NM	CAGR	National Monument	Intermountain 	AZ	1984	7	6,516
Casa Grande Ruins NM	CAGR	National Monument	Intermountain 	AZ	1984	8	6,867
Casa Grande Ruins NM	CAGR	National Monument	Intermountain 	AZ	1984	9	6,801
Casa Grande Ruins NM	CAGR	National Monument	Intermountain 	AZ	1984	10	9,074
Casa Grande Ruins NM	CAGR	National Monument	Intermountain 	AZ	1984	11	10,397
Casa Grande Ruins NM	CAGR	National Monument	Intermountain 	AZ	1984	12	12,722
Casa Grande Ruins NM	CAGR	National Monument	Intermountain 	AZ	1985	1	19,529
Casa Grande Ruins NM	CAGR	National Monument	Intermountain 	AZ	1985	2	23,278
Casa Grande Ruins NM	CAGR	National Monument	Intermountain 	AZ	1985	3	24,615
Casa Grande Ruins NM	CAGR	National Monument	Intermountain 	AZ	1985	4	12,775
