Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Castillo de San Marcos NM	CASA	National Monument	Southeast 	FL	1979	1	35,947
Castillo de San Marcos NM	CASA	National Monument	Southeast 	FL	1979	2	47,012
Castillo de San Marcos NM	CASA	National Monument	Southeast 	FL	1979	3	73,207
Castillo de San Marcos NM	CASA	National Monument	Southeast 	FL	1979	4	75,730
Castillo de San Marcos NM	CASA	National Monument	Southeast 	FL	1979	5	52,336
Castillo de San Marcos NM	CASA	National Monument	Southeast 	FL	1979	6	70,441
Castillo de San Marcos NM	CASA	National Monument	Southeast 	FL	1979	7	81,859
Castillo de San Marcos NM	CASA	National Monument	Southeast 	FL	1979	8	74,934
Castillo de San Marcos NM	CASA	National Monument	Southeast 	FL	1979	9	30,011
Castillo de San Marcos NM	CASA	National Monument	Southeast 	FL	1979	10	32,794
Castillo de San Marcos NM	CASA	National Monument	Southeast 	FL	1979	11	37,109
Castillo de San Marcos NM	CASA	National Monument	Southeast 	FL	1979	12	38,715
Castillo de San Marcos NM	CASA	National Monument	Southeast 	FL	1980	1	33,114
Castillo de San Marcos NM	CASA	National Monument	Southeast 	FL	1980	2	44,064
Castillo de San Marcos NM	CASA	National Monument	Southeast 	FL	1980	3	61,301
Castillo de San Marcos NM	CASA	National Monument	Southeast 	FL	1980	4	67,851
Castillo de San Marcos NM	CASA	National Monument	Southeast 	FL	1980	5	51,142
Castillo de San Marcos NM	CASA	National Monument	Southeast 	FL	1980	6	68,312
Castillo de San Marcos NM	CASA	National Monument	Southeast 	FL	1980	7	76,810
Castillo de San Marcos NM	CASA	National Monument	Southeast 	FL	1980	8	69,265
Castillo de San Marcos NM	CASA	National Monument	Southeast 	FL	1980	9	28,448
Castillo de San Marcos NM	CASA	National Monument	Southeast 	FL	1980	10	32,650
Castillo de San Marcos NM	CASA	National Monument	Southeast 	FL	1980	11	36,727
Castillo de San Marcos NM	CASA	National Monument	Southeast 	FL	1980	12	39,826
Castillo de San Marcos NM	CASA	National Monument	Southeast 	FL	1981	1	36,180
Castillo de San Marcos NM	CASA	National Monument	Southeast 	FL	1981	2	44,109
Castillo de San Marcos NM	CASA	National Monument	Southeast 	FL	1981	3	65,422
Castillo de San Marcos NM	CASA	National Monument	Southeast 	FL	1981	4	72,826
Castillo de San Marcos NM	CASA	National Monument	Southeast 	FL	1981	5	58,200
Castillo de San Marcos NM	CASA	National Monument	Southeast 	FL	1981	6	71,399
Castillo de San Marcos NM	CASA	National Monument	Southeast 	FL	1981	7	84,996
Castillo de San Marcos NM	CASA	National Monument	Southeast 	FL	1981	8	76,245
Castillo de San Marcos NM	CASA	National Monument	Southeast 	FL	1981	9	35,814
Castillo de San Marcos NM	CASA	National Monument	Southeast 	FL	1981	10	37,144
Castillo de San Marcos NM	CASA	National Monument	Southeast 	FL	1981	11	36,539
Castillo de San Marcos NM	CASA	National Monument	Southeast 	FL	1981	12	35,138
Castillo de San Marcos NM	CASA	National Monument	Southeast 	FL	1982	1	34,006
Castillo de San Marcos NM	CASA	National Monument	Southeast 	FL	1982	2	44,993
Castillo de San Marcos NM	CASA	National Monument	Southeast 	FL	1982	3	64,700
Castillo de San Marcos NM	CASA	National Monument	Southeast 	FL	1982	4	73,868
Castillo de San Marcos NM	CASA	National Monument	Southeast 	FL	1982	5	56,006
Castillo de San Marcos NM	CASA	National Monument	Southeast 	FL	1982	6	70,268
Castillo de San Marcos NM	CASA	National Monument	Southeast 	FL	1982	7	89,228
Castillo de San Marcos NM	CASA	National Monument	Southeast 	FL	1982	8	73,927
Castillo de San Marcos NM	CASA	National Monument	Southeast 	FL	1982	9	35,044
Castillo de San Marcos NM	CASA	National Monument	Southeast 	FL	1982	10	37,105
Castillo de San Marcos NM	CASA	National Monument	Southeast 	FL	1982	11	37,814
Castillo de San Marcos NM	CASA	National Monument	Southeast 	FL	1982	12	42,729
Castillo de San Marcos NM	CASA	National Monument	Southeast 	FL	1983	1	35,102
Castillo de San Marcos NM	CASA	National Monument	Southeast 	FL	1983	2	46,703
Castillo de San Marcos NM	CASA	National Monument	Southeast 	FL	1983	3	73,014
Castillo de San Marcos NM	CASA	National Monument	Southeast 	FL	1983	4	71,236
Castillo de San Marcos NM	CASA	National Monument	Southeast 	FL	1983	5	58,620
Castillo de San Marcos NM	CASA	National Monument	Southeast 	FL	1983	6	79,043
Castillo de San Marcos NM	CASA	National Monument	Southeast 	FL	1983	7	90,036
Castillo de San Marcos NM	CASA	National Monument	Southeast 	FL	1983	8	68,629
Castillo de San Marcos NM	CASA	National Monument	Southeast 	FL	1983	9	34,368
Castillo de San Marcos NM	CASA	National Monument	Southeast 	FL	1983	10	42,089
Castillo de San Marcos NM	CASA	National Monument	Southeast 	FL	1983	11	40,648
