Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Castle Clinton NM	CACL	National Monument	Northeast 	NY	1979	1	1,509
Castle Clinton NM	CACL	National Monument	Northeast 	NY	1979	2	1,178
Castle Clinton NM	CACL	National Monument	Northeast 	NY	1979	3	8,253
Castle Clinton NM	CACL	National Monument	Northeast 	NY	1979	4	10,234
Castle Clinton NM	CACL	National Monument	Northeast 	NY	1979	5	15,763
Castle Clinton NM	CACL	National Monument	Northeast 	NY	1979	6	33,413
Castle Clinton NM	CACL	National Monument	Northeast 	NY	1979	7	60,216
Castle Clinton NM	CACL	National Monument	Northeast 	NY	1979	8	18,973
Castle Clinton NM	CACL	National Monument	Northeast 	NY	1979	9	39,033
Castle Clinton NM	CACL	National Monument	Northeast 	NY	1979	10	20,647
Castle Clinton NM	CACL	National Monument	Northeast 	NY	1979	11	6,390
Castle Clinton NM	CACL	National Monument	Northeast 	NY	1979	12	1,387
Castle Clinton NM	CACL	National Monument	Northeast 	NY	1980	1	0
Castle Clinton NM	CACL	National Monument	Northeast 	NY	1980	2	0
Castle Clinton NM	CACL	National Monument	Northeast 	NY	1980	3	1,965
Castle Clinton NM	CACL	National Monument	Northeast 	NY	1980	4	9,263
Castle Clinton NM	CACL	National Monument	Northeast 	NY	1980	5	24,854
Castle Clinton NM	CACL	National Monument	Northeast 	NY	1980	6	29,590
Castle Clinton NM	CACL	National Monument	Northeast 	NY	1980	7	49,945
Castle Clinton NM	CACL	National Monument	Northeast 	NY	1980	8	28,842
Castle Clinton NM	CACL	National Monument	Northeast 	NY	1980	9	6,637
Castle Clinton NM	CACL	National Monument	Northeast 	NY	1980	10	8,196
Castle Clinton NM	CACL	National Monument	Northeast 	NY	1980	11	3,195
Castle Clinton NM	CACL	National Monument	Northeast 	NY	1980	12	1,997
Castle Clinton NM	CACL	National Monument	Northeast 	NY	1981	1	0
Castle Clinton NM	CACL	National Monument	Northeast 	NY	1981	2	0
Castle Clinton NM	CACL	National Monument	Northeast 	NY	1981	3	3,222
Castle Clinton NM	CACL	National Monument	Northeast 	NY	1981	4	11,683
Castle Clinton NM	CACL	National Monument	Northeast 	NY	1981	5	16,351
Castle Clinton NM	CACL	National Monument	Northeast 	NY	1981	6	12,850
Castle Clinton NM	CACL	National Monument	Northeast 	NY	1981	7	16,837
Castle Clinton NM	CACL	National Monument	Northeast 	NY	1981	8	22,593
Castle Clinton NM	CACL	National Monument	Northeast 	NY	1981	9	14,078
Castle Clinton NM	CACL	National Monument	Northeast 	NY	1981	10	7,467
Castle Clinton NM	CACL	National Monument	Northeast 	NY	1981	11	6,120
Castle Clinton NM	CACL	National Monument	Northeast 	NY	1981	12	2,123
Castle Clinton NM	CACL	National Monument	Northeast 	NY	1982	1	0
Castle Clinton NM	CACL	National Monument	Northeast 	NY	1982	2	0
Castle Clinton NM	CACL	National Monument	Northeast 	NY	1982	3	0
