Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Catoctin Mountain Park	CATO	Park (Other)	National Capital 	MD	1979	1	18,865
Catoctin Mountain Park	CATO	Park (Other)	National Capital 	MD	1979	2	24,094
Catoctin Mountain Park	CATO	Park (Other)	National Capital 	MD	1979	3	25,998
Catoctin Mountain Park	CATO	Park (Other)	National Capital 	MD	1979	4	33,422
Catoctin Mountain Park	CATO	Park (Other)	National Capital 	MD	1979	5	37,219
Catoctin Mountain Park	CATO	Park (Other)	National Capital 	MD	1979	6	34,654
Catoctin Mountain Park	CATO	Park (Other)	National Capital 	MD	1979	7	47,863
Catoctin Mountain Park	CATO	Park (Other)	National Capital 	MD	1979	8	50,820
Catoctin Mountain Park	CATO	Park (Other)	National Capital 	MD	1979	9	58,748
Catoctin Mountain Park	CATO	Park (Other)	National Capital 	MD	1979	10	56,136
Catoctin Mountain Park	CATO	Park (Other)	National Capital 	MD	1979	11	28,595
Catoctin Mountain Park	CATO	Park (Other)	National Capital 	MD	1979	12	15,127
Catoctin Mountain Park	CATO	Park (Other)	National Capital 	MD	1980	1	15,715
Catoctin Mountain Park	CATO	Park (Other)	National Capital 	MD	1980	2	21,630
Catoctin Mountain Park	CATO	Park (Other)	National Capital 	MD	1980	3	21,312
Catoctin Mountain Park	CATO	Park (Other)	National Capital 	MD	1980	4	30,653
Catoctin Mountain Park	CATO	Park (Other)	National Capital 	MD	1980	5	41,808
Catoctin Mountain Park	CATO	Park (Other)	National Capital 	MD	1980	6	47,950
Catoctin Mountain Park	CATO	Park (Other)	National Capital 	MD	1980	7	54,215
Catoctin Mountain Park	CATO	Park (Other)	National Capital 	MD	1980	8	40,740
Catoctin Mountain Park	CATO	Park (Other)	National Capital 	MD	1980	9	22,897
Catoctin Mountain Park	CATO	Park (Other)	National Capital 	MD	1980	10	48,559
Catoctin Mountain Park	CATO	Park (Other)	National Capital 	MD	1980	11	31,675
Catoctin Mountain Park	CATO	Park (Other)	National Capital 	MD	1980	12	22,862
Catoctin Mountain Park	CATO	Park (Other)	National Capital 	MD	1981	1	19,082
Catoctin Mountain Park	CATO	Park (Other)	National Capital 	MD	1981	2	20,272
Catoctin Mountain Park	CATO	Park (Other)	National Capital 	MD	1981	3	23,611
Catoctin Mountain Park	CATO	Park (Other)	National Capital 	MD	1981	4	29,642
Catoctin Mountain Park	CATO	Park (Other)	National Capital 	MD	1981	5	33,961
Catoctin Mountain Park	CATO	Park (Other)	National Capital 	MD	1981	6	31,892
Catoctin Mountain Park	CATO	Park (Other)	National Capital 	MD	1981	7	40,558
Catoctin Mountain Park	CATO	Park (Other)	National Capital 	MD	1981	8	51,034
Catoctin Mountain Park	CATO	Park (Other)	National Capital 	MD	1981	9	29,278
Catoctin Mountain Park	CATO	Park (Other)	National Capital 	MD	1981	10	40,103
Catoctin Mountain Park	CATO	Park (Other)	National Capital 	MD	1981	11	18,925
Catoctin Mountain Park	CATO	Park (Other)	National Capital 	MD	1981	12	19,327
Catoctin Mountain Park	CATO	Park (Other)	National Capital 	MD	1982	1	16,583
Catoctin Mountain Park	CATO	Park (Other)	National Capital 	MD	1982	2	17,962
Catoctin Mountain Park	CATO	Park (Other)	National Capital 	MD	1982	3	29,606
Catoctin Mountain Park	CATO	Park (Other)	National Capital 	MD	1982	4	34,566
Catoctin Mountain Park	CATO	Park (Other)	National Capital 	MD	1982	5	40,995
Catoctin Mountain Park	CATO	Park (Other)	National Capital 	MD	1982	6	46,032
Catoctin Mountain Park	CATO	Park (Other)	National Capital 	MD	1982	7	61,754
Catoctin Mountain Park	CATO	Park (Other)	National Capital 	MD	1982	8	66,090
Catoctin Mountain Park	CATO	Park (Other)	National Capital 	MD	1982	9	54,274
Catoctin Mountain Park	CATO	Park (Other)	National Capital 	MD	1982	10	70,360
Catoctin Mountain Park	CATO	Park (Other)	National Capital 	MD	1982	11	36,718
Catoctin Mountain Park	CATO	Park (Other)	National Capital 	MD	1982	12	27,202
Catoctin Mountain Park	CATO	Park (Other)	National Capital 	MD	1983	1	21,588
Catoctin Mountain Park	CATO	Park (Other)	National Capital 	MD	1983	2	20,790
Catoctin Mountain Park	CATO	Park (Other)	National Capital 	MD	1983	3	33,477
Catoctin Mountain Park	CATO	Park (Other)	National Capital 	MD	1983	4	32,613
Catoctin Mountain Park	CATO	Park (Other)	National Capital 	MD	1983	5	52,966
Catoctin Mountain Park	CATO	Park (Other)	National Capital 	MD	1983	6	55,101
Catoctin Mountain Park	CATO	Park (Other)	National Capital 	MD	1983	7	68,936
Catoctin Mountain Park	CATO	Park (Other)	National Capital 	MD	1983	8	67,862
Catoctin Mountain Park	CATO	Park (Other)	National Capital 	MD	1983	9	39,291
Catoctin Mountain Park	CATO	Park (Other)	National Capital 	MD	1983	10	62,909
Catoctin Mountain Park	CATO	Park (Other)	National Capital 	MD	1983	11	37,061
Catoctin Mountain Park	CATO	Park (Other)	National Capital 	MD	1983	12	26,345
Catoctin Mountain Park	CATO	Park (Other)	National Capital 	MD	1984	1	19,282
Catoctin Mountain Park	CATO	Park (Other)	National Capital 	MD	1984	2	26,299
Catoctin Mountain Park	CATO	Park (Other)	National Capital 	MD	1984	3	29,855
Catoctin Mountain Park	CATO	Park (Other)	National Capital 	MD	1984	4	40,898
Catoctin Mountain Park	CATO	Park (Other)	National Capital 	MD	1984	5	50,022
Catoctin Mountain Park	CATO	Park (Other)	National Capital 	MD	1984	6	31,059
Catoctin Mountain Park	CATO	Park (Other)	National Capital 	MD	1984	7	58,363
Catoctin Mountain Park	CATO	Park (Other)	National Capital 	MD	1984	8	69,846
Catoctin Mountain Park	CATO	Park (Other)	National Capital 	MD	1984	9	62,657
Catoctin Mountain Park	CATO	Park (Other)	National Capital 	MD	1984	10	77,385
Catoctin Mountain Park	CATO	Park (Other)	National Capital 	MD	1984	11	36,610
Catoctin Mountain Park	CATO	Park (Other)	National Capital 	MD	1984	12	28,938
Catoctin Mountain Park	CATO	Park (Other)	National Capital 	MD	1985	1	22,103
Catoctin Mountain Park	CATO	Park (Other)	National Capital 	MD	1985	2	27,451
Catoctin Mountain Park	CATO	Park (Other)	National Capital 	MD	1985	3	41,003
Catoctin Mountain Park	CATO	Park (Other)	National Capital 	MD	1985	4	45,315
Catoctin Mountain Park	CATO	Park (Other)	National Capital 	MD	1985	5	59,532
Catoctin Mountain Park	CATO	Park (Other)	National Capital 	MD	1985	6	58,811
Catoctin Mountain Park	CATO	Park (Other)	National Capital 	MD	1985	7	70,301
Catoctin Mountain Park	CATO	Park (Other)	National Capital 	MD	1985	8	58,643
Catoctin Mountain Park	CATO	Park (Other)	National Capital 	MD	1985	9	69,878
