Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Cedar Breaks NM	CEBR	National Monument	Intermountain 	UT	1979	1	180
Cedar Breaks NM	CEBR	National Monument	Intermountain 	UT	1979	2	480
Cedar Breaks NM	CEBR	National Monument	Intermountain 	UT	1979	3	702
Cedar Breaks NM	CEBR	National Monument	Intermountain 	UT	1979	4	650
Cedar Breaks NM	CEBR	National Monument	Intermountain 	UT	1979	5	2,083
Cedar Breaks NM	CEBR	National Monument	Intermountain 	UT	1979	6	46,421
Cedar Breaks NM	CEBR	National Monument	Intermountain 	UT	1979	7	68,635
Cedar Breaks NM	CEBR	National Monument	Intermountain 	UT	1979	8	1,12,082
Cedar Breaks NM	CEBR	National Monument	Intermountain 	UT	1979	9	84,659
Cedar Breaks NM	CEBR	National Monument	Intermountain 	UT	1979	10	45,616
Cedar Breaks NM	CEBR	National Monument	Intermountain 	UT	1979	11	195
Cedar Breaks NM	CEBR	National Monument	Intermountain 	UT	1979	12	475
Cedar Breaks NM	CEBR	National Monument	Intermountain 	UT	1980	1	256
Cedar Breaks NM	CEBR	National Monument	Intermountain 	UT	1980	2	447
Cedar Breaks NM	CEBR	National Monument	Intermountain 	UT	1980	3	286
Cedar Breaks NM	CEBR	National Monument	Intermountain 	UT	1980	4	204
Cedar Breaks NM	CEBR	National Monument	Intermountain 	UT	1980	5	166
Cedar Breaks NM	CEBR	National Monument	Intermountain 	UT	1980	6	60,648
Cedar Breaks NM	CEBR	National Monument	Intermountain 	UT	1980	7	1,14,653
Cedar Breaks NM	CEBR	National Monument	Intermountain 	UT	1980	8	1,17,501
Cedar Breaks NM	CEBR	National Monument	Intermountain 	UT	1980	9	64,232
Cedar Breaks NM	CEBR	National Monument	Intermountain 	UT	1980	10	37,304
Cedar Breaks NM	CEBR	National Monument	Intermountain 	UT	1980	11	6,595
Cedar Breaks NM	CEBR	National Monument	Intermountain 	UT	1980	12	2,131
Cedar Breaks NM	CEBR	National Monument	Intermountain 	UT	1981	1	1,662
Cedar Breaks NM	CEBR	National Monument	Intermountain 	UT	1981	2	907
Cedar Breaks NM	CEBR	National Monument	Intermountain 	UT	1981	3	1,012
Cedar Breaks NM	CEBR	National Monument	Intermountain 	UT	1981	4	826
Cedar Breaks NM	CEBR	National Monument	Intermountain 	UT	1981	5	2,623
Cedar Breaks NM	CEBR	National Monument	Intermountain 	UT	1981	6	63,236
Cedar Breaks NM	CEBR	National Monument	Intermountain 	UT	1981	7	1,06,399
Cedar Breaks NM	CEBR	National Monument	Intermountain 	UT	1981	8	1,03,502
Cedar Breaks NM	CEBR	National Monument	Intermountain 	UT	1981	9	67,572
Cedar Breaks NM	CEBR	National Monument	Intermountain 	UT	1981	10	39,914
Cedar Breaks NM	CEBR	National Monument	Intermountain 	UT	1981	11	7,969
Cedar Breaks NM	CEBR	National Monument	Intermountain 	UT	1981	12	7,058
Cedar Breaks NM	CEBR	National Monument	Intermountain 	UT	1982	1	3,096
Cedar Breaks NM	CEBR	National Monument	Intermountain 	UT	1982	2	2,643
Cedar Breaks NM	CEBR	National Monument	Intermountain 	UT	1982	3	1,286
Cedar Breaks NM	CEBR	National Monument	Intermountain 	UT	1982	4	787
Cedar Breaks NM	CEBR	National Monument	Intermountain 	UT	1982	5	557
Cedar Breaks NM	CEBR	National Monument	Intermountain 	UT	1982	6	58,751
Cedar Breaks NM	CEBR	National Monument	Intermountain 	UT	1982	7	1,03,700
Cedar Breaks NM	CEBR	National Monument	Intermountain 	UT	1982	8	1,01,557
Cedar Breaks NM	CEBR	National Monument	Intermountain 	UT	1982	9	56,961
