Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Cesar E. Chavez NM	CECH	National Monument	Pacific West 		2013	1	526
Cesar E. Chavez NM	CECH	National Monument	Pacific West 		2013	2	461
Cesar E. Chavez NM	CECH	National Monument	Pacific West 		2013	3	644
Cesar E. Chavez NM	CECH	National Monument	Pacific West 		2013	4	1,804
Cesar E. Chavez NM	CECH	National Monument	Pacific West 		2013	5	627
Cesar E. Chavez NM	CECH	National Monument	Pacific West 		2013	6	845
Cesar E. Chavez NM	CECH	National Monument	Pacific West 		2013	7	820
Cesar E. Chavez NM	CECH	National Monument	Pacific West 		2013	8	815
Cesar E. Chavez NM	CECH	National Monument	Pacific West 		2013	9	605
Cesar E. Chavez NM	CECH	National Monument	Pacific West 		2013	10	171
Cesar E. Chavez NM	CECH	National Monument	Pacific West 		2013	11	456
Cesar E. Chavez NM	CECH	National Monument	Pacific West 		2013	12	383
Cesar E. Chavez NM	CECH	National Monument	Pacific West 		2014	1	448
Cesar E. Chavez NM	CECH	National Monument	Pacific West 		2014	2	445
Cesar E. Chavez NM	CECH	National Monument	Pacific West 		2014	3	3,046
Cesar E. Chavez NM	CECH	National Monument	Pacific West 		2014	4	877
Cesar E. Chavez NM	CECH	National Monument	Pacific West 		2014	5	804
Cesar E. Chavez NM	CECH	National Monument	Pacific West 		2014	6	504
Cesar E. Chavez NM	CECH	National Monument	Pacific West 		2014	7	354
Cesar E. Chavez NM	CECH	National Monument	Pacific West 		2014	8	444
Cesar E. Chavez NM	CECH	National Monument	Pacific West 		2014	9	477
Cesar E. Chavez NM	CECH	National Monument	Pacific West 		2014	10	532
Cesar E. Chavez NM	CECH	National Monument	Pacific West 		2014	11	404
Cesar E. Chavez NM	CECH	National Monument	Pacific West 		2014	12	519
Cesar E. Chavez NM	CECH	National Monument	Pacific West 		2015	1	520
Cesar E. Chavez NM	CECH	National Monument	Pacific West 		2015	2	496
Cesar E. Chavez NM	CECH	National Monument	Pacific West 		2015	3	845
Cesar E. Chavez NM	CECH	National Monument	Pacific West 		2015	4	1,766
Cesar E. Chavez NM	CECH	National Monument	Pacific West 		2015	5	1,031
Cesar E. Chavez NM	CECH	National Monument	Pacific West 		2015	6	950
Cesar E. Chavez NM	CECH	National Monument	Pacific West 		2015	7	989
Cesar E. Chavez NM	CECH	National Monument	Pacific West 		2015	8	865
Cesar E. Chavez NM	CECH	National Monument	Pacific West 		2015	9	902
Cesar E. Chavez NM	CECH	National Monument	Pacific West 		2015	10	819
Cesar E. Chavez NM	CECH	National Monument	Pacific West 		2015	11	695
