Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Chaco Culture NHP	CHCU	National Historical Park	Intermountain 	NM	1979	1	1,008
Chaco Culture NHP	CHCU	National Historical Park	Intermountain 	NM	1979	2	560
Chaco Culture NHP	CHCU	National Historical Park	Intermountain 	NM	1979	3	2,994
Chaco Culture NHP	CHCU	National Historical Park	Intermountain 	NM	1979	4	5,685
Chaco Culture NHP	CHCU	National Historical Park	Intermountain 	NM	1979	5	5,514
Chaco Culture NHP	CHCU	National Historical Park	Intermountain 	NM	1979	6	7,341
Chaco Culture NHP	CHCU	National Historical Park	Intermountain 	NM	1979	7	6,299
Chaco Culture NHP	CHCU	National Historical Park	Intermountain 	NM	1979	8	5,731
Chaco Culture NHP	CHCU	National Historical Park	Intermountain 	NM	1979	9	3,554
Chaco Culture NHP	CHCU	National Historical Park	Intermountain 	NM	1979	10	2,295
Chaco Culture NHP	CHCU	National Historical Park	Intermountain 	NM	1979	11	1,685
Chaco Culture NHP	CHCU	National Historical Park	Intermountain 	NM	1979	12	6,144
Chaco Culture NHP	CHCU	National Historical Park	Intermountain 	NM	1980	1	678
Chaco Culture NHP	CHCU	National Historical Park	Intermountain 	NM	1980	2	1,958
Chaco Culture NHP	CHCU	National Historical Park	Intermountain 	NM	1980	3	2,366
Chaco Culture NHP	CHCU	National Historical Park	Intermountain 	NM	1980	4	2,530
Chaco Culture NHP	CHCU	National Historical Park	Intermountain 	NM	1980	5	7,034
Chaco Culture NHP	CHCU	National Historical Park	Intermountain 	NM	1980	6	8,220
Chaco Culture NHP	CHCU	National Historical Park	Intermountain 	NM	1980	7	7,392
Chaco Culture NHP	CHCU	National Historical Park	Intermountain 	NM	1980	8	9,187
Chaco Culture NHP	CHCU	National Historical Park	Intermountain 	NM	1980	9	5,559
Chaco Culture NHP	CHCU	National Historical Park	Intermountain 	NM	1980	10	2,585
Chaco Culture NHP	CHCU	National Historical Park	Intermountain 	NM	1980	11	1,594
Chaco Culture NHP	CHCU	National Historical Park	Intermountain 	NM	1980	12	2,549
Chaco Culture NHP	CHCU	National Historical Park	Intermountain 	NM	1981	1	2,627
Chaco Culture NHP	CHCU	National Historical Park	Intermountain 	NM	1981	2	2,751
Chaco Culture NHP	CHCU	National Historical Park	Intermountain 	NM	1981	3	3,757
Chaco Culture NHP	CHCU	National Historical Park	Intermountain 	NM	1981	4	5,047
Chaco Culture NHP	CHCU	National Historical Park	Intermountain 	NM	1981	5	10,039
Chaco Culture NHP	CHCU	National Historical Park	Intermountain 	NM	1981	6	9,646
Chaco Culture NHP	CHCU	National Historical Park	Intermountain 	NM	1981	7	8,888
Chaco Culture NHP	CHCU	National Historical Park	Intermountain 	NM	1981	8	10,873
Chaco Culture NHP	CHCU	National Historical Park	Intermountain 	NM	1981	9	7,514
Chaco Culture NHP	CHCU	National Historical Park	Intermountain 	NM	1981	10	5,932
Chaco Culture NHP	CHCU	National Historical Park	Intermountain 	NM	1981	11	2,990
Chaco Culture NHP	CHCU	National Historical Park	Intermountain 	NM	1981	12	3,335
Chaco Culture NHP	CHCU	National Historical Park	Intermountain 	NM	1982	1	1,398
Chaco Culture NHP	CHCU	National Historical Park	Intermountain 	NM	1982	2	1,469
Chaco Culture NHP	CHCU	National Historical Park	Intermountain 	NM	1982	3	3,804
Chaco Culture NHP	CHCU	National Historical Park	Intermountain 	NM	1982	4	5,716
Chaco Culture NHP	CHCU	National Historical Park	Intermountain 	NM	1982	5	8,359
Chaco Culture NHP	CHCU	National Historical Park	Intermountain 	NM	1982	6	10,486
Chaco Culture NHP	CHCU	National Historical Park	Intermountain 	NM	1982	7	11,060
Chaco Culture NHP	CHCU	National Historical Park	Intermountain 	NM	1982	8	7,171
Chaco Culture NHP	CHCU	National Historical Park	Intermountain 	NM	1982	9	7,840
Chaco Culture NHP	CHCU	National Historical Park	Intermountain 	NM	1982	10	11,691
Chaco Culture NHP	CHCU	National Historical Park	Intermountain 	NM	1982	11	2,580
Chaco Culture NHP	CHCU	National Historical Park	Intermountain 	NM	1982	12	1,300
Chaco Culture NHP	CHCU	National Historical Park	Intermountain 	NM	1983	1	738
Chaco Culture NHP	CHCU	National Historical Park	Intermountain 	NM	1983	2	840
Chaco Culture NHP	CHCU	National Historical Park	Intermountain 	NM	1983	3	3,016
Chaco Culture NHP	CHCU	National Historical Park	Intermountain 	NM	1983	4	4,342
Chaco Culture NHP	CHCU	National Historical Park	Intermountain 	NM	1983	5	9,814
Chaco Culture NHP	CHCU	National Historical Park	Intermountain 	NM	1983	6	12,002
Chaco Culture NHP	CHCU	National Historical Park	Intermountain 	NM	1983	7	11,166
Chaco Culture NHP	CHCU	National Historical Park	Intermountain 	NM	1983	8	11,196
Chaco Culture NHP	CHCU	National Historical Park	Intermountain 	NM	1983	9	9,268
Chaco Culture NHP	CHCU	National Historical Park	Intermountain 	NM	1983	10	5,905
Chaco Culture NHP	CHCU	National Historical Park	Intermountain 	NM	1983	11	2,035
Chaco Culture NHP	CHCU	National Historical Park	Intermountain 	NM	1983	12	1,098
Chaco Culture NHP	CHCU	National Historical Park	Intermountain 	NM	1984	1	1,240
Chaco Culture NHP	CHCU	National Historical Park	Intermountain 	NM	1984	2	1,524
Chaco Culture NHP	CHCU	National Historical Park	Intermountain 	NM	1984	3	5,722
Chaco Culture NHP	CHCU	National Historical Park	Intermountain 	NM	1984	4	6,233
Chaco Culture NHP	CHCU	National Historical Park	Intermountain 	NM	1984	5	12,270
Chaco Culture NHP	CHCU	National Historical Park	Intermountain 	NM	1984	6	10,715
Chaco Culture NHP	CHCU	National Historical Park	Intermountain 	NM	1984	7	8,627
Chaco Culture NHP	CHCU	National Historical Park	Intermountain 	NM	1984	8	8,239
Chaco Culture NHP	CHCU	National Historical Park	Intermountain 	NM	1984	9	5,071
Chaco Culture NHP	CHCU	National Historical Park	Intermountain 	NM	1984	10	3,026
Chaco Culture NHP	CHCU	National Historical Park	Intermountain 	NM	1984	11	2,387
Chaco Culture NHP	CHCU	National Historical Park	Intermountain 	NM	1984	12	945
Chaco Culture NHP	CHCU	National Historical Park	Intermountain 	NM	1985	1	1,093
Chaco Culture NHP	CHCU	National Historical Park	Intermountain 	NM	1985	2	1,012
Chaco Culture NHP	CHCU	National Historical Park	Intermountain 	NM	1985	3	2,786
Chaco Culture NHP	CHCU	National Historical Park	Intermountain 	NM	1985	4	3,883
Chaco Culture NHP	CHCU	National Historical Park	Intermountain 	NM	1985	5	6,003
Chaco Culture NHP	CHCU	National Historical Park	Intermountain 	NM	1985	6	5,236
Chaco Culture NHP	CHCU	National Historical Park	Intermountain 	NM	1985	7	5,721
Chaco Culture NHP	CHCU	National Historical Park	Intermountain 	NM	1985	8	5,772
Chaco Culture NHP	CHCU	National Historical Park	Intermountain 	NM	1985	9	3,857
Chaco Culture NHP	CHCU	National Historical Park	Intermountain 	NM	1985	10	3,878
Chaco Culture NHP	CHCU	National Historical Park	Intermountain 	NM	1985	11	2,098
Chaco Culture NHP	CHCU	National Historical Park	Intermountain 	NM	1985	12	1,794
Chaco Culture NHP	CHCU	National Historical Park	Intermountain 	NM	1986	1	2,022
Chaco Culture NHP	CHCU	National Historical Park	Intermountain 	NM	1986	2	1,594
Chaco Culture NHP	CHCU	National Historical Park	Intermountain 	NM	1986	3	4,411
Chaco Culture NHP	CHCU	National Historical Park	Intermountain 	NM	1986	4	4,370
Chaco Culture NHP	CHCU	National Historical Park	Intermountain 	NM	1986	5	6,313
Chaco Culture NHP	CHCU	National Historical Park	Intermountain 	NM	1986	6	5,918
Chaco Culture NHP	CHCU	National Historical Park	Intermountain 	NM	1986	7	6,199
Chaco Culture NHP	CHCU	National Historical Park	Intermountain 	NM	1986	8	6,700
Chaco Culture NHP	CHCU	National Historical Park	Intermountain 	NM	1986	9	4,706
Chaco Culture NHP	CHCU	National Historical Park	Intermountain 	NM	1986	10	3,778
Chaco Culture NHP	CHCU	National Historical Park	Intermountain 	NM	1986	11	2,001
Chaco Culture NHP	CHCU	National Historical Park	Intermountain 	NM	1986	12	1,461
Chaco Culture NHP	CHCU	National Historical Park	Intermountain 	NM	1987	1	1,277
