Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Chamizal NMEM	CHAM	National Memorial	Intermountain 	TX	1979	1	2,744
Chamizal NMEM	CHAM	National Memorial	Intermountain 	TX	1979	2	10,030
Chamizal NMEM	CHAM	National Memorial	Intermountain 	TX	1979	3	11,079
Chamizal NMEM	CHAM	National Memorial	Intermountain 	TX	1979	4	16,311
Chamizal NMEM	CHAM	National Memorial	Intermountain 	TX	1979	5	6,679
Chamizal NMEM	CHAM	National Memorial	Intermountain 	TX	1979	6	6,263
Chamizal NMEM	CHAM	National Memorial	Intermountain 	TX	1979	7	18,650
Chamizal NMEM	CHAM	National Memorial	Intermountain 	TX	1979	8	1,708
Chamizal NMEM	CHAM	National Memorial	Intermountain 	TX	1979	9	2,355
Chamizal NMEM	CHAM	National Memorial	Intermountain 	TX	1979	10	21,732
Chamizal NMEM	CHAM	National Memorial	Intermountain 	TX	1979	11	8,560
Chamizal NMEM	CHAM	National Memorial	Intermountain 	TX	1979	12	5,018
Chamizal NMEM	CHAM	National Memorial	Intermountain 	TX	1980	1	3,045
Chamizal NMEM	CHAM	National Memorial	Intermountain 	TX	1980	2	2,335
Chamizal NMEM	CHAM	National Memorial	Intermountain 	TX	1980	3	8,791
Chamizal NMEM	CHAM	National Memorial	Intermountain 	TX	1980	4	7,222
Chamizal NMEM	CHAM	National Memorial	Intermountain 	TX	1980	5	7,208
Chamizal NMEM	CHAM	National Memorial	Intermountain 	TX	1980	6	6,042
Chamizal NMEM	CHAM	National Memorial	Intermountain 	TX	1980	7	10,267
Chamizal NMEM	CHAM	National Memorial	Intermountain 	TX	1980	8	1,707
Chamizal NMEM	CHAM	National Memorial	Intermountain 	TX	1980	9	2,641
Chamizal NMEM	CHAM	National Memorial	Intermountain 	TX	1980	10	23,113
Chamizal NMEM	CHAM	National Memorial	Intermountain 	TX	1980	11	2,681
Chamizal NMEM	CHAM	National Memorial	Intermountain 	TX	1980	12	3,303
Chamizal NMEM	CHAM	National Memorial	Intermountain 	TX	1981	1	3,572
Chamizal NMEM	CHAM	National Memorial	Intermountain 	TX	1981	2	9,744
Chamizal NMEM	CHAM	National Memorial	Intermountain 	TX	1981	3	7,921
Chamizal NMEM	CHAM	National Memorial	Intermountain 	TX	1981	4	6,241
Chamizal NMEM	CHAM	National Memorial	Intermountain 	TX	1981	5	8,775
Chamizal NMEM	CHAM	National Memorial	Intermountain 	TX	1981	6	5,841
Chamizal NMEM	CHAM	National Memorial	Intermountain 	TX	1981	7	20,093
Chamizal NMEM	CHAM	National Memorial	Intermountain 	TX	1981	8	1,400
Chamizal NMEM	CHAM	National Memorial	Intermountain 	TX	1981	9	3,511
Chamizal NMEM	CHAM	National Memorial	Intermountain 	TX	1981	10	25,984
Chamizal NMEM	CHAM	National Memorial	Intermountain 	TX	1981	11	7,074
Chamizal NMEM	CHAM	National Memorial	Intermountain 	TX	1981	12	4,561
Chamizal NMEM	CHAM	National Memorial	Intermountain 	TX	1982	1	3,604
Chamizal NMEM	CHAM	National Memorial	Intermountain 	TX	1982	2	6,021
Chamizal NMEM	CHAM	National Memorial	Intermountain 	TX	1982	3	10,086
Chamizal NMEM	CHAM	National Memorial	Intermountain 	TX	1982	4	7,790
Chamizal NMEM	CHAM	National Memorial	Intermountain 	TX	1982	5	8,113
Chamizal NMEM	CHAM	National Memorial	Intermountain 	TX	1982	6	6,718
Chamizal NMEM	CHAM	National Memorial	Intermountain 	TX	1982	7	20,729
Chamizal NMEM	CHAM	National Memorial	Intermountain 	TX	1982	8	3,338
Chamizal NMEM	CHAM	National Memorial	Intermountain 	TX	1982	9	5,968
Chamizal NMEM	CHAM	National Memorial	Intermountain 	TX	1982	10	29,563
Chamizal NMEM	CHAM	National Memorial	Intermountain 	TX	1982	11	10,494
Chamizal NMEM	CHAM	National Memorial	Intermountain 	TX	1982	12	2,376
Chamizal NMEM	CHAM	National Memorial	Intermountain 	TX	1983	1	3,440
Chamizal NMEM	CHAM	National Memorial	Intermountain 	TX	1983	2	4,716
Chamizal NMEM	CHAM	National Memorial	Intermountain 	TX	1983	3	7,285
Chamizal NMEM	CHAM	National Memorial	Intermountain 	TX	1983	4	4,279
Chamizal NMEM	CHAM	National Memorial	Intermountain 	TX	1983	5	18,746
Chamizal NMEM	CHAM	National Memorial	Intermountain 	TX	1983	6	5,886
Chamizal NMEM	CHAM	National Memorial	Intermountain 	TX	1983	7	22,150
Chamizal NMEM	CHAM	National Memorial	Intermountain 	TX	1983	8	11,289
Chamizal NMEM	CHAM	National Memorial	Intermountain 	TX	1983	9	5,201
Chamizal NMEM	CHAM	National Memorial	Intermountain 	TX	1983	10	23,378
Chamizal NMEM	CHAM	National Memorial	Intermountain 	TX	1983	11	9,605
Chamizal NMEM	CHAM	National Memorial	Intermountain 	TX	1983	12	3,664
Chamizal NMEM	CHAM	National Memorial	Intermountain 	TX	1984	1	4,449
Chamizal NMEM	CHAM	National Memorial	Intermountain 	TX	1984	2	4,118
Chamizal NMEM	CHAM	National Memorial	Intermountain 	TX	1984	3	9,291
Chamizal NMEM	CHAM	National Memorial	Intermountain 	TX	1984	4	5,625
Chamizal NMEM	CHAM	National Memorial	Intermountain 	TX	1984	5	9,218
Chamizal NMEM	CHAM	National Memorial	Intermountain 	TX	1984	6	12,635
Chamizal NMEM	CHAM	National Memorial	Intermountain 	TX	1984	7	30,139
Chamizal NMEM	CHAM	National Memorial	Intermountain 	TX	1984	8	5,946
Chamizal NMEM	CHAM	National Memorial	Intermountain 	TX	1984	9	10,015
Chamizal NMEM	CHAM	National Memorial	Intermountain 	TX	1984	10	19,311
Chamizal NMEM	CHAM	National Memorial	Intermountain 	TX	1984	11	10,431
Chamizal NMEM	CHAM	National Memorial	Intermountain 	TX	1984	12	4,548
Chamizal NMEM	CHAM	National Memorial	Intermountain 	TX	1985	1	3,229
Chamizal NMEM	CHAM	National Memorial	Intermountain 	TX	1985	2	6,040
Chamizal NMEM	CHAM	National Memorial	Intermountain 	TX	1985	3	10,876
Chamizal NMEM	CHAM	National Memorial	Intermountain 	TX	1985	4	8,217
Chamizal NMEM	CHAM	National Memorial	Intermountain 	TX	1985	5	8,540
Chamizal NMEM	CHAM	National Memorial	Intermountain 	TX	1985	6	16,382
Chamizal NMEM	CHAM	National Memorial	Intermountain 	TX	1985	7	32,889
Chamizal NMEM	CHAM	National Memorial	Intermountain 	TX	1985	8	13,607
Chamizal NMEM	CHAM	National Memorial	Intermountain 	TX	1985	9	16,645
Chamizal NMEM	CHAM	National Memorial	Intermountain 	TX	1985	10	19,532
Chamizal NMEM	CHAM	National Memorial	Intermountain 	TX	1985	11	9,721
Chamizal NMEM	CHAM	National Memorial	Intermountain 	TX	1985	12	3,314
Chamizal NMEM	CHAM	National Memorial	Intermountain 	TX	1986	1	2,943
Chamizal NMEM	CHAM	National Memorial	Intermountain 	TX	1986	2	5,050
