Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Channel Islands NP	CHIS	National Park	Pacific West 	CA	1979	1	2,732
Channel Islands NP	CHIS	National Park	Pacific West 	CA	1979	2	3,121
Channel Islands NP	CHIS	National Park	Pacific West 	CA	1979	3	4,774
Channel Islands NP	CHIS	National Park	Pacific West 	CA	1979	4	5,157
Channel Islands NP	CHIS	National Park	Pacific West 	CA	1979	5	5,805
Channel Islands NP	CHIS	National Park	Pacific West 	CA	1979	6	6,060
Channel Islands NP	CHIS	National Park	Pacific West 	CA	1979	7	12,639
Channel Islands NP	CHIS	National Park	Pacific West 	CA	1979	8	15,717
Channel Islands NP	CHIS	National Park	Pacific West 	CA	1979	9	12,187
Channel Islands NP	CHIS	National Park	Pacific West 	CA	1979	10	6,352
Channel Islands NP	CHIS	National Park	Pacific West 	CA	1979	11	4,087
Channel Islands NP	CHIS	National Park	Pacific West 	CA	1979	12	4,306
Channel Islands NP	CHIS	National Park	Pacific West 	CA	1980	1	4,418
Channel Islands NP	CHIS	National Park	Pacific West 	CA	1980	2	2,918
Channel Islands NP	CHIS	National Park	Pacific West 	CA	1980	3	8,054
Channel Islands NP	CHIS	National Park	Pacific West 	CA	1980	4	8,097
Channel Islands NP	CHIS	National Park	Pacific West 	CA	1980	5	7,760
Channel Islands NP	CHIS	National Park	Pacific West 	CA	1980	6	13,674
Channel Islands NP	CHIS	National Park	Pacific West 	CA	1980	7	16,783
Channel Islands NP	CHIS	National Park	Pacific West 	CA	1980	8	19,790
Channel Islands NP	CHIS	National Park	Pacific West 	CA	1980	9	10,025
Channel Islands NP	CHIS	National Park	Pacific West 	CA	1980	10	4,612
Channel Islands NP	CHIS	National Park	Pacific West 	CA	1980	11	4,919
Channel Islands NP	CHIS	National Park	Pacific West 	CA	1980	12	3,524
Channel Islands NP	CHIS	National Park	Pacific West 	CA	1981	1	2,815
Channel Islands NP	CHIS	National Park	Pacific West 	CA	1981	2	5,645
Channel Islands NP	CHIS	National Park	Pacific West 	CA	1981	3	5,603
Channel Islands NP	CHIS	National Park	Pacific West 	CA	1981	4	5,247
Channel Islands NP	CHIS	National Park	Pacific West 	CA	1981	5	9,070
Channel Islands NP	CHIS	National Park	Pacific West 	CA	1981	6	7,723
Channel Islands NP	CHIS	National Park	Pacific West 	CA	1981	7	12,086
Channel Islands NP	CHIS	National Park	Pacific West 	CA	1981	8	13,813
Channel Islands NP	CHIS	National Park	Pacific West 	CA	1981	9	10,969
Channel Islands NP	CHIS	National Park	Pacific West 	CA	1981	10	5,979
