Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Charles Young Buffalo Soldiers NM	CHYO	National Monument	Midwest 		2015	1	0
Charles Young Buffalo Soldiers NM	CHYO	National Monument	Midwest 		2015	2	0
Charles Young Buffalo Soldiers NM	CHYO	National Monument	Midwest 		2015	3	245
Charles Young Buffalo Soldiers NM	CHYO	National Monument	Midwest 		2015	4	945
Charles Young Buffalo Soldiers NM	CHYO	National Monument	Midwest 		2015	5	169
Charles Young Buffalo Soldiers NM	CHYO	National Monument	Midwest 		2015	6	265
Charles Young Buffalo Soldiers NM	CHYO	National Monument	Midwest 		2015	7	1,100
Charles Young Buffalo Soldiers NM	CHYO	National Monument	Midwest 		2015	8	145
Charles Young Buffalo Soldiers NM	CHYO	National Monument	Midwest 		2015	9	86
Charles Young Buffalo Soldiers NM	CHYO	National Monument	Midwest 		2015	10	401
Charles Young Buffalo Soldiers NM	CHYO	National Monument	Midwest 		2015	11	385
Charles Young Buffalo Soldiers NM	CHYO	National Monument	Midwest 		2015	12	252
Charles Young Buffalo Soldiers NM	CHYO	National Monument	Midwest 		2016	1	326
Charles Young Buffalo Soldiers NM	CHYO	National Monument	Midwest 		2016	2	1,902
Charles Young Buffalo Soldiers NM	CHYO	National Monument	Midwest 		2016	3	1,193
Charles Young Buffalo Soldiers NM	CHYO	National Monument	Midwest 		2016	4	1,033
Charles Young Buffalo Soldiers NM	CHYO	National Monument	Midwest 		2016	5	649
Charles Young Buffalo Soldiers NM	CHYO	National Monument	Midwest 		2016	6	1,115
Charles Young Buffalo Soldiers NM	CHYO	National Monument	Midwest 		2016	7	560
Charles Young Buffalo Soldiers NM	CHYO	National Monument	Midwest 		2016	8	879
Charles Young Buffalo Soldiers NM	CHYO	National Monument	Midwest 		2016	9	1,681
Charles Young Buffalo Soldiers NM	CHYO	National Monument	Midwest 		2016	10	200
Charles Young Buffalo Soldiers NM	CHYO	National Monument	Midwest 		2016	11	542
Charles Young Buffalo Soldiers NM	CHYO	National Monument	Midwest 		2016	12	131
Charles Young Buffalo Soldiers NM	CHYO	National Monument	Midwest 		2017	1	178
Charles Young Buffalo Soldiers NM	CHYO	National Monument	Midwest 		2017	2	668
Charles Young Buffalo Soldiers NM	CHYO	National Monument	Midwest 		2017	3	798
Charles Young Buffalo Soldiers NM	CHYO	National Monument	Midwest 		2017	4	3,450
Charles Young Buffalo Soldiers NM	CHYO	National Monument	Midwest 		2017	5	852
Charles Young Buffalo Soldiers NM	CHYO	National Monument	Midwest 		2017	6	856
Charles Young Buffalo Soldiers NM	CHYO	National Monument	Midwest 		2017	7	1,129
Charles Young Buffalo Soldiers NM	CHYO	National Monument	Midwest 		2017	8	1,072
Charles Young Buffalo Soldiers NM	CHYO	National Monument	Midwest 		2017	9	2,272
Charles Young Buffalo Soldiers NM	CHYO	National Monument	Midwest 		2017	10	312
Charles Young Buffalo Soldiers NM	CHYO	National Monument	Midwest 		2017	11	615
Charles Young Buffalo Soldiers NM	CHYO	National Monument	Midwest 		2017	12	203
Charles Young Buffalo Soldiers NM	CHYO	National Monument	Midwest 		2018	1	2,207
Charles Young Buffalo Soldiers NM	CHYO	National Monument	Midwest 		2018	2	5,700
Charles Young Buffalo Soldiers NM	CHYO	National Monument	Midwest 		2018	3	6,200
Charles Young Buffalo Soldiers NM	CHYO	National Monument	Midwest 		2018	4	3,400
Charles Young Buffalo Soldiers NM	CHYO	National Monument	Midwest 		2018	5	2,763
Charles Young Buffalo Soldiers NM	CHYO	National Monument	Midwest 		2018	6	2,151
Charles Young Buffalo Soldiers NM	CHYO	National Monument	Midwest 		2018	7	1,412
Charles Young Buffalo Soldiers NM	CHYO	National Monument	Midwest 		2018	8	1,300
Charles Young Buffalo Soldiers NM	CHYO	National Monument	Midwest 		2018	9	2,619
Charles Young Buffalo Soldiers NM	CHYO	National Monument	Midwest 		2018	10	355
Charles Young Buffalo Soldiers NM	CHYO	National Monument	Midwest 		2018	11	650
Charles Young Buffalo Soldiers NM	CHYO	National Monument	Midwest 		2018	12	2,691
Charles Young Buffalo Soldiers NM	CHYO	National Monument	Midwest 		2019	1	122
Charles Young Buffalo Soldiers NM	CHYO	National Monument	Midwest 		2019	2	815
Charles Young Buffalo Soldiers NM	CHYO	National Monument	Midwest 		2019	3	1,100
Charles Young Buffalo Soldiers NM	CHYO	National Monument	Midwest 		2019	4	820
Charles Young Buffalo Soldiers NM	CHYO	National Monument	Midwest 		2019	5	1,460
Charles Young Buffalo Soldiers NM	CHYO	National Monument	Midwest 		2019	6	1,550
Charles Young Buffalo Soldiers NM	CHYO	National Monument	Midwest 		2019	7	1,379
Charles Young Buffalo Soldiers NM	CHYO	National Monument	Midwest 		2019	8	2,429
Charles Young Buffalo Soldiers NM	CHYO	National Monument	Midwest 		2019	9	2,745
Charles Young Buffalo Soldiers NM	CHYO	National Monument	Midwest 		2019	10	378
Charles Young Buffalo Soldiers NM	CHYO	National Monument	Midwest 		2019	11	766
Charles Young Buffalo Soldiers NM	CHYO	National Monument	Midwest 		2019	12	542
Charles Young Buffalo Soldiers NM	CHYO	National Monument	Midwest 		2020	1	199
Charles Young Buffalo Soldiers NM	CHYO	National Monument	Midwest 		2020	2	904
Charles Young Buffalo Soldiers NM	CHYO	National Monument	Midwest 		2020	3	260
Charles Young Buffalo Soldiers NM	CHYO	National Monument	Midwest 		2020	4	30
Charles Young Buffalo Soldiers NM	CHYO	National Monument	Midwest 		2020	5	35
Charles Young Buffalo Soldiers NM	CHYO	National Monument	Midwest 		2020	6	50
Charles Young Buffalo Soldiers NM	CHYO	National Monument	Midwest 		2020	7	90
Charles Young Buffalo Soldiers NM	CHYO	National Monument	Midwest 		2020	8	90
Charles Young Buffalo Soldiers NM	CHYO	National Monument	Midwest 		2020	9	94
Charles Young Buffalo Soldiers NM	CHYO	National Monument	Midwest 		2020	10	259
Charles Young Buffalo Soldiers NM	CHYO	National Monument	Midwest 		2020	11	110
Charles Young Buffalo Soldiers NM	CHYO	National Monument	Midwest 		2020	12	340
Charles Young Buffalo Soldiers NM	CHYO	National Monument	Midwest 		2021	1	188
Charles Young Buffalo Soldiers NM	CHYO	National Monument	Midwest 		2021	2	287
Charles Young Buffalo Soldiers NM	CHYO	National Monument	Midwest 		2021	3	488
Charles Young Buffalo Soldiers NM	CHYO	National Monument	Midwest 		2021	4	953
Charles Young Buffalo Soldiers NM	CHYO	National Monument	Midwest 		2021	5	795
Charles Young Buffalo Soldiers NM	CHYO	National Monument	Midwest 		2021	6	1,145
Charles Young Buffalo Soldiers NM	CHYO	National Monument	Midwest 		2021	7	1,380
Charles Young Buffalo Soldiers NM	CHYO	National Monument	Midwest 		2021	8	1,221
Charles Young Buffalo Soldiers NM	CHYO	National Monument	Midwest 		2021	9	1,036
Charles Young Buffalo Soldiers NM	CHYO	National Monument	Midwest 		2021	10	437
Charles Young Buffalo Soldiers NM	CHYO	National Monument	Midwest 		2021	11	78
Charles Young Buffalo Soldiers NM	CHYO	National Monument	Midwest 		2021	12	102
Charles Young Buffalo Soldiers NM	CHYO	National Monument	Midwest 		2022	1	175
Charles Young Buffalo Soldiers NM	CHYO	National Monument	Midwest 		2022	2	240
Charles Young Buffalo Soldiers NM	CHYO	National Monument	Midwest 		2022	3	268
Charles Young Buffalo Soldiers NM	CHYO	National Monument	Midwest 		2022	4	291
Charles Young Buffalo Soldiers NM	CHYO	National Monument	Midwest 		2022	5	262
Charles Young Buffalo Soldiers NM	CHYO	National Monument	Midwest 		2022	6	327
Charles Young Buffalo Soldiers NM	CHYO	National Monument	Midwest 		2022	7	438
Charles Young Buffalo Soldiers NM	CHYO	National Monument	Midwest 		2022	8	431
Charles Young Buffalo Soldiers NM	CHYO	National Monument	Midwest 		2022	9	401
Charles Young Buffalo Soldiers NM	CHYO	National Monument	Midwest 		2022	10	241
Charles Young Buffalo Soldiers NM	CHYO	National Monument	Midwest 		2022	11	311
Charles Young Buffalo Soldiers NM	CHYO	National Monument	Midwest 		2022	12	133
Charles Young Buffalo Soldiers NM	CHYO	National Monument	Midwest 		2023	1	192
Charles Young Buffalo Soldiers NM	CHYO	National Monument	Midwest 		2023	2	262
Charles Young Buffalo Soldiers NM	CHYO	National Monument	Midwest 		2023	3	261
Charles Young Buffalo Soldiers NM	CHYO	National Monument	Midwest 		2023	4	250
Charles Young Buffalo Soldiers NM	CHYO	National Monument	Midwest 		2023	5	342
Charles Young Buffalo Soldiers NM	CHYO	National Monument	Midwest 		2023	6	340
Charles Young Buffalo Soldiers NM	CHYO	National Monument	Midwest 		2023	7	676
Charles Young Buffalo Soldiers NM	CHYO	National Monument	Midwest 		2023	8	389
Charles Young Buffalo Soldiers NM	CHYO	National Monument	Midwest 		2023	9	332
Charles Young Buffalo Soldiers NM	CHYO	National Monument	Midwest 		2023	10	258
Charles Young Buffalo Soldiers NM	CHYO	National Monument	Midwest 		2023	11	0
Charles Young Buffalo Soldiers NM	CHYO	National Monument	Midwest 		2023	12	0
Charles Young Buffalo Soldiers NM	CHYO	National Monument	Midwest 		2024	1	0
Charles Young Buffalo Soldiers NM	CHYO	National Monument	Midwest 		2024	2	0
Charles Young Buffalo Soldiers NM	CHYO	National Monument	Midwest 		2024	3	0
Charles Young Buffalo Soldiers NM	CHYO	National Monument	Midwest 		2024	4	279
Charles Young Buffalo Soldiers NM	CHYO	National Monument	Midwest 		2024	5	500
Charles Young Buffalo Soldiers NM	CHYO	National Monument	Midwest 		2024	6	805
Charles Young Buffalo Soldiers NM	CHYO	National Monument	Midwest 		2024	7	886
Charles Young Buffalo Soldiers NM	CHYO	National Monument	Midwest 		2024	8	757
Charles Young Buffalo Soldiers NM	CHYO	National Monument	Midwest 		2024	9	628
