Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1980	1	24,189
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1980	2	9,399
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1980	3	4,029
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1980	4	15,254
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1980	5	62,816
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1980	6	43,537
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1980	7	58,001
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1980	8	59,870
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1980	9	23,388
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1980	10	17,651
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1980	11	14,090
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1980	12	13,732
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1981	1	11,116
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1981	2	15,511
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1981	3	24,455
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1981	4	52,395
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1981	5	53,729
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1981	6	56,388
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1981	7	72,195
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1981	8	65,328
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1981	9	40,446
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1981	10	32,887
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1981	11	26,164
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1981	12	20,437
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1982	1	7,323
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1982	2	21,328
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1982	3	44,146
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1982	4	44,028
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1982	5	108,142
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1982	6	93,683
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1982	7	104,829
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1982	8	107,486
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1982	9	71,257
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1982	10	35,974
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1982	11	16,791
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1982	12	10,205
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1983	1	15,969
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1983	2	24,394
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1983	3	46,498
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1983	4	52,795
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1983	5	119,149
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1983	6	133,297
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1983	7	287,973
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1983	8	172,918
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1983	9	110,913
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1983	10	53,386
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1983	11	39,979
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1983	12	24,653
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1984	1	20,673
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1984	2	26,614
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1984	3	31,599
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1984	4	34,730
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1984	5	57,791
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1984	6	119,398
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1984	7	120,099
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1984	8	71,904
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1984	9	53,841
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1984	10	42,015
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1984	11	117,127
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1984	12	117,526
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1985	1	101,092
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1985	2	95,559
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1985	3	99,351
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1985	4	123,737
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1985	5	145,386
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1985	6	155,621
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1985	7	178,653
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1985	8	176,455
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1985	9	109,384
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1985	10	107,255
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1985	11	105,368
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1985	12	101,242
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1986	1	101,092
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1986	2	110,112
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1986	3	129,686
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1986	4	138,806
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1986	5	184,986
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1986	6	195,634
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1986	7	191,294
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1986	8	145,487
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1986	9	133,735
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1986	10	124,822
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1986	11	113,360
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1986	12	101,322
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1987	1	103,419
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1987	2	93,347
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1987	3	124,614
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1987	4	131,804
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1987	5	171,396
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1987	6	145,324
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1987	7	161,326
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1987	8	144,054
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1987	9	118,691
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1987	10	116,725
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1987	11	109,823
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1987	12	112,493
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1988	1	106,367
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1988	2	118,315
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1988	3	144,317
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1988	4	146,684
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1988	5	152,259
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1988	6	186,303
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1988	7	181,637
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1988	8	171,376
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1988	9	139,267
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1988	10	124,332
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1988	11	110,540
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1988	12	110,413
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1989	1	113,752
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1989	2	109,286
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1989	3	143,732
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1989	4	144,604
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1989	5	150,311
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1989	6	155,991
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1989	7	153,024
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1989	8	172,521
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1989	9	146,155
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1989	10	138,485
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1989	11	123,496
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1989	12	116,756
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1990	1	125,496
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1990	2	119,241
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1990	3	147,845
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1990	4	162,946
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1990	5	153,920
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1990	6	166,485
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1990	7	186,955
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1990	8	176,194
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1990	9	154,851
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1990	10	122,322
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1990	11	127,033
Chattahoochee River NRA	CHAT	National Recreation Area	Southeast 	GA	1990	12	119,662
