Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Chesapeake & Ohio Canal NHP	CHOH	National Historical Park	National Capital 	MD	1979	1	73,630
Chesapeake & Ohio Canal NHP	CHOH	National Historical Park	National Capital 	MD	1979	2	63,932
Chesapeake & Ohio Canal NHP	CHOH	National Historical Park	National Capital 	MD	1979	3	161,630
Chesapeake & Ohio Canal NHP	CHOH	National Historical Park	National Capital 	MD	1979	4	236,650
Chesapeake & Ohio Canal NHP	CHOH	National Historical Park	National Capital 	MD	1979	5	337,916
Chesapeake & Ohio Canal NHP	CHOH	National Historical Park	National Capital 	MD	1979	6	410,341
Chesapeake & Ohio Canal NHP	CHOH	National Historical Park	National Capital 	MD	1979	7	357,212
Chesapeake & Ohio Canal NHP	CHOH	National Historical Park	National Capital 	MD	1979	8	294,702
Chesapeake & Ohio Canal NHP	CHOH	National Historical Park	National Capital 	MD	1979	9	355,500
Chesapeake & Ohio Canal NHP	CHOH	National Historical Park	National Capital 	MD	1979	10	223,620
Chesapeake & Ohio Canal NHP	CHOH	National Historical Park	National Capital 	MD	1979	11	205,540
Chesapeake & Ohio Canal NHP	CHOH	National Historical Park	National Capital 	MD	1979	12	111,973
Chesapeake & Ohio Canal NHP	CHOH	National Historical Park	National Capital 	MD	1980	1	90,560
Chesapeake & Ohio Canal NHP	CHOH	National Historical Park	National Capital 	MD	1980	2	93,162
Chesapeake & Ohio Canal NHP	CHOH	National Historical Park	National Capital 	MD	1980	3	164,050
Chesapeake & Ohio Canal NHP	CHOH	National Historical Park	National Capital 	MD	1980	4	238,662
Chesapeake & Ohio Canal NHP	CHOH	National Historical Park	National Capital 	MD	1980	5	436,161
Chesapeake & Ohio Canal NHP	CHOH	National Historical Park	National Capital 	MD	1980	6	306,907
Chesapeake & Ohio Canal NHP	CHOH	National Historical Park	National Capital 	MD	1980	7	369,841
Chesapeake & Ohio Canal NHP	CHOH	National Historical Park	National Capital 	MD	1980	8	372,461
Chesapeake & Ohio Canal NHP	CHOH	National Historical Park	National Capital 	MD	1980	9	371,286
Chesapeake & Ohio Canal NHP	CHOH	National Historical Park	National Capital 	MD	1980	10	318,941
Chesapeake & Ohio Canal NHP	CHOH	National Historical Park	National Capital 	MD	1980	11	221,385
Chesapeake & Ohio Canal NHP	CHOH	National Historical Park	National Capital 	MD	1980	12	117,709
Chesapeake & Ohio Canal NHP	CHOH	National Historical Park	National Capital 	MD	1981	1	26,991
Chesapeake & Ohio Canal NHP	CHOH	National Historical Park	National Capital 	MD	1981	2	58,624
Chesapeake & Ohio Canal NHP	CHOH	National Historical Park	National Capital 	MD	1981	3	337,738
Chesapeake & Ohio Canal NHP	CHOH	National Historical Park	National Capital 	MD	1981	4	476,940
Chesapeake & Ohio Canal NHP	CHOH	National Historical Park	National Capital 	MD	1981	5	691,590
Chesapeake & Ohio Canal NHP	CHOH	National Historical Park	National Capital 	MD	1981	6	619,530
Chesapeake & Ohio Canal NHP	CHOH	National Historical Park	National Capital 	MD	1981	7	662,626
Chesapeake & Ohio Canal NHP	CHOH	National Historical Park	National Capital 	MD	1981	8	661,985
Chesapeake & Ohio Canal NHP	CHOH	National Historical Park	National Capital 	MD	1981	9	682,208
Chesapeake & Ohio Canal NHP	CHOH	National Historical Park	National Capital 	MD	1981	10	586,783
Chesapeake & Ohio Canal NHP	CHOH	National Historical Park	National Capital 	MD	1981	11	418,141
Chesapeake & Ohio Canal NHP	CHOH	National Historical Park	National Capital 	MD	1981	12	227,321
Chesapeake & Ohio Canal NHP	CHOH	National Historical Park	National Capital 	MD	1982	1	48,655
Chesapeake & Ohio Canal NHP	CHOH	National Historical Park	National Capital 	MD	1982	2	98,648
Chesapeake & Ohio Canal NHP	CHOH	National Historical Park	National Capital 	MD	1982	3	392,273
Chesapeake & Ohio Canal NHP	CHOH	National Historical Park	National Capital 	MD	1982	4	554,649
Chesapeake & Ohio Canal NHP	CHOH	National Historical Park	National Capital 	MD	1982	5	781,183
Chesapeake & Ohio Canal NHP	CHOH	National Historical Park	National Capital 	MD	1982	6	639,035
Chesapeake & Ohio Canal NHP	CHOH	National Historical Park	National Capital 	MD	1982	7	726,036
Chesapeake & Ohio Canal NHP	CHOH	National Historical Park	National Capital 	MD	1982	8	704,108
Chesapeake & Ohio Canal NHP	CHOH	National Historical Park	National Capital 	MD	1982	9	783,253
Chesapeake & Ohio Canal NHP	CHOH	National Historical Park	National Capital 	MD	1982	10	616,548
Chesapeake & Ohio Canal NHP	CHOH	National Historical Park	National Capital 	MD	1982	11	463,755
Chesapeake & Ohio Canal NHP	CHOH	National Historical Park	National Capital 	MD	1982	12	249,475
Chesapeake & Ohio Canal NHP	CHOH	National Historical Park	National Capital 	MD	1983	1	37,076
Chesapeake & Ohio Canal NHP	CHOH	National Historical Park	National Capital 	MD	1983	2	34,562
Chesapeake & Ohio Canal NHP	CHOH	National Historical Park	National Capital 	MD	1983	3	427,248
Chesapeake & Ohio Canal NHP	CHOH	National Historical Park	National Capital 	MD	1983	4	587,967
Chesapeake & Ohio Canal NHP	CHOH	National Historical Park	National Capital 	MD	1983	5	685,251
Chesapeake & Ohio Canal NHP	CHOH	National Historical Park	National Capital 	MD	1983	6	714,794
Chesapeake & Ohio Canal NHP	CHOH	National Historical Park	National Capital 	MD	1983	7	846,146
Chesapeake & Ohio Canal NHP	CHOH	National Historical Park	National Capital 	MD	1983	8	749,073
Chesapeake & Ohio Canal NHP	CHOH	National Historical Park	National Capital 	MD	1983	9	776,105
Chesapeake & Ohio Canal NHP	CHOH	National Historical Park	National Capital 	MD	1983	10	624,183
Chesapeake & Ohio Canal NHP	CHOH	National Historical Park	National Capital 	MD	1983	11	458,612
Chesapeake & Ohio Canal NHP	CHOH	National Historical Park	National Capital 	MD	1983	12	234,817
Chesapeake & Ohio Canal NHP	CHOH	National Historical Park	National Capital 	MD	1984	1	58,897
Chesapeake & Ohio Canal NHP	CHOH	National Historical Park	National Capital 	MD	1984	2	117,158
Chesapeake & Ohio Canal NHP	CHOH	National Historical Park	National Capital 	MD	1984	3	474,235
Chesapeake & Ohio Canal NHP	CHOH	National Historical Park	National Capital 	MD	1984	4	621,411
Chesapeake & Ohio Canal NHP	CHOH	National Historical Park	National Capital 	MD	1984	5	805,303
Chesapeake & Ohio Canal NHP	CHOH	National Historical Park	National Capital 	MD	1984	6	754,476
Chesapeake & Ohio Canal NHP	CHOH	National Historical Park	National Capital 	MD	1984	7	714,762
