Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1979	1	44,271
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1979	2	13,524
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1979	3	69,918
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1979	4	85,557
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1979	5	90,571
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1979	6	95,721
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1979	7	92,994
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1979	8	105,665
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1979	9	81,690
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1979	10	85,254
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1979	11	56,988
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1979	12	44,780
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1980	1	47,643
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1980	2	42,991
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1980	3	63,305
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1980	4	76,413
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1980	5	131,285
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1980	6	134,021
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1980	7	166,774
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1980	8	119,873
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1980	9	100,843
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1980	10	152,828
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1980	11	53,784
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1980	12	55,310
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1981	1	40,609
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1981	2	36,061
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1981	3	59,074
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1981	4	70,786
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1981	5	78,617
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1981	6	61,947
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1981	7	79,962
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1981	8	93,384
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1981	9	60,336
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1981	10	77,795
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1981	11	51,902
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1981	12	44,786
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1982	1	42,858
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1982	2	36,001
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1982	3	47,851
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1982	4	78,798
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1982	5	96,239
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1982	6	100,213
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1982	7	107,435
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1982	8	111,804
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1982	9	83,760
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1982	10	89,344
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1982	11	61,365
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1982	12	50,350
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1983	1	60,006
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1983	2	57,848
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1983	3	70,319
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1983	4	85,144
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1983	5	130,183
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1983	6	102,183
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1983	7	138,196
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1983	8	123,153
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1983	9	79,459
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1983	10	79,270
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1983	11	49,375
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1983	12	45,817
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1984	1	40,848
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1984	2	50,788
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1984	3	82,193
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1984	4	95,854
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1984	5	108,623
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1984	6	122,384
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1984	7	119,152
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1984	8	128,195
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1984	9	111,244
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1984	10	97,358
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1984	11	83,045
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1984	12	62,619
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1985	1	43,133
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1985	2	34,577
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1985	3	84,658
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1985	4	91,367
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1985	5	85,169
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1985	6	120,203
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1985	7	136,021
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1985	8	130,091
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1985	9	104,847
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1985	10	98,830
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1985	11	95,202
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1985	12	51,406
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1986	1	56,410
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1986	2	61,942
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1986	3	84,552
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1986	4	92,369
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1986	5	106,872
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1986	6	131,400
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1986	7	146,857
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1986	8	143,976
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1986	9	107,941
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1986	10	97,345
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1986	11	69,899
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1986	12	57,564
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1987	1	47,730
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1987	2	50,877
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1987	3	71,925
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1987	4	93,077
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1987	5	104,521
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1987	6	109,421
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1987	7	141,245
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1987	8	126,171
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1987	9	95,559
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1987	10	103,798
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1987	11	75,570
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1987	12	56,366
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1988	1	39,757
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1988	2	42,782
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1988	3	59,854
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1988	4	88,194
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1988	5	88,133
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1988	6	100,458
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1988	7	105,627
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1988	8	89,209
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1988	9	82,268
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1988	10	81,973
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1988	11	54,728
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1988	12	44,121
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1989	1	60,821
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1989	2	49,874
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1989	3	70,598
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1989	4	74,933
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1989	5	85,854
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1989	6	85,079
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1989	7	79,096
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1989	8	89,594
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1989	9	69,438
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1989	10	71,419
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1989	11	64,974
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1989	12	49,854
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1990	1	48,920
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1990	2	50,818
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1990	3	68,805
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1990	4	75,349
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1990	5	80,278
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1990	6	100,416
Chickamauga & Chattanooga NMP	CHCH	National Military Park	Southeast 	GA	1990	7	108,917
