Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Chickasaw NRA	CHIC	National Recreation Area	Intermountain 	OK	1979	1	15,931
Chickasaw NRA	CHIC	National Recreation Area	Intermountain 	OK	1979	2	26,780
Chickasaw NRA	CHIC	National Recreation Area	Intermountain 	OK	1979	3	72,551
Chickasaw NRA	CHIC	National Recreation Area	Intermountain 	OK	1979	4	104,488
Chickasaw NRA	CHIC	National Recreation Area	Intermountain 	OK	1979	5	168,534
Chickasaw NRA	CHIC	National Recreation Area	Intermountain 	OK	1979	6	186,001
Chickasaw NRA	CHIC	National Recreation Area	Intermountain 	OK	1979	7	292,172
Chickasaw NRA	CHIC	National Recreation Area	Intermountain 	OK	1979	8	231,778
Chickasaw NRA	CHIC	National Recreation Area	Intermountain 	OK	1979	9	163,084
Chickasaw NRA	CHIC	National Recreation Area	Intermountain 	OK	1979	10	82,443
Chickasaw NRA	CHIC	National Recreation Area	Intermountain 	OK	1979	11	58,438
Chickasaw NRA	CHIC	National Recreation Area	Intermountain 	OK	1979	12	32,284
Chickasaw NRA	CHIC	National Recreation Area	Intermountain 	OK	1980	1	57,027
Chickasaw NRA	CHIC	National Recreation Area	Intermountain 	OK	1980	2	68,990
Chickasaw NRA	CHIC	National Recreation Area	Intermountain 	OK	1980	3	121,193
Chickasaw NRA	CHIC	National Recreation Area	Intermountain 	OK	1980	4	156,022
Chickasaw NRA	CHIC	National Recreation Area	Intermountain 	OK	1980	5	364,768
Chickasaw NRA	CHIC	National Recreation Area	Intermountain 	OK	1980	6	358,684
Chickasaw NRA	CHIC	National Recreation Area	Intermountain 	OK	1980	7	288,103
Chickasaw NRA	CHIC	National Recreation Area	Intermountain 	OK	1980	8	200,607
Chickasaw NRA	CHIC	National Recreation Area	Intermountain 	OK	1980	9	104,284
Chickasaw NRA	CHIC	National Recreation Area	Intermountain 	OK	1980	10	84,458
Chickasaw NRA	CHIC	National Recreation Area	Intermountain 	OK	1980	11	73,884
Chickasaw NRA	CHIC	National Recreation Area	Intermountain 	OK	1980	12	49,024
Chickasaw NRA	CHIC	National Recreation Area	Intermountain 	OK	1981	1	46,326
Chickasaw NRA	CHIC	National Recreation Area	Intermountain 	OK	1981	2	65,314
