Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits
Chiricahua NM	CHIR	National Monument	Intermountain 	AZ	1979	1	2,125
Chiricahua NM	CHIR	National Monument	Intermountain 	AZ	1979	2	4,230
Chiricahua NM	CHIR	National Monument	Intermountain 	AZ	1979	3	6,082
Chiricahua NM	CHIR	National Monument	Intermountain 	AZ	1979	4	7,214
Chiricahua NM	CHIR	National Monument	Intermountain 	AZ	1979	5	4,810
Chiricahua NM	CHIR	National Monument	Intermountain 	AZ	1979	6	4,492
Chiricahua NM	CHIR	National Monument	Intermountain 	AZ	1979	7	4,010
Chiricahua NM	CHIR	National Monument	Intermountain 	AZ	1979	8	3,619
Chiricahua NM	CHIR	National Monument	Intermountain 	AZ	1979	9	3,161
Chiricahua NM	CHIR	National Monument	Intermountain 	AZ	1979	10	3,804
Chiricahua NM	CHIR	National Monument	Intermountain 	AZ	1979	11	3,096
Chiricahua NM	CHIR	National Monument	Intermountain 	AZ	1979	12	2,841
Chiricahua NM	CHIR	National Monument	Intermountain 	AZ	1980	1	2,471
Chiricahua NM	CHIR	National Monument	Intermountain 	AZ	1980	2	3,121
Chiricahua NM	CHIR	National Monument	Intermountain 	AZ	1980	3	5,491
Chiricahua NM	CHIR	National Monument	Intermountain 	AZ	1980	4	5,929
Chiricahua NM	CHIR	National Monument	Intermountain 	AZ	1980	5	6,044
Chiricahua NM	CHIR	National Monument	Intermountain 	AZ	1980	6	4,556
Chiricahua NM	CHIR	National Monument	Intermountain 	AZ	1980	7	3,920
Chiricahua NM	CHIR	National Monument	Intermountain 	AZ	1980	8	5,178
Chiricahua NM	CHIR	National Monument	Intermountain 	AZ	1980	9	4,039
Chiricahua NM	CHIR	National Monument	Intermountain 	AZ	1980	10	3,660
Chiricahua NM	CHIR	National Monument	Intermountain 	AZ	1980	11	2,651
Chiricahua NM	CHIR	National Monument	Intermountain 	AZ	1980	12	2,172
Chiricahua NM	CHIR	National Monument	Intermountain 	AZ	1981	1	2,784
Chiricahua NM	CHIR	National Monument	Intermountain 	AZ	1981	2	4,715
Chiricahua NM	CHIR	National Monument	Intermountain 	AZ	1981	3	5,463
Chiricahua NM	CHIR	National Monument	Intermountain 	AZ	1981	4	5,875
Chiricahua NM	CHIR	National Monument	Intermountain 	AZ	1981	5	6,267
Chiricahua NM	CHIR	National Monument	Intermountain 	AZ	1981	6	3,742
Chiricahua NM	CHIR	National Monument	Intermountain 	AZ	1981	7	4,065
Chiricahua NM	CHIR	National Monument	Intermountain 	AZ	1981	8	3,656
Chiricahua NM	CHIR	National Monument	Intermountain 	AZ	1981	9	4,108
Chiricahua NM	CHIR	National Monument	Intermountain 	AZ	1981	10	4,522
Chiricahua NM	CHIR	National Monument	Intermountain 	AZ	1981	11	3,818
Chiricahua NM	CHIR	National Monument	Intermountain 	AZ	1981	12	2,849
Chiricahua NM	CHIR	National Monument	Intermountain 	AZ	1982	1	2,715
Chiricahua NM	CHIR	National Monument	Intermountain 	AZ	1982	2	4,629
Chiricahua NM	CHIR	National Monument	Intermountain 	AZ	1982	3	6,482
Chiricahua NM	CHIR	National Monument	Intermountain 	AZ	1982	4	6,580
Chiricahua NM	CHIR	National Monument	Intermountain 	AZ	1982	5	7,139
Chiricahua NM	CHIR	National Monument	Intermountain 	AZ	1982	6	3,874
Chiricahua NM	CHIR	National Monument	Intermountain 	AZ	1982	7	5,939
Chiricahua NM	CHIR	National Monument	Intermountain 	AZ	1982	8	3,707
Chiricahua NM	CHIR	National Monument	Intermountain 	AZ	1982	9	3,958
Chiricahua NM	CHIR	National Monument	Intermountain 	AZ	1982	10	5,077
Chiricahua NM	CHIR	National Monument	Intermountain 	AZ	1982	11	3,093
Chiricahua NM	CHIR	National Monument	Intermountain 	AZ	1982	12	1,865
Chiricahua NM	CHIR	National Monument	Intermountain 	AZ	1983	1	2,652
